ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.658,0.42,0.99,0.657,0.003,0.43
BLAST-S14,0.99,0.655,0.47,0.99,0.655,0.003,0.46
Naive-S11,1.00,0.634,0.14,1.00,0.634,0.001,0.14
Naive-S14,1.00,0.633,0.17,1.00,0.633,0.001,0.17
101-1,0.86,0.642,0.36,0.86,0.642,0.004,0.36
101-2,0.84,0.616,0.16,0.84,0.616,0.004,0.16
101-3,0.86,0.629,0.40,0.86,0.629,0.004,0.39
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.09,0.514,0.17,0.09,0.514,0.024,0.17
103-2,0.10,0.518,0.21,0.10,0.518,0.024,0.19
103-3,0.47,0.573,0.17,0.47,0.573,0.010,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.617,0.94,1.00,0.617,0.004,0.94
105-2,0.97,0.612,0.97,0.97,0.611,0.005,0.97
105-3,0.98,0.615,1.00,0.98,0.615,0.005,1.00
106-1,0.43,0.602,0.03,0.43,0.602,0.011,0.04
106-2,0.00,0.650,1.00,0.00,0.650,0.000,1.00
106-3,0.27,0.574,0.03,0.27,0.575,0.012,0.05
107-1,1.00,0.641,0.78,1.00,0.641,0.004,0.78
107-2,1.00,0.619,0.02,1.00,0.619,0.005,0.02
107-3,0.12,0.575,0.05,0.12,0.574,0.018,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.657,0.40,0.98,0.658,0.003,0.39
110-2,0.96,0.608,0.49,0.96,0.608,0.005,0.49
110-3,0.99,0.664,0.62,0.99,0.663,0.003,0.57
111-1,0.96,0.649,0.40,0.96,0.649,0.003,0.41
111-2,0.98,0.659,0.62,0.98,0.658,0.003,0.58
111-3,0.11,0.619,0.45,0.11,0.617,0.012,0.43
112-1,0.99,0.595,0.48,0.99,0.594,0.005,0.48
112-2,0.99,0.594,0.49,0.99,0.594,0.005,0.48
112-3,0.99,0.596,0.46,0.99,0.596,0.005,0.46
113-1,0.99,0.597,0.45,0.99,0.596,0.005,0.46
113-2,0.77,0.656,0.97,0.77,0.656,0.004,0.96
113-3,0.67,0.633,0.84,0.67,0.633,0.005,0.81
114-1,1.00,0.597,0.85,1.00,0.597,0.005,0.86
115-1,1.00,0.585,0.28,1.00,0.585,0.006,0.30
116-1,0.75,0.624,0.01,0.75,0.625,0.007,0.01
116-2,0.39,0.673,0.01,0.39,0.673,0.010,0.01
117-1,1.00,0.608,0.11,1.00,0.608,0.004,0.11
117-2,0.29,0.599,1.00,0.29,0.599,0.011,1.00
119-1,0.96,0.616,0.66,0.96,0.615,0.004,0.61
120-1,1.00,0.598,0.91,1.00,0.597,0.005,0.90
120-2,1.00,0.623,0.51,1.00,0.623,0.003,0.51
120-3,1.00,0.648,0.45,1.00,0.648,0.003,0.45
121-1,0.51,0.587,0.38,0.51,0.587,0.009,0.38
121-2,0.06,0.581,0.44,0.06,0.583,0.023,0.53
121-3,0.60,0.568,0.01,0.60,0.568,0.008,0.01
122-1,0.69,0.572,0.69,0.69,0.572,0.007,0.69
124-1,1.00,0.637,0.25,1.00,0.637,0.003,0.25
124-2,1.00,0.643,0.16,1.00,0.643,0.002,0.16
124-3,1.00,0.636,0.23,1.00,0.636,0.003,0.24
125-1,1.00,0.597,0.85,1.00,0.597,0.005,0.85
125-2,0.92,0.620,0.18,0.92,0.619,0.004,0.19
125-3,0.95,0.634,0.20,0.95,0.634,0.004,0.20
126-1,0.88,0.600,0.20,0.88,0.600,0.005,0.19
