ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.196,0.49,0.99,0.198,0.009,0.47
BLAST-S14,0.99,0.214,0.52,0.99,0.216,0.008,0.51
Naive-S11,1.00,0.216,0.14,1.00,0.216,0.003,0.14
Naive-S14,1.00,0.219,0.17,1.00,0.219,0.003,0.17
101-1,0.86,0.256,0.36,0.86,0.256,0.009,0.36
101-2,0.84,0.284,0.16,0.84,0.284,0.009,0.16
101-3,0.86,0.271,0.60,0.86,0.272,0.009,0.56
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.09,0.433,0.20,0.09,0.434,0.038,0.20
103-2,0.10,0.442,0.20,0.10,0.443,0.035,0.22
103-3,0.47,0.347,0.17,0.47,0.347,0.015,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.270,0.93,1.00,0.271,0.009,0.93
105-2,0.97,0.278,0.95,0.97,0.280,0.009,0.96
105-3,0.98,0.281,0.99,0.98,0.281,0.010,0.99
106-1,0.43,0.329,0.09,0.43,0.329,0.016,0.07
106-2,0.00,0.359,1.00,0.00,0.359,0.000,1.00
106-3,0.27,0.341,0.03,0.27,0.341,0.020,0.07
107-1,1.00,0.238,0.79,1.00,0.241,0.009,0.83
107-2,1.00,0.235,0.02,1.00,0.235,0.009,0.02
107-3,0.12,0.311,0.04,0.12,0.318,0.031,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.325,0.26,0.98,0.326,0.007,0.28
110-2,0.96,0.293,0.36,0.96,0.293,0.009,0.36
110-3,0.99,0.233,0.26,0.99,0.234,0.007,0.26
111-1,0.96,0.316,0.38,0.96,0.316,0.008,0.34
111-2,0.98,0.228,0.26,0.98,0.228,0.007,0.27
111-3,0.11,0.271,0.01,0.11,0.272,0.026,0.10
112-1,0.99,0.296,0.46,0.99,0.297,0.009,0.47
112-2,0.99,0.296,0.45,0.99,0.297,0.009,0.46
112-3,0.99,0.291,0.42,0.99,0.292,0.008,0.44
113-1,0.99,0.292,0.42,0.99,0.292,0.009,0.44
113-2,0.77,0.151,0.42,0.77,0.153,0.007,0.50
113-3,0.67,0.245,0.70,0.67,0.247,0.010,0.66
114-1,1.00,0.310,0.85,1.00,0.311,0.009,0.86
115-1,1.00,0.297,0.26,1.00,0.298,0.009,0.23
116-1,0.75,0.271,0.01,0.75,0.271,0.011,0.02
116-2,0.39,0.237,0.01,0.39,0.236,0.015,0.01
117-1,1.00,0.326,0.11,1.00,0.326,0.007,0.11
117-2,0.29,0.303,1.00,0.29,0.303,0.018,1.00
119-1,0.96,0.301,0.66,0.96,0.302,0.009,0.63
120-1,1.00,0.308,0.91,1.00,0.308,0.010,0.91
120-2,1.00,0.242,0.49,1.00,0.243,0.006,0.49
120-3,1.00,0.207,0.45,1.00,0.207,0.006,0.45
121-1,0.51,0.337,0.60,0.51,0.337,0.014,0.49
121-2,0.06,0.332,0.44,0.06,0.330,0.041,0.51
121-3,0.60,0.340,0.02,0.60,0.340,0.013,0.02
122-1,0.69,0.335,0.69,0.69,0.335,0.012,0.69
124-1,1.00,0.221,0.18,1.00,0.221,0.005,0.19
124-2,1.00,0.202,0.11,1.00,0.203,0.004,0.12
124-3,1.00,0.225,0.18,1.00,0.225,0.006,0.20
125-1,1.00,0.308,0.85,1.00,0.309,0.009,0.85
125-2,0.92,0.283,0.15,0.92,0.284,0.009,0.16
125-3,0.95,0.258,0.21,0.95,0.260,0.009,0.22
126-1,0.88,0.283,0.16,0.88,0.283,0.009,0.19
127-1,0.93,0.315,0.40,0.93,0.316,0.008,0.39
127-2,0.93,0.313,0.43,0.93,0.314,0.008,0.45
127-3,0.28,0.159,0.18,0.28,0.162,0.009,0.14
128-1,0.63,0.201,0.27,0.63,0.203,0.012,0.26
129-1,0.98,0.306,0.56,0.98,0.307,0.007,0.56
129-2,0.18,0.303,0.51,0.18,0.306,0.014,0.52
129-3,0.98,0.307,0.57,0.98,0.307,0.007,0.56
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.73,0.311,0.04,0.73,0.311,0.012,0.04
131-2,0.72,0.320,0.04,0.72,0.320,0.012,0.04
131-3,0.97,0.270,0.06,0.97,0.271,0.009,0.06
132-1,0.99,0.298,0.53,0.99,0.299,0.008,0.51
132-2,0.99,0.293,0.50,0.99,0.294,0.008,0.49
65-1,0.88,0.252,0.23,0.88,0.252,0.008,0.22
65-2,0.83,0.261,0.22,0.83,0.261,0.008,0.22
65-3,0.88,0.258,0.24,0.88,0.260,0.007,0.24
68-1,0.99,0.199,0.98,0.99,0.201,0.008,0.98
68-2,0.99,0.209,0.99,0.99,0.210,0.008,0.99
69-1,0.28,0.299,0.30,0.28,0.301,0.019,0.29
69-2,1.00,0.288,0.27,1.00,0.288,0.009,0.28
70-1,1.00,0.249,0.21,1.00,0.249,0.006,0.21
70-2,0.99,0.218,0.14,0.99,0.219,0.004,0.13
70-3,0.99,0.217,0.08,0.99,0.217,0.004,0.08
72-1,0.85,0.317,0.01,0.85,0.317,0.010,0.01
72-2,0.74,0.242,0.01,0.74,0.242,0.011,0.01
