ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.261,0.52,1.00,0.264,0.012,0.49
BLAST-S14,1.00,0.314,0.62,1.00,0.316,0.012,0.59
Naive-S11,1.00,0.293,0.19,1.00,0.293,0.006,0.19
Naive-S14,1.00,0.291,0.20,1.00,0.291,0.006,0.20
101-1,0.92,0.283,0.36,0.92,0.283,0.011,0.36
101-2,0.90,0.310,0.14,0.90,0.311,0.011,0.16
101-3,0.92,0.314,0.27,0.92,0.315,0.011,0.30
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.03,0.026,0.01,0.03,0.025,0.008,0.01
103-2,0.03,0.031,0.01,0.03,0.030,0.009,0.01
103-3,0.48,0.238,0.17,0.49,0.238,0.016,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.319,0.95,1.00,0.320,0.013,0.95
105-2,1.00,0.311,0.95,1.00,0.314,0.012,0.95
105-3,1.00,0.309,0.99,1.00,0.311,0.013,0.99
106-1,0.45,0.216,0.09,0.45,0.215,0.016,0.09
106-2,0.00,0.002,0.00,0.00,0.003,0.001,0.26
106-3,0.32,0.190,0.09,0.32,0.189,0.017,0.10
107-1,1.00,0.265,1.00,1.00,0.266,0.012,0.95
107-2,1.00,0.266,0.02,1.00,0.266,0.013,0.02
107-3,0.03,0.033,0.01,0.03,0.032,0.009,0.01
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.99,0.363,0.38,0.99,0.365,0.010,0.33
110-2,0.98,0.331,0.38,0.98,0.331,0.011,0.38
110-3,0.99,0.288,0.25,0.99,0.289,0.010,0.29
111-1,0.97,0.345,0.38,0.97,0.345,0.011,0.37
111-2,0.98,0.279,0.34,0.98,0.280,0.010,0.31
111-3,0.15,0.114,0.01,0.15,0.113,0.013,0.01
112-1,1.00,0.349,0.52,1.00,0.350,0.011,0.51
112-2,1.00,0.351,0.51,1.00,0.351,0.011,0.50
