ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,19.715,0.93,1.00,19.668,0.788,0.93
BLAST-S14,1.00,19.842,0.94,1.00,19.797,0.797,0.95
Naive-S11,1.00,18.600,0.23,1.00,18.595,0.755,0.23
Naive-S14,1.00,18.605,0.25,1.00,18.597,0.754,0.24
101-1,0.92,19.762,0.48,0.92,19.715,0.785,0.47
101-2,0.90,18.738,0.51,0.90,18.713,0.782,0.50
101-3,0.92,21.443,1.00,0.92,21.464,0.805,1.00
102-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
102-2,0.00,20.215,1.00,0.00,20.213,0.824,1.00
102-3,0.00,20.215,1.00,0.00,20.213,0.824,1.00
103-1,0.03,20.097,0.02,0.03,20.093,0.825,0.02
103-2,0.03,20.093,0.01,0.03,20.082,0.824,0.02
103-3,0.48,19.328,0.17,0.49,19.299,0.765,0.21
104-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
104-2,0.00,20.215,1.00,0.00,20.213,0.824,1.00
104-3,0.00,20.215,1.00,0.00,20.213,0.824,1.00
105-1,1.00,19.982,0.99,1.00,19.973,0.808,0.99
105-2,1.00,39.398,1.00,1.00,39.458,3.885,1.00
105-3,1.00,53.948,1.00,1.00,53.964,4.424,1.00
106-1,0.45,19.164,0.18,0.45,19.153,0.786,0.17
106-2,0.00,20.195,1.00,0.00,20.193,0.823,1.00
106-3,0.32,19.353,0.18,0.32,19.347,0.797,0.18
107-1,1.00,69.439,1.00,1.00,69.386,4.421,1.00
107-2,1.00,19.007,0.05,1.00,18.982,0.787,0.05
107-3,0.03,20.117,0.02,0.03,20.109,0.825,0.03
108-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
109-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
110-1,0.99,19.876,1.00,0.99,19.883,0.742,1.00
110-2,0.98,18.946,0.93,0.98,18.943,0.766,0.93
110-3,0.99,23.321,1.00,0.99,23.340,0.777,1.00
111-1,0.97,19.862,1.00,0.97,19.870,0.734,1.00
111-2,0.98,22.388,1.00,0.98,22.404,0.773,1.00
111-3,0.15,19.886,0.53,0.15,19.880,0.816,0.52
112-1,1.00,18.854,0.75,1.00,18.836,0.748,0.77
112-2,1.00,18.831,0.78,1.00,18.827,0.750,0.78
112-3,1.00,18.596,0.66,1.00,18.570,0.758,0.67
113-1,1.00,18.572,0.67,1.00,18.554,0.760,0.68
113-2,0.74,22.691,1.00,0.74,22.706,0.760,1.00
113-3,0.74,19.622,1.00,0.74,19.627,0.754,1.00
114-1,1.00,24.948,1.00,1.00,24.971,1.079,1.00
115-1,1.00,18.937,0.65,1.00,18.875,0.749,0.70
116-1,0.77,18.766,0.34,0.77,18.753,0.756,0.37
116-2,0.38,19.382,0.15,0.38,19.376,0.812,0.22
117-1,1.00,18.273,0.15,1.00,18.259,0.740,0.15
117-2,0.34,22.243,1.00,0.34,22.280,0.951,1.00
119-1,0.99,19.213,0.90,0.99,19.171,0.786,0.90
120-1,1.00,26.175,1.00,1.00,26.197,1.169,1.00
120-2,1.00,18.884,0.65,1.00,18.874,0.764,0.65
120-3,1.00,19.163,0.56,1.00,19.143,0.761,0.55
121-1,0.55,18.791,0.60,0.55,18.798,0.756,0.59
121-2,0.07,20.005,0.72,0.07,20.005,0.824,0.75
121-3,0.63,18.622,0.04,0.63,18.575,0.766,0.06
122-1,0.83,19.033,0.99,0.83,18.984,0.777,0.98
124-1,1.00,19.686,0.55,1.00,19.605,0.796,0.53
124-2,1.00,19.231,0.27,1.00,19.213,0.751,0.26
124-3,1.00,19.638,0.44,1.00,19.576,0.795,0.51
125-1,1.00,24.891,1.00,1.00,24.914,1.076,1.00
125-2,0.99,19.669,0.95,0.99,19.563,0.790,0.88
125-3,0.99,19.297,0.97,0.99,19.271,0.766,0.96
126-1,0.93,18.815,0.42,0.93,18.788,0.783,0.41
127-1,0.97,18.488,0.63,0.97,18.443,0.754,0.63
127-2,0.97,18.208,0.64,0.97,18.184,0.754,0.65
127-3,0.31,20.080,0.48,0.30,20.078,0.820,0.47
128-1,0.63,45.609,1.00,0.63,45.648,3.979,1.00
129-1,1.00,17.797,0.65,1.00,17.797,0.727,0.65
129-2,0.22,19.262,0.59,0.22,19.254,0.800,0.58
129-3,1.00,17.838,0.65,1.00,17.839,0.726,0.65
130-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
130-2,0.00,20.215,1.00,0.00,20.213,0.824,1.00
130-3,0.00,20.215,1.00,0.00,20.213,0.824,1.00
131-1,0.87,18.747,0.62,0.87,18.732,0.774,0.65
131-2,0.85,18.894,0.78,0.85,18.839,0.767,0.66
131-3,1.00,18.674,0.29,1.00,18.654,0.768,0.29
132-1,1.00,18.869,0.77,1.00,18.822,0.740,0.78
132-2,1.00,18.513,0.68,1.00,18.489,0.736,0.68
65-1,0.90,19.130,0.43,0.90,19.124,0.764,0.43
65-2,0.87,19.138,0.43,0.87,19.118,0.762,0.42
65-3,0.90,19.065,0.43,0.90,19.052,0.758,0.44
68-1,1.00,38.279,1.00,1.00,38.292,2.116,1.00
68-2,1.00,41.699,1.00,1.00,41.705,2.262,1.00
69-1,0.17,19.873,0.40,0.17,19.851,0.817,0.49
69-2,1.00,18.634,1.00,1.00,18.620,0.770,0.98
70-1,1.00,18.995,0.50,1.00,18.988,0.788,0.50
70-2,1.00,18.510,0.19,1.00,18.504,0.731,0.19
70-3,1.00,18.723,0.16,1.00,18.719,0.753,0.16
72-1,0.92,19.549,0.63,0.92,19.473,0.834,0.61
72-2,0.78,19.315,0.01,0.78,19.306,0.832,0.02
73-1,1.00,32.480,1.00,1.00,32.527,2.989,1.00
73-2,1.00,29.192,1.00,1.00,29.228,2.178,1.00
73-3,0.99,335.418,1.00,0.99,335.411,13.746,1.00
74-1,0.55,19.251,0.30,0.55,19.237,0.796,0.29
74-2,0.99,18.984,0.56,0.99,18.959,0.782,0.67
75-1,0.17,19.807,0.69,0.17,19.802,0.813,0.65
75-2,1.00,18.634,1.00,1.00,18.620,0.770,0.98
79-1,0.89,19.029,0.30,0.89,18.986,0.829,0.33
79-2,0.72,18.351,0.19,0.72,18.343,0.735,0.19
79-3,0.94,18.781,0.27,0.94,18.687,0.803,0.41
80-1,0.64,19.544,0.69,0.64,19.516,0.770,0.66
80-2,0.99,19.011,0.85,0.99,19.000,0.790,0.86
81-1,0.86,19.081,0.66,0.86,19.066,0.790,0.66
81-2,0.86,19.079,0.66,0.86,19.067,0.791,0.66
82-1,0.97,19.654,0.95,0.97,19.649,0.807,0.95
83-1,0.95,24.213,1.00,0.95,24.242,1.053,1.00
83-2,0.95,23.008,1.00,0.95,23.038,0.997,1.00
84-1,0.85,19.433,0.10,0.85,19.424,0.779,0.10
85-1,0.98,18.322,0.75,0.98,18.280,0.749,0.77
85-2,0.98,18.303,0.79,0.98,18.286,0.747,0.79
86-1,0.96,18.740,1.00,0.96,18.746,0.757,1.00
86-2,0.96,18.740,1.00,0.96,18.746,0.757,1.00
86-3,0.80,19.153,0.96,0.80,19.114,0.788,0.94
87-1,0.95,19.531,0.55,0.95,19.512,0.774,0.55
87-2,0.95,19.646,0.31,0.95,19.620,0.788,0.32
87-3,0.81,19.573,0.81,0.81,19.572,0.782,0.81
88-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
89-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
89-2,0.00,20.215,1.00,0.00,20.213,0.824,1.00
89-3,0.00,20.215,1.00,0.00,20.213,0.824,1.00
91-1,0.13,20.215,1.00,0.13,20.212,0.824,0.98
91-2,0.13,21.888,1.00,0.13,21.964,1.036,1.00
91-3,0.13,20.215,1.00,0.13,20.213,0.824,1.00
93-1,0.03,20.542,1.00,0.03,20.616,0.883,1.00
93-2,0.03,21.231,1.00,0.03,21.352,1.067,1.00
94-1,1.00,21.299,1.00,1.00,21.303,0.690,0.99
95-1,1.00,38.160,1.00,1.00,38.173,2.138,1.00
95-2,1.00,44.595,1.00,1.00,44.588,2.399,1.00
96-1,0.34,108.577,1.00,0.35,108.672,7.409,1.00
96-2,0.34,93.613,1.00,0.35,93.709,6.232,1.00
96-3,0.34,102.193,1.00,0.35,102.351,7.007,1.00
97-1,0.00,20.215,1.00,0.00,20.213,0.824,1.00
97-2,0.00,20.215,1.00,0.00,20.213,0.824,1.00
97-3,0.00,20.215,1.00,0.00,20.213,0.824,1.00
98-1,0.45,20.102,0.52,0.45,20.089,0.820,0.52
99-1,0.99,18.871,0.33,0.99,18.857,0.776,0.34
