ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.648,0.51,1.00,0.647,0.005,0.51
BLAST-S14,1.00,0.628,0.62,1.00,0.627,0.006,0.61
Naive-S11,1.00,0.632,0.14,1.00,0.632,0.002,0.14
Naive-S14,1.00,0.631,0.17,1.00,0.631,0.002,0.17
101-1,0.92,0.656,0.36,0.92,0.656,0.005,0.36
101-2,0.90,0.627,0.18,0.90,0.627,0.004,0.18
101-3,0.92,0.633,0.34,0.92,0.633,0.005,0.32
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.03,0.593,0.11,0.03,0.568,0.054,0.11
103-2,0.03,0.610,0.03,0.03,0.602,0.040,0.09
103-3,0.48,0.581,0.17,0.49,0.582,0.012,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.609,0.96,1.00,0.609,0.007,0.96
105-2,1.00,0.621,0.98,1.00,0.620,0.007,0.98
105-3,1.00,0.628,1.00,1.00,0.628,0.008,1.00
106-1,0.45,0.616,0.07,0.45,0.617,0.013,0.07
106-2,0.00,0.650,1.00,0.00,0.650,0.000,1.00
106-3,0.32,0.584,0.09,0.32,0.585,0.014,0.08
107-1,1.00,0.646,1.00,1.00,0.647,0.005,0.99
107-2,1.00,0.628,0.02,1.00,0.628,0.007,0.02
107-3,0.03,0.589,0.03,0.03,0.594,0.040,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.99,0.651,0.40,0.99,0.652,0.004,0.39
110-2,0.98,0.611,0.55,0.98,0.611,0.007,0.54
110-3,0.99,0.663,0.40,0.99,0.662,0.004,0.48
111-1,0.97,0.645,0.40,0.97,0.644,0.005,0.43
111-2,0.98,0.660,0.61,0.98,0.659,0.004,0.55
111-3,0.15,0.635,0.53,0.15,0.633,0.011,0.44
112-1,1.00,0.596,0.51,1.00,0.595,0.007,0.51
112-2,1.00,0.595,0.51,1.00,0.595,0.007,0.51
112-3,1.00,0.598,0.48,1.00,0.597,0.006,0.48
113-1,1.00,0.598,0.48,1.00,0.597,0.007,0.48
113-2,0.74,0.659,1.00,0.74,0.659,0.005,0.99
113-3,0.74,0.634,0.65,0.74,0.634,0.006,0.67
114-1,1.00,0.602,0.99,1.00,0.600,0.007,0.99
115-1,1.00,0.591,0.32,1.00,0.590,0.008,0.31
116-1,0.77,0.635,0.01,0.77,0.636,0.009,0.02
116-2,0.38,0.677,0.01,0.38,0.677,0.014,0.02
117-1,1.00,0.598,0.12,1.00,0.598,0.006,0.12
117-2,0.34,0.636,1.00,0.34,0.637,0.016,1.00
119-1,0.99,0.624,0.79,0.99,0.622,0.006,0.81
120-1,1.00,0.602,1.00,1.00,0.601,0.007,0.99
120-2,1.00,0.623,0.53,1.00,0.623,0.004,0.53
120-3,1.00,0.647,0.45,1.00,0.647,0.004,0.45
121-1,0.55,0.605,0.38,0.55,0.605,0.012,0.40
121-2,0.07,0.621,0.72,0.07,0.624,0.024,0.73
121-3,0.63,0.581,0.02,0.63,0.581,0.010,0.02
122-1,0.83,0.591,0.69,0.83,0.591,0.008,0.72
124-1,1.00,0.643,0.27,1.00,0.643,0.003,0.26
124-2,1.00,0.642,0.16,1.00,0.642,0.003,0.16
124-3,1.00,0.642,0.25,1.00,0.642,0.003,0.25
125-1,1.00,0.602,0.99,1.00,0.600,0.007,0.98
125-2,0.99,0.628,0.21,0.99,0.627,0.006,0.22
125-3,0.99,0.617,0.37,0.99,0.617,0.006,0.37
126-1,0.93,0.593,0.20,0.93,0.593,0.007,0.22
127-1,0.97,0.596,0.40,0.97,0.594,0.006,0.42
127-2,0.97,0.584,0.45,0.97,0.584,0.007,0.46
127-3,0.31,0.668,0.15,0.30,0.668,0.004,0.16
128-1,0.63,0.661,0.56,0.63,0.661,0.005,0.61
129-1,1.00,0.595,0.56,1.00,0.595,0.005,0.56
129-2,0.22,0.591,0.59,0.22,0.589,0.011,0.58
129-3,1.00,0.594,0.56,1.00,0.595,0.005,0.56
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.87,0.600,0.04,0.87,0.600,0.007,0.05
131-2,0.85,0.591,0.04,0.85,0.591,0.008,0.04
131-3,1.00,0.619,0.07,1.00,0.618,0.006,0.07
132-1,1.00,0.597,0.54,1.00,0.596,0.006,0.53
132-2,1.00,0.599,0.51,1.00,0.599,0.006,0.51
65-1,0.90,0.637,0.23,0.90,0.637,0.005,0.23
65-2,0.87,0.639,0.23,0.87,0.639,0.004,0.23
65-3,0.90,0.637,0.24,0.90,0.637,0.004,0.24
68-1,1.00,0.661,0.97,1.00,0.661,0.004,0.97
68-2,1.00,0.663,0.98,1.00,0.662,0.004,0.97
69-1,0.17,0.625,0.36,0.17,0.624,0.014,0.37
69-2,1.00,0.604,0.42,1.00,0.604,0.007,0.41
70-1,1.00,0.623,0.23,1.00,0.622,0.005,0.23
70-2,1.00,0.632,0.13,1.00,0.631,0.003,0.13
70-3,1.00,0.629,0.09,1.00,0.629,0.003,0.09
72-1,0.92,0.589,0.01,0.92,0.589,0.008,0.01
72-2,0.78,0.648,0.01,0.78,0.648,0.011,0.01
73-1,1.00,0.655,0.99,1.00,0.654,0.004,0.99
73-2,1.00,0.654,0.98,1.00,0.653,0.004,0.98
73-3,0.99,0.839,1.00,0.99,0.839,0.011,1.00
74-1,0.55,0.606,0.12,0.55,0.605,0.010,0.12
74-2,0.99,0.620,0.10,0.99,0.620,0.006,0.10
75-1,0.17,0.609,0.57,0.17,0.610,0.017,0.60
75-2,1.00,0.593,0.68,1.00,0.592,0.007,0.63
79-1,0.89,0.593,0.12,0.89,0.592,0.006,0.12
79-2,0.72,0.590,0.12,0.72,0.590,0.007,0.12
79-3,0.94,0.587,0.10,0.94,0.586,0.007,0.10
80-1,0.64,0.599,0.18,0.64,0.599,0.010,0.18
80-2,0.99,0.602,0.23,0.99,0.602,0.007,0.21
81-1,0.86,0.604,0.01,0.86,0.604,0.008,0.07
81-2,0.86,0.604,0.01,0.86,0.604,0.008,0.07
82-1,0.97,0.649,0.67,0.97,0.649,0.005,0.71
83-1,0.95,0.621,0.44,0.95,0.620,0.005,0.45
83-2,0.95,0.615,0.34,0.95,0.614,0.005,0.32
84-1,0.85,0.654,0.04,0.85,0.654,0.003,0.04
85-1,0.98,0.587,0.40,0.98,0.586,0.007,0.39
85-2,0.98,0.586,0.52,0.98,0.586,0.007,0.51
86-1,0.96,0.607,0.53,0.96,0.606,0.007,0.51
86-2,0.96,0.607,0.53,0.96,0.606,0.007,0.51
86-3,0.80,0.601,0.30,0.80,0.600,0.009,0.31
87-1,0.95,0.621,0.46,0.95,0.621,0.006,0.46
87-2,0.95,0.623,0.21,0.95,0.623,0.006,0.21
87-3,0.81,0.623,0.49,0.81,0.622,0.006,0.52
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.13,0.679,0.05,0.13,0.681,0.008,0.05
91-2,0.13,0.746,1.00,0.13,0.747,0.020,1.00
91-3,0.13,0.710,0.52,0.13,0.707,0.004,0.52
93-1,0.03,0.871,1.00,0.03,0.872,0.034,1.00
93-2,0.03,0.916,1.00,0.03,0.917,0.029,1.00
94-1,1.00,0.589,0.44,1.00,0.588,0.007,0.53
95-1,1.00,0.659,0.96,1.00,0.659,0.004,0.96
95-2,1.00,0.662,0.99,1.00,0.662,0.004,0.99
96-1,0.34,0.938,1.00,0.35,0.938,0.004,1.00
96-2,0.34,0.932,1.00,0.35,0.932,0.004,1.00
96-3,0.34,0.934,1.00,0.35,0.934,0.005,1.00
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.45,0.681,0.50,0.45,0.681,0.003,0.50
99-1,0.99,0.612,0.19,0.99,0.612,0.006,0.18
