ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.193,0.53,0.99,0.197,0.013,0.49
BLAST-S14,1.00,0.199,0.53,1.00,0.201,0.012,0.53
Naive-S11,1.00,0.224,0.14,1.00,0.224,0.004,0.14
Naive-S14,1.00,0.226,0.17,1.00,0.226,0.004,0.17
101-1,0.89,0.214,0.36,0.89,0.213,0.012,0.36
101-2,0.86,0.253,0.26,0.86,0.255,0.012,0.21
101-3,0.89,0.240,0.60,0.89,0.240,0.012,0.57
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.52,0.223,0.17,0.52,0.223,0.015,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.270,0.93,1.00,0.272,0.013,0.93
105-2,0.97,0.280,0.96,0.97,0.280,0.013,0.96
105-3,0.98,0.273,1.00,0.98,0.274,0.014,1.00
106-1,0.39,0.183,0.10,0.39,0.183,0.016,0.12
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.26,0.136,0.13,0.26,0.136,0.015,0.14
107-1,1.00,0.245,0.78,1.00,0.247,0.014,0.78
107-2,1.00,0.252,0.03,1.00,0.251,0.015,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.335,0.27,0.98,0.335,0.010,0.27
110-2,0.93,0.265,0.39,0.93,0.265,0.011,0.37
110-3,1.00,0.223,0.28,1.00,0.223,0.011,0.30
111-1,0.94,0.320,0.27,0.94,0.319,0.011,0.27
111-2,0.99,0.206,0.29,0.99,0.207,0.011,0.32
111-3,0.09,0.060,0.01,0.09,0.060,0.010,0.01
112-1,0.99,0.273,0.55,0.99,0.275,0.011,0.52
112-2,0.99,0.270,0.48,0.99,0.273,0.011,0.51
112-3,0.99,0.268,0.48,0.99,0.269,0.011,0.49
113-1,0.99,0.266,0.48,0.99,0.268,0.011,0.47
113-2,0.81,0.143,0.49,0.81,0.145,0.009,0.43
113-3,0.63,0.186,0.51,0.63,0.187,0.013,0.53
114-1,1.00,0.304,0.96,1.00,0.306,0.014,0.90
115-1,1.00,0.299,0.36,1.00,0.301,0.013,0.31
116-1,0.66,0.239,0.05,0.66,0.239,0.015,0.07
116-2,0.29,0.119,0.01,0.29,0.119,0.015,0.02
117-1,1.00,0.318,0.12,1.00,0.319,0.011,0.12
117-2,0.26,0.139,1.00,0.26,0.138,0.014,1.00
119-1,0.96,0.296,0.71,0.96,0.297,0.013,0.70
120-1,1.00,0.303,0.97,1.00,0.305,0.014,0.91
120-2,1.00,0.268,0.55,1.00,0.269,0.010,0.54
120-3,0.99,0.228,0.45,0.99,0.229,0.009,0.46
121-1,0.56,0.234,0.44,0.56,0.234,0.016,0.47
121-2,0.10,0.080,0.32,0.10,0.080,0.014,0.39
121-3,0.64,0.252,0.03,0.64,0.253,0.015,0.02
122-1,0.77,0.287,0.77,0.77,0.288,0.015,0.75
124-1,1.00,0.246,0.25,1.00,0.247,0.009,0.27
124-2,1.00,0.228,0.15,1.00,0.227,0.007,0.15
124-3,1.00,0.254,0.25,1.00,0.255,0.009,0.26
125-1,1.00,0.305,0.96,1.00,0.306,0.014,0.91
125-2,0.95,0.274,0.24,0.95,0.275,0.014,0.23
125-3,0.96,0.268,0.32,0.96,0.269,0.014,0.31
126-1,0.23,0.130,0.21,0.23,0.130,0.014,0.22
127-1,0.94,0.300,0.42,0.94,0.302,0.012,0.41
127-2,0.93,0.309,0.42,0.93,0.310,0.012,0.44
127-3,0.26,0.095,0.08,0.26,0.095,0.008,0.07
128-1,0.61,0.157,0.21,0.61,0.161,0.013,0.20
129-1,0.97,0.295,0.54,0.97,0.296,0.010,0.55
129-2,0.28,0.150,0.50,0.28,0.151,0.010,0.49
129-3,0.97,0.295,0.54,0.97,0.296,0.010,0.55
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.82,0.279,0.03,0.82,0.279,0.014,0.04
131-2,0.82,0.287,0.02,0.82,0.287,0.014,0.03
131-3,0.99,0.262,0.06,0.99,0.262,0.013,0.06
132-1,0.99,0.274,0.60,0.99,0.275,0.011,0.58
132-2,0.99,0.267,0.53,0.99,0.269,0.011,0.52
65-1,0.99,0.242,0.40,0.99,0.243,0.007,0.41
65-2,0.97,0.244,0.38,0.97,0.245,0.007,0.40
65-3,0.99,0.243,0.46,0.99,0.245,0.007,0.45
68-1,0.99,0.192,0.99,0.99,0.192,0.012,0.99
68-2,0.99,0.186,0.97,0.99,0.190,0.011,0.97
69-1,0.32,0.151,0.29,0.32,0.151,0.014,0.25
69-2,1.00,0.298,0.37,1.00,0.298,0.013,0.36
70-1,1.00,0.268,0.25,1.00,0.269,0.009,0.24
70-2,1.00,0.216,0.11,1.00,0.216,0.005,0.11
70-3,1.00,0.215,0.09,1.00,0.215,0.006,0.09
72-1,0.87,0.280,0.01,0.87,0.280,0.013,0.01
72-2,0.73,0.204,0.01,0.73,0.204,0.013,0.01
73-1,1.00,0.248,0.98,1.00,0.249,0.013,0.98
73-2,1.00,0.247,0.98,1.00,0.247,0.013,0.98
73-3,0.99,0.178,1.00,0.99,0.178,0.013,1.00
74-1,0.56,0.206,0.03,0.56,0.207,0.013,0.06
74-2,0.97,0.248,0.18,0.97,0.249,0.013,0.16
75-1,0.32,0.163,0.29,0.32,0.163,0.014,0.30
75-2,1.00,0.298,0.48,1.00,0.300,0.013,0.52
79-1,0.87,0.279,0.17,0.87,0.280,0.012,0.18
79-2,0.63,0.232,0.11,0.63,0.234,0.012,0.11
79-3,0.92,0.320,0.19,0.92,0.321,0.013,0.19
80-1,0.65,0.229,0.12,0.65,0.230,0.013,0.10
80-2,0.99,0.288,0.50,0.99,0.288,0.014,0.42
81-1,0.73,0.255,0.02,0.73,0.255,0.014,0.05
81-2,0.73,0.255,0.02,0.73,0.255,0.014,0.04
82-1,0.92,0.251,0.51,0.92,0.252,0.013,0.52
83-1,0.97,0.299,0.21,0.97,0.300,0.011,0.21
83-2,0.97,0.314,0.18,0.97,0.314,0.011,0.20
84-1,0.79,0.152,0.05,0.79,0.153,0.009,0.05
85-1,0.92,0.340,0.24,0.92,0.341,0.012,0.25
85-2,0.94,0.331,0.45,0.94,0.333,0.012,0.42
86-1,0.72,0.249,0.30,0.72,0.248,0.012,0.30
86-2,0.72,0.249,0.30,0.72,0.248,0.012,0.30
86-3,0.40,0.188,0.30,0.40,0.188,0.015,0.30
87-1,0.91,0.248,0.45,0.91,0.249,0.013,0.43
87-2,0.91,0.262,0.19,0.91,0.265,0.013,0.19
87-3,0.72,0.240,0.11,0.72,0.240,0.013,0.17
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.17,0.071,0.03,0.17,0.070,0.008,0.03
91-2,0.17,0.071,1.00,0.17,0.070,0.008,1.00
91-3,0.17,0.024,0.46,0.17,0.024,0.008,0.47
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,1.00,0.305,0.98,1.00,0.305,0.014,0.89
95-1,0.99,0.215,0.69,0.99,0.216,0.011,0.74
95-2,0.99,0.194,0.98,0.99,0.201,0.010,0.90
96-1,0.38,0.045,1.00,0.38,0.045,0.002,1.00
96-2,0.39,0.052,1.00,0.39,0.052,0.003,1.00
96-3,0.39,0.049,1.00,0.39,0.049,0.003,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.67,0.141,0.49,0.66,0.141,0.009,0.49
99-1,0.96,0.255,0.18,0.97,0.256,0.013,0.17
