ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,15.555,0.96,0.99,15.530,0.611,0.94
BLAST-S14,1.00,15.669,0.97,1.00,15.661,0.608,0.97
Naive-S11,1.00,14.738,0.29,1.00,14.731,0.578,0.29
Naive-S14,1.00,14.738,0.28,1.00,14.731,0.578,0.28
101-1,0.89,15.583,0.49,0.89,15.549,0.655,0.51
101-2,0.86,14.858,0.69,0.86,14.821,0.652,0.62
101-3,0.89,20.137,1.00,0.89,20.151,0.874,1.00
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.52,12.013,0.33,0.52,12.020,0.696,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,15.537,0.99,1.00,15.521,0.606,0.99
105-2,0.97,33.227,1.00,0.97,33.261,3.162,1.00
105-3,0.98,41.650,1.00,0.98,41.686,3.500,1.00
106-1,0.39,12.811,0.90,0.39,12.663,0.832,0.68
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.26,13.505,0.92,0.26,13.362,1.018,0.75
107-1,1.00,57.493,1.00,1.00,57.623,4.134,1.00
107-2,1.00,14.802,0.07,1.00,14.783,0.589,0.07
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,16.774,1.00,0.98,16.798,0.647,1.00
110-2,0.93,15.121,0.95,0.93,15.113,0.592,0.94
110-3,1.00,20.653,1.00,1.00,20.658,0.607,1.00
111-1,0.94,16.291,1.00,0.94,16.316,0.629,1.00
111-2,0.99,19.400,1.00,0.99,19.404,0.589,1.00
111-3,0.09,15.787,1.00,0.09,15.785,1.751,0.99
112-1,0.99,15.352,0.78,0.99,15.323,0.576,0.83
112-2,0.99,15.334,0.79,0.99,15.312,0.576,0.83
112-3,0.99,14.878,0.76,0.99,14.849,0.589,0.74
113-1,0.99,14.867,0.76,0.99,14.851,0.590,0.75
113-2,0.81,21.385,1.00,0.81,21.390,0.571,1.00
113-3,0.63,16.735,1.00,0.63,16.775,0.832,1.00
114-1,1.00,19.926,1.00,1.00,19.950,0.848,1.00
115-1,1.00,14.688,0.71,1.00,14.659,0.601,0.70
116-1,0.66,13.619,0.64,0.66,13.558,0.700,0.69
116-2,0.29,12.582,0.66,0.29,12.521,0.897,0.50
117-1,1.00,14.572,0.17,1.00,14.528,0.597,0.16
117-2,0.26,35.205,1.00,0.26,35.271,4.668,1.00
119-1,0.96,14.906,0.90,0.96,14.897,0.595,0.90
120-1,1.00,21.164,1.00,1.00,21.186,0.919,1.00
120-2,1.00,14.678,0.65,1.00,14.668,0.577,0.65
120-3,0.99,14.695,0.55,0.99,14.679,0.563,0.56
121-1,0.56,13.377,0.85,0.56,13.345,0.638,0.82
121-2,0.10,12.502,1.00,0.10,12.438,1.505,0.99
121-3,0.64,13.064,0.57,0.64,13.044,0.674,0.48
122-1,0.77,13.846,1.00,0.77,13.841,0.644,1.00
124-1,1.00,15.306,0.49,1.00,15.273,0.606,0.52
124-2,1.00,15.100,0.34,1.00,15.096,0.590,0.34
124-3,1.00,15.207,0.48,1.00,15.187,0.606,0.49
125-1,1.00,19.881,1.00,1.00,19.905,0.846,1.00
125-2,0.95,15.475,0.93,0.95,15.461,0.627,0.93
125-3,0.96,15.587,0.97,0.96,15.539,0.616,0.98
126-1,0.23,16.472,0.40,0.23,16.404,1.295,0.41
127-1,0.94,14.537,0.59,0.94,14.528,0.624,0.60
127-2,0.93,14.389,0.64,0.93,14.381,0.629,0.64
127-3,0.26,18.596,0.70,0.26,18.567,1.430,0.71
128-1,0.61,48.457,1.00,0.61,48.558,5.506,1.00
129-1,0.97,14.380,0.66,0.97,14.361,0.599,0.66
129-2,0.28,16.069,0.64,0.28,16.024,1.218,0.64
129-3,0.97,14.374,0.66,0.97,14.354,0.599,0.66
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.82,14.854,0.98,0.82,14.849,0.691,0.95
131-2,0.82,14.325,0.85,0.82,14.303,0.628,0.85
131-3,0.99,14.790,0.37,0.99,14.754,0.605,0.39
132-1,0.99,15.223,0.79,0.99,15.209,0.575,0.81
132-2,0.99,14.688,0.73,0.99,14.666,0.583,0.74
65-1,0.99,14.747,0.68,0.99,14.741,0.584,0.68
65-2,0.97,14.606,0.66,0.97,14.600,0.589,0.66
65-3,0.99,14.743,0.71,0.99,14.737,0.586,0.70
68-1,0.99,33.849,1.00,0.99,33.910,2.114,1.00
68-2,0.99,34.493,1.00,0.99,34.557,2.173,1.00
69-1,0.32,11.028,1.00,0.32,11.019,0.543,0.99
69-2,1.00,14.531,1.00,1.00,14.524,0.589,0.99
70-1,1.00,14.836,0.54,1.00,14.825,0.594,0.53
70-2,1.00,15.247,0.21,1.00,15.166,0.583,0.25
70-3,1.00,14.930,0.16,1.00,14.908,0.578,0.18
72-1,0.87,15.339,0.60,0.87,15.317,0.597,0.61
72-2,0.73,14.849,0.02,0.73,14.830,0.662,0.02
73-1,1.00,25.315,1.00,1.00,25.412,3.008,1.00
73-2,1.00,22.453,1.00,1.00,22.530,2.276,1.00
73-3,0.99,271.876,1.00,0.99,272.131,12.539,1.00
74-1,0.56,14.611,0.51,0.56,14.543,0.686,0.48
74-2,0.97,14.986,0.69,0.97,14.947,0.617,0.81
75-1,0.32,11.028,1.00,0.32,11.019,0.543,0.99
75-2,1.00,14.531,1.00,1.00,14.524,0.589,0.99
79-1,0.87,14.999,1.00,0.87,14.954,0.636,0.91
79-2,0.63,12.810,0.34,0.63,12.793,0.635,0.34
79-3,0.92,13.957,0.87,0.92,13.940,0.603,0.86
80-1,0.65,14.710,0.71,0.65,14.702,0.666,0.72
80-2,0.99,14.867,0.72,0.99,14.830,0.608,0.84
81-1,0.73,14.098,0.73,0.73,14.072,0.640,0.73
81-2,0.73,14.098,0.73,0.73,14.072,0.640,0.73
82-1,0.92,15.474,0.97,0.92,15.464,0.654,0.97
83-1,0.97,19.586,1.00,0.97,19.608,0.847,1.00
83-2,0.97,17.565,1.00,0.97,17.589,0.741,1.00
84-1,0.79,14.096,0.18,0.79,14.085,0.625,0.20
85-1,0.92,14.792,0.78,0.92,14.789,0.644,0.78
85-2,0.94,14.740,0.78,0.94,14.703,0.627,0.80
86-1,0.72,13.811,1.00,0.72,13.784,0.616,0.97
86-2,0.72,13.811,1.00,0.72,13.784,0.616,0.97
86-3,0.40,12.904,0.97,0.40,12.775,0.815,0.86
87-1,0.91,15.175,0.57,0.91,15.164,0.622,0.57
87-2,0.91,15.229,0.36,0.91,15.219,0.629,0.37
87-3,0.72,14.343,0.83,0.72,14.296,0.634,0.84
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
