ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.234,0.47,0.99,0.237,0.009,0.44
BLAST-S14,0.99,0.257,0.52,0.99,0.259,0.009,0.53
Naive-S11,1.00,0.292,0.19,1.00,0.292,0.005,0.19
Naive-S14,1.00,0.290,0.19,1.00,0.290,0.004,0.19
101-1,0.87,0.268,0.36,0.87,0.268,0.008,0.36
101-2,0.85,0.295,0.17,0.85,0.295,0.009,0.16
101-3,0.87,0.286,0.27,0.87,0.287,0.008,0.25
102-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-3,0.43,0.209,0.17,0.43,0.209,0.012,0.17
104-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
105-1,1.00,0.305,0.94,1.00,0.306,0.010,0.94
105-2,0.98,0.310,0.95,0.98,0.310,0.010,0.95
105-3,0.98,0.309,0.99,0.98,0.309,0.010,0.99
106-1,0.40,0.180,0.09,0.40,0.180,0.012,0.08
106-2,0.00,0.003,0.00,0.00,0.003,0.000,0.08
106-3,0.25,0.141,0.09,0.25,0.141,0.012,0.07
107-1,1.00,0.265,1.00,1.00,0.266,0.009,0.87
107-2,1.00,0.266,0.02,1.00,0.266,0.010,0.02
107-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
108-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
109-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
110-1,0.99,0.352,0.34,0.99,0.353,0.008,0.36
110-2,0.96,0.334,0.38,0.96,0.334,0.009,0.38
110-3,0.99,0.276,0.25,0.99,0.276,0.007,0.27
111-1,0.96,0.344,0.38,0.96,0.343,0.008,0.38
111-2,0.98,0.272,0.25,0.98,0.273,0.007,0.29
111-3,0.12,0.098,0.01,0.12,0.098,0.010,0.01
112-1,0.99,0.339,0.46,0.99,0.340,0.009,0.47
112-2,0.99,0.340,0.40,0.99,0.341,0.009,0.45
112-3,0.98,0.332,0.46,0.98,0.333,0.008,0.44
113-1,0.99,0.334,0.42,0.99,0.335,0.009,0.42
113-2,0.74,0.188,0.33,0.74,0.189,0.007,0.33
113-3,0.65,0.239,0.54,0.65,0.240,0.009,0.53
114-1,1.00,0.337,0.85,1.00,0.339,0.010,0.82
115-1,1.00,0.326,0.28,1.00,0.327,0.010,0.24
116-1,0.73,0.243,0.01,0.73,0.243,0.011,0.02
116-2,0.38,0.128,0.01,0.38,0.128,0.010,0.01
117-1,1.00,0.368,0.12,1.00,0.368,0.009,0.12
117-2,0.30,0.171,1.00,0.30,0.171,0.012,1.00
119-1,0.96,0.329,0.56,0.96,0.330,0.009,0.59
120-1,1.00,0.337,0.91,1.00,0.339,0.010,0.88
120-2,1.00,0.298,0.54,1.00,0.299,0.007,0.53
120-3,1.00,0.273,0.46,1.00,0.273,0.007,0.46
121-1,0.48,0.214,0.38,0.48,0.213,0.012,0.45
121-2,0.06,0.038,0.44,0.06,0.038,0.007,0.52
121-3,0.57,0.259,0.01,0.57,0.259,0.011,0.01
122-1,0.70,0.300,0.69,0.70,0.300,0.011,0.69
124-1,1.00,0.274,0.34,1.00,0.275,0.007,0.30
124-2,1.00,0.256,0.16,1.00,0.256,0.005,0.16
124-3,1.00,0.278,0.25,1.00,0.278,0.007,0.25
125-1,1.00,0.335,0.85,1.00,0.337,0.009,0.80
125-2,0.93,0.303,0.15,0.93,0.303,0.009,0.15
125-3,0.95,0.293,0.21,0.95,0.295,0.010,0.22
126-1,0.94,0.307,0.16,0.94,0.307,0.009,0.18
127-1,0.94,0.348,0.39,0.94,0.349,0.008,0.39
127-2,0.93,0.347,0.42,0.93,0.348,0.008,0.43
127-3,0.30,0.102,0.06,0.30,0.102,0.006,0.06
128-1,0.61,0.212,0.27,0.61,0.213,0.010,0.25
129-1,0.99,0.365,0.57,0.99,0.365,0.008,0.58
129-2,0.21,0.153,0.44,0.21,0.153,0.008,0.44
129-3,0.99,0.365,0.57,0.99,0.366,0.008,0.58
130-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
130-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
130-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
131-1,0.73,0.291,0.04,0.73,0.291,0.011,0.04
131-2,0.72,0.293,0.04,0.72,0.293,0.011,0.04
131-3,0.99,0.290,0.06,0.99,0.292,0.009,0.05
132-1,0.99,0.342,0.53,0.99,0.343,0.009,0.51
132-2,0.99,0.338,0.48,0.99,0.338,0.008,0.49
65-1,0.88,0.280,0.20,0.88,0.281,0.008,0.22
65-2,0.84,0.285,0.22,0.84,0.285,0.008,0.22
65-3,0.88,0.290,0.24,0.88,0.291,0.008,0.24
68-1,0.99,0.230,0.99,0.99,0.232,0.008,0.97
68-2,0.99,0.239,0.99,0.99,0.241,0.008,0.98
69-1,0.18,0.118,0.05,0.18,0.119,0.009,0.05
69-2,1.00,0.319,0.27,1.00,0.320,0.010,0.27
70-1,1.00,0.303,0.20,1.00,0.303,0.007,0.21
70-2,1.00,0.297,0.15,1.00,0.297,0.005,0.15
70-3,1.00,0.289,0.09,1.00,0.289,0.005,0.09
72-1,0.84,0.315,0.01,0.84,0.315,0.011,0.01
72-2,0.72,0.230,0.01,0.72,0.229,0.011,0.01
73-1,1.00,0.254,0.98,1.00,0.255,0.009,0.90
73-2,1.00,0.255,0.98,1.00,0.256,0.009,0.90
73-3,0.99,0.206,0.95,0.99,0.206,0.010,0.96
74-1,0.50,0.224,0.02,0.50,0.225,0.010,0.03
74-2,0.98,0.288,0.09,0.98,0.288,0.009,0.09
75-1,0.18,0.122,0.05,0.18,0.122,0.009,0.07
75-2,1.00,0.329,0.31,1.00,0.330,0.010,0.35
79-1,0.88,0.315,0.10,0.88,0.316,0.009,0.11
79-2,0.59,0.255,0.08,0.59,0.255,0.009,0.09
79-3,0.91,0.335,0.07,0.91,0.336,0.009,0.07
80-1,0.57,0.246,0.02,0.57,0.246,0.010,0.03
80-2,0.99,0.313,0.09,0.99,0.314,0.010,0.12
81-1,0.73,0.263,0.02,0.73,0.263,0.011,0.04
81-2,0.73,0.263,0.02,0.73,0.263,0.011,0.04
82-1,0.91,0.252,0.51,0.91,0.253,0.009,0.51
83-1,0.95,0.320,0.28,0.95,0.321,0.008,0.28
83-2,0.95,0.326,0.22,0.95,0.327,0.008,0.26
84-1,0.81,0.203,0.04,0.81,0.203,0.007,0.04
85-1,0.98,0.365,0.24,0.98,0.365,0.009,0.27
85-2,0.99,0.360,0.46,0.99,0.361,0.009,0.47
86-1,0.96,0.307,0.43,0.96,0.308,0.008,0.52
86-2,0.96,0.307,0.43,0.96,0.308,0.008,0.52
86-3,0.72,0.254,0.30,0.72,0.254,0.010,0.30
87-1,0.85,0.294,0.40,0.85,0.296,0.010,0.39
87-2,0.85,0.291,0.18,0.85,0.292,0.009,0.17
87-3,0.69,0.287,0.11,0.69,0.288,0.010,0.18
88-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
91-1,0.12,0.070,0.03,0.12,0.070,0.007,0.03
91-2,0.12,0.071,1.00,0.12,0.071,0.007,1.00
91-3,0.12,0.037,0.46,0.12,0.038,0.003,0.45
93-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
93-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
94-1,0.99,0.332,0.20,0.99,0.333,0.010,0.19
95-1,0.99,0.242,0.66,0.99,0.247,0.007,0.81
95-2,0.99,0.230,0.93,0.99,0.234,0.008,0.95
96-1,0.39,0.073,1.00,0.39,0.073,0.003,1.00
96-2,0.39,0.079,1.00,0.39,0.079,0.003,1.00
96-3,0.39,0.079,1.00,0.39,0.079,0.003,1.00
97-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
97-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
97-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
98-1,0.50,0.139,0.49,0.50,0.139,0.006,0.49
99-1,0.97,0.289,0.13,0.97,0.290,0.009,0.13
