ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.657,0.44,0.99,0.657,0.003,0.44
BLAST-S14,0.99,0.656,0.48,0.99,0.655,0.003,0.48
Naive-S11,1.00,0.632,0.14,1.00,0.633,0.001,0.14
Naive-S14,1.00,0.631,0.17,1.00,0.631,0.001,0.17
101-1,0.87,0.658,0.36,0.87,0.658,0.003,0.36
101-2,0.85,0.642,0.10,0.85,0.642,0.003,0.10
101-3,0.87,0.646,0.21,0.87,0.645,0.003,0.22
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.43,0.795,0.17,0.43,0.795,0.010,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.621,0.94,1.00,0.621,0.005,0.94
105-2,0.98,0.617,0.97,0.98,0.617,0.005,0.97
105-3,0.98,0.623,1.00,0.98,0.623,0.005,1.00
106-1,0.40,0.835,0.03,0.40,0.836,0.009,0.04
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.08
106-3,0.25,0.875,0.03,0.25,0.875,0.009,0.04
107-1,1.00,0.647,0.79,1.00,0.647,0.004,0.80
107-2,1.00,0.625,0.02,1.00,0.625,0.005,0.02
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.99,0.663,0.24,0.99,0.662,0.003,0.31
110-2,0.96,0.616,0.48,0.96,0.616,0.005,0.48
110-3,0.99,0.663,0.40,0.99,0.663,0.002,0.40
111-1,0.96,0.655,0.40,0.96,0.655,0.004,0.39
111-2,0.98,0.659,0.40,0.98,0.659,0.003,0.41
111-3,0.12,0.913,0.01,0.12,0.913,0.009,0.01
112-1,0.99,0.601,0.46,0.99,0.601,0.005,0.47
112-2,0.99,0.601,0.46,0.99,0.600,0.005,0.47
112-3,0.98,0.602,0.46,0.98,0.602,0.005,0.46
113-1,0.99,0.602,0.46,0.99,0.602,0.005,0.46
113-2,0.74,0.670,0.42,0.74,0.670,0.002,0.40
113-3,0.65,0.665,0.40,0.65,0.664,0.004,0.38
114-1,1.00,0.608,0.85,1.00,0.608,0.005,0.85
115-1,1.00,0.595,0.28,1.00,0.595,0.006,0.29
116-1,0.73,0.719,0.01,0.73,0.719,0.008,0.01
116-2,0.38,0.872,0.01,0.38,0.872,0.008,0.01
117-1,1.00,0.617,0.12,1.00,0.616,0.004,0.12
117-2,0.30,0.810,1.00,0.30,0.810,0.010,1.00
119-1,0.96,0.622,0.54,0.96,0.622,0.004,0.55
120-1,1.00,0.608,0.88,1.00,0.607,0.005,0.88
120-2,1.00,0.622,0.51,1.00,0.622,0.003,0.51
120-3,1.00,0.650,0.45,1.00,0.650,0.003,0.45
121-1,0.48,0.788,0.38,0.48,0.788,0.010,0.36
121-2,0.06,0.966,0.32,0.06,0.966,0.005,0.36
121-3,0.57,0.716,0.01,0.57,0.717,0.010,0.01
122-1,0.70,0.663,0.69,0.70,0.664,0.009,0.69
124-1,1.00,0.637,0.25,1.00,0.637,0.003,0.25
124-2,1.00,0.642,0.16,1.00,0.642,0.002,0.16
124-3,1.00,0.637,0.24,1.00,0.636,0.003,0.24
125-1,1.00,0.609,0.85,1.00,0.609,0.005,0.84
125-2,0.93,0.632,0.16,0.93,0.631,0.004,0.17
125-3,0.95,0.640,0.20,0.95,0.640,0.004,0.20
126-1,0.94,0.617,0.20,0.94,0.617,0.005,0.19
127-1,0.94,0.606,0.38,0.94,0.606,0.004,0.39
127-2,0.93,0.603,0.40,0.93,0.603,0.004,0.41
127-3,0.30,0.808,0.01,0.30,0.808,0.010,0.01
128-1,0.61,0.676,0.05,0.61,0.676,0.003,0.07
129-1,0.99,0.600,0.56,0.99,0.600,0.004,0.56
129-2,0.21,0.818,0.11,0.21,0.819,0.011,0.12
129-3,0.99,0.600,0.56,0.99,0.600,0.004,0.56
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.73,0.663,0.03,0.73,0.663,0.008,0.03
131-2,0.72,0.658,0.02,0.72,0.658,0.008,0.02
131-3,0.99,0.620,0.06,0.99,0.620,0.005,0.06
132-1,0.99,0.600,0.52,0.99,0.600,0.005,0.52
132-2,0.99,0.603,0.50,0.99,0.602,0.005,0.50
65-1,0.88,0.645,0.20,0.88,0.644,0.003,0.21
65-2,0.84,0.645,0.20,0.84,0.645,0.003,0.20
65-3,0.88,0.645,0.22,0.88,0.645,0.003,0.22
68-1,0.99,0.668,0.93,0.99,0.668,0.002,0.92
68-2,0.99,0.667,0.95,0.99,0.666,0.002,0.95
69-1,0.18,0.842,0.01,0.18,0.842,0.011,0.01
69-2,1.00,0.605,0.38,1.00,0.605,0.005,0.40
70-1,1.00,0.623,0.23,1.00,0.623,0.003,0.23
70-2,1.00,0.631,0.13,1.00,0.631,0.002,0.13
70-3,1.00,0.628,0.09,1.00,0.628,0.002,0.09
72-1,0.84,0.639,0.01,0.84,0.639,0.008,0.01
72-2,0.72,0.750,0.01,0.72,0.750,0.009,0.01
73-1,1.00,0.652,0.98,1.00,0.652,0.003,0.98
73-2,1.00,0.651,0.98,1.00,0.651,0.003,0.98
73-3,0.99,0.816,1.00,0.99,0.816,0.008,1.00
74-1,0.50,0.694,0.01,0.50,0.694,0.007,0.01
74-2,0.98,0.626,0.09,0.98,0.626,0.004,0.09
75-1,0.18,0.842,0.01,0.18,0.842,0.011,0.01
75-2,1.00,0.596,0.51,1.00,0.596,0.006,0.53
79-1,0.88,0.616,0.10,0.88,0.616,0.004,0.10
79-2,0.59,0.669,0.03,0.59,0.669,0.005,0.03
79-3,0.91,0.605,0.07,0.91,0.605,0.004,0.07
80-1,0.57,0.673,0.01,0.57,0.673,0.007,0.01
80-2,0.99,0.611,0.12,0.99,0.611,0.005,0.12
81-1,0.73,0.672,0.01,0.73,0.673,0.008,0.01
81-2,0.73,0.672,0.01,0.73,0.673,0.008,0.01
82-1,0.91,0.653,0.57,0.91,0.652,0.003,0.60
83-1,0.95,0.615,0.24,0.95,0.615,0.004,0.25
83-2,0.95,0.609,0.22,0.95,0.609,0.004,0.21
84-1,0.81,0.667,0.03,0.81,0.668,0.002,0.03
85-1,0.98,0.595,0.30,0.98,0.594,0.005,0.30
85-2,0.99,0.596,0.46,0.99,0.596,0.005,0.45
86-1,0.96,0.622,0.46,0.96,0.622,0.004,0.46
86-2,0.96,0.622,0.46,0.96,0.622,0.004,0.46
86-3,0.72,0.653,0.30,0.72,0.653,0.007,0.30
87-1,0.85,0.632,0.40,0.85,0.631,0.004,0.41
87-2,0.85,0.635,0.18,0.85,0.635,0.004,0.18
87-3,0.69,0.648,0.11,0.69,0.649,0.006,0.12
88-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.12,0.891,0.02,0.12,0.891,0.010,0.02
91-2,0.12,0.914,1.00,0.12,0.914,0.009,1.00
91-3,0.12,0.889,0.44,0.12,0.889,0.010,0.44
93-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
94-1,0.99,0.597,0.21,0.99,0.597,0.005,0.20
95-1,0.99,0.667,0.93,0.99,0.667,0.003,0.93
95-2,0.99,0.668,0.96,0.99,0.668,0.002,0.96
96-1,0.39,0.725,1.00,0.39,0.725,0.007,1.00
96-2,0.39,0.725,1.00,0.39,0.725,0.007,1.00
96-3,0.39,0.724,1.00,0.39,0.724,0.007,1.00
97-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,0.50,0.699,0.46,0.50,0.699,0.002,0.46
99-1,0.97,0.624,0.16,0.97,0.623,0.004,0.15
