ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.667,0.38,0.98,0.666,0.004,0.38
BLAST-S14,0.98,0.665,0.41,0.98,0.665,0.004,0.41
Naive-S11,1.00,0.636,0.14,1.00,0.636,0.002,0.14
Naive-S14,1.00,0.635,0.17,1.00,0.635,0.002,0.17
101-1,0.80,0.655,0.34,0.80,0.654,0.005,0.33
101-2,0.78,0.633,0.06,0.78,0.634,0.006,0.05
101-3,0.80,0.640,0.12,0.80,0.640,0.005,0.15
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.15,0.875,0.01,0.15,0.875,0.014,0.01
103-2,0.18,0.853,0.01,0.18,0.853,0.014,0.01
103-3,0.46,0.782,0.17,0.46,0.782,0.014,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.619,0.92,1.00,0.618,0.007,0.92
105-2,0.94,0.605,0.97,0.93,0.605,0.007,0.97
105-3,0.96,0.611,0.99,0.96,0.611,0.007,0.99
106-1,0.40,0.817,0.03,0.40,0.817,0.014,0.04
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.22,0.884,0.03,0.22,0.884,0.012,0.05
107-1,1.00,0.635,0.75,1.00,0.635,0.006,0.75
107-2,1.00,0.611,0.02,1.00,0.611,0.007,0.02
107-3,0.22,0.814,0.01,0.22,0.814,0.014,0.01
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.97,0.661,0.22,0.97,0.660,0.004,0.27
110-2,0.94,0.608,0.44,0.94,0.608,0.007,0.42
110-3,0.99,0.661,0.62,0.99,0.661,0.004,0.62
111-1,0.94,0.658,0.40,0.94,0.657,0.004,0.33
111-2,0.99,0.658,0.56,0.99,0.657,0.004,0.56
111-3,0.06,0.953,0.01,0.06,0.953,0.009,0.01
112-1,0.98,0.595,0.46,0.98,0.595,0.007,0.46
112-2,0.99,0.595,0.45,0.99,0.595,0.007,0.46
112-3,0.97,0.597,0.46,0.97,0.597,0.007,0.45
113-1,0.98,0.597,0.45,0.98,0.597,0.007,0.44
113-2,0.80,0.665,0.61,0.80,0.664,0.004,0.59
113-3,0.60,0.669,0.40,0.60,0.669,0.006,0.41
114-1,1.00,0.588,0.75,1.00,0.587,0.007,0.75
115-1,1.00,0.579,0.28,1.00,0.579,0.008,0.29
116-1,0.73,0.698,0.01,0.73,0.698,0.012,0.01
116-2,0.40,0.855,0.01,0.40,0.855,0.011,0.01
117-1,1.00,0.609,0.11,1.00,0.610,0.007,0.11
117-2,0.25,0.858,1.00,0.25,0.858,0.013,1.00
119-1,0.93,0.619,0.37,0.93,0.618,0.006,0.38
120-1,1.00,0.593,0.81,1.00,0.593,0.007,0.81
120-2,1.00,0.623,0.50,1.00,0.623,0.004,0.50
120-3,1.00,0.649,0.45,1.00,0.649,0.004,0.45
121-1,0.48,0.767,0.38,0.48,0.767,0.014,0.36
121-2,0.04,0.970,0.32,0.04,0.970,0.007,0.36
121-3,0.57,0.713,0.01,0.57,0.713,0.014,0.01
122-1,0.55,0.732,0.69,0.55,0.732,0.015,0.69
124-1,1.00,0.633,0.24,1.00,0.632,0.004,0.24
124-2,1.00,0.643,0.16,1.00,0.643,0.003,0.16
124-3,1.00,0.630,0.23,1.00,0.630,0.004,0.23
125-1,1.00,0.589,0.75,1.00,0.589,0.007,0.75
125-2,0.86,0.617,0.12,0.86,0.617,0.006,0.13
125-3,0.90,0.650,0.15,0.90,0.650,0.005,0.15
126-1,0.84,0.659,0.16,0.84,0.659,0.010,0.18
127-1,0.89,0.611,0.32,0.89,0.610,0.006,0.33
127-2,0.88,0.615,0.38,0.88,0.615,0.006,0.37
127-3,0.25,0.833,0.01,0.25,0.834,0.013,0.01
128-1,0.62,0.668,0.05,0.62,0.668,0.005,0.05
129-1,0.97,0.602,0.55,0.97,0.602,0.006,0.54
129-2,0.14,0.872,0.11,0.14,0.872,0.014,0.11
129-3,0.97,0.602,0.55,0.97,0.602,0.006,0.54
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.58,0.728,0.04,0.58,0.728,0.014,0.04
131-2,0.59,0.718,0.04,0.59,0.718,0.014,0.04
131-3,0.94,0.601,0.05,0.94,0.600,0.008,0.05
132-1,0.99,0.598,0.52,0.99,0.598,0.007,0.52
