ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,18.615,0.90,0.98,18.602,0.802,0.87
BLAST-S14,0.98,18.650,0.92,0.98,18.628,0.802,0.89
Naive-S11,1.00,17.311,0.22,1.00,17.302,0.739,0.23
Naive-S14,1.00,17.320,0.25,1.00,17.313,0.744,0.25
101-1,0.80,18.117,0.42,0.80,18.068,0.787,0.42
101-2,0.78,17.443,0.43,0.78,17.415,0.783,0.47
101-3,0.80,19.900,1.00,0.80,19.914,0.821,0.99
102-1,0.00,18.687,1.00,0.00,18.680,0.803,1.00
102-2,0.00,18.687,1.00,0.00,18.680,0.803,1.00
102-3,0.00,18.687,1.00,0.00,18.680,0.803,1.00
103-1,0.15,18.090,0.15,0.15,18.081,0.816,0.15
103-2,0.18,17.879,0.16,0.18,17.871,0.821,0.16
103-3,0.46,16.927,0.17,0.46,16.923,0.798,0.17
104-1,0.00,18.687,1.00,0.00,18.680,0.803,1.00
104-2,0.00,18.687,1.00,0.00,18.680,0.803,1.00
104-3,0.00,18.687,1.00,0.00,18.680,0.803,1.00
105-1,1.00,17.999,0.98,1.00,17.992,0.766,0.98
105-2,0.94,26.310,1.00,0.93,26.356,2.048,1.00
105-3,0.96,36.370,1.00,0.96,36.371,2.878,1.00
106-1,0.40,17.340,0.03,0.40,17.334,0.804,0.08
106-2,0.00,18.687,1.00,0.00,18.680,0.803,1.00
106-3,0.22,17.861,0.03,0.22,17.855,0.805,0.06
107-1,1.00,51.423,1.00,1.00,51.352,4.059,1.00
107-2,1.00,17.346,0.07,1.00,17.323,0.768,0.08
107-3,0.22,18.033,0.08,0.22,18.018,0.813,0.08
108-1,0.00,18.687,1.00,0.00,18.680,0.803,1.00
109-1,0.00,18.687,1.00,0.00,18.680,0.803,1.00
110-1,0.97,17.855,0.99,0.97,17.834,0.787,0.99
110-2,0.94,17.372,0.86,0.94,17.352,0.783,0.84
110-3,0.99,20.545,1.00,0.99,20.550,0.686,1.00
111-1,0.94,17.805,0.99,0.94,17.795,0.787,0.99
111-2,0.99,19.967,1.00,0.99,19.973,0.694,1.00
111-3,0.06,18.306,0.36,0.06,18.300,0.796,0.37
112-1,0.98,17.349,0.73,0.98,17.327,0.770,0.72
112-2,0.99,17.332,0.70,0.99,17.309,0.767,0.72
112-3,0.97,17.491,0.70,0.97,17.469,0.769,0.71
113-1,0.98,17.459,0.70,0.98,17.449,0.767,0.71
113-2,0.80,20.506,1.00,0.80,20.511,0.690,1.00
113-3,0.60,17.939,0.99,0.60,17.927,0.784,0.99
114-1,1.00,16.414,1.00,1.00,16.409,0.778,1.00
115-1,1.00,17.010,0.65,1.00,16.963,0.768,0.67
116-1,0.73,17.043,0.37,0.73,17.021,0.777,0.39
116-2,0.40,17.822,0.10,0.40,17.810,0.798,0.11
117-1,1.00,16.843,0.14,1.00,16.831,0.760,0.14
117-2,0.25,17.913,1.00,0.25,17.922,0.786,1.00
119-1,0.93,17.932,0.86,0.93,17.870,0.782,0.82
120-1,1.00,16.480,1.00,1.00,16.470,0.766,1.00
