ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.204,0.35,0.98,0.208,0.011,0.38
BLAST-S14,0.98,0.208,0.43,0.98,0.211,0.011,0.40
Naive-S11,1.00,0.284,0.22,1.00,0.284,0.006,0.22
Naive-S14,1.00,0.279,0.19,1.00,0.280,0.006,0.21
101-1,0.80,0.304,0.36,0.80,0.304,0.013,0.36
101-2,0.78,0.343,0.17,0.78,0.343,0.014,0.16
101-3,0.80,0.312,0.40,0.80,0.316,0.013,0.32
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.15,0.477,0.20,0.15,0.478,0.040,0.21
103-2,0.18,0.482,0.20,0.18,0.482,0.037,0.22
103-3,0.46,0.397,0.17,0.46,0.396,0.022,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.319,0.93,1.00,0.319,0.014,0.92
105-2,0.94,0.335,0.95,0.93,0.336,0.014,0.96
105-3,0.96,0.337,0.99,0.96,0.337,0.015,0.99
106-1,0.40,0.383,0.03,0.40,0.383,0.025,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.22,0.383,0.03,0.22,0.385,0.034,0.11
107-1,1.00,0.295,0.75,1.00,0.297,0.014,0.76
107-2,1.00,0.291,0.02,1.00,0.291,0.014,0.02
107-3,0.22,0.360,0.08,0.22,0.368,0.035,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.346,0.40,0.97,0.346,0.011,0.38
110-2,0.94,0.355,0.37,0.94,0.355,0.013,0.37
110-3,0.99,0.263,0.34,0.99,0.263,0.010,0.34
111-1,0.94,0.352,0.40,0.94,0.352,0.011,0.38
111-2,0.99,0.265,0.34,0.99,0.265,0.010,0.35
111-3,0.06,0.372,0.36,0.06,0.379,0.055,0.32
112-1,0.98,0.351,0.40,0.98,0.353,0.012,0.43
112-2,0.99,0.353,0.40,0.99,0.353,0.012,0.42
112-3,0.97,0.348,0.42,0.97,0.348,0.012,0.43
113-1,0.98,0.346,0.40,0.98,0.348,0.012,0.43
113-2,0.80,0.210,0.56,0.80,0.211,0.011,0.57
113-3,0.60,0.295,0.84,0.60,0.299,0.015,0.82
114-1,1.00,0.360,0.72,1.00,0.363,0.013,0.76
115-1,1.00,0.344,0.18,1.00,0.346,0.014,0.21
116-1,0.73,0.327,0.02,0.73,0.327,0.017,0.03
116-2,0.40,0.298,0.01,0.40,0.298,0.022,0.02
117-1,1.00,0.368,0.11,1.00,0.367,0.012,0.11
117-2,0.25,0.364,1.00,0.25,0.364,0.030,1.00
119-1,0.93,0.338,0.50,0.93,0.339,0.014,0.48
120-1,1.00,0.347,0.83,1.00,0.352,0.014,0.84
120-2,1.00,0.289,0.51,1.00,0.290,0.009,0.51
120-3,1.00,0.269,0.46,1.00,0.269,0.009,0.46
121-1,0.48,0.392,0.60,0.48,0.392,0.022,0.53
121-2,0.04,0.459,0.44,0.04,0.456,0.064,0.51
121-3,0.57,0.386,0.02,0.57,0.386,0.020,0.02
122-1,0.55,0.398,0.69,0.55,0.398,0.021,0.69
124-1,1.00,0.278,0.25,1.00,0.280,0.010,0.28
124-2,1.00,0.249,0.16,1.00,0.250,0.007,0.17
124-3,1.00,0.287,0.25,1.00,0.287,0.010,0.25
125-1,1.00,0.359,0.68,1.00,0.362,0.013,0.73
125-2,0.86,0.360,0.16,0.86,0.361,0.014,0.15
125-3,0.90,0.276,0.18,0.90,0.280,0.013,0.17
126-1,0.84,0.305,0.16,0.84,0.304,0.014,0.18
127-1,0.89,0.362,0.36,0.89,0.362,0.012,0.36
127-2,0.88,0.349,0.40,0.88,0.351,0.012,0.43
127-3,0.25,0.173,0.07,0.25,0.178,0.017,0.15
