ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.666,0.39,0.98,0.665,0.004,0.39
BLAST-S14,0.98,0.664,0.41,0.98,0.664,0.004,0.41
Naive-S11,1.00,0.636,0.14,1.00,0.636,0.002,0.14
Naive-S14,1.00,0.635,0.17,1.00,0.635,0.002,0.17
101-1,0.80,0.631,0.36,0.80,0.632,0.006,0.36
101-2,0.78,0.604,0.16,0.78,0.604,0.007,0.15
101-3,0.80,0.623,0.40,0.80,0.622,0.006,0.43
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.15,0.503,0.17,0.15,0.503,0.026,0.17
103-2,0.18,0.500,0.21,0.18,0.500,0.026,0.20
103-3,0.46,0.573,0.17,0.46,0.573,0.017,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.619,0.92,1.00,0.618,0.007,0.92
105-2,0.94,0.602,0.97,0.93,0.601,0.007,0.97
105-3,0.96,0.608,0.99,0.96,0.608,0.007,0.99
106-1,0.40,0.587,0.03,0.40,0.588,0.018,0.05
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.22,0.561,0.03,0.22,0.562,0.022,0.05
107-1,1.00,0.635,0.75,1.00,0.634,0.006,0.75
107-2,1.00,0.611,0.02,1.00,0.611,0.007,0.02
107-3,0.22,0.567,0.05,0.22,0.567,0.021,0.06
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.661,0.22,0.97,0.660,0.004,0.35
110-2,0.94,0.601,0.44,0.94,0.601,0.007,0.44
110-3,0.99,0.661,0.62,0.99,0.661,0.004,0.63
111-1,0.94,0.654,0.40,0.94,0.654,0.005,0.42
111-2,0.99,0.657,0.56,0.99,0.657,0.004,0.57
111-3,0.06,0.569,0.36,0.06,0.566,0.031,0.39
112-1,0.98,0.593,0.46,0.98,0.593,0.007,0.46
112-2,0.99,0.593,0.45,0.99,0.593,0.007,0.46
112-3,0.97,0.594,0.46,0.97,0.595,0.007,0.46
113-1,0.98,0.595,0.45,0.98,0.595,0.007,0.45
113-2,0.80,0.653,0.93,0.80,0.653,0.005,0.95
113-3,0.60,0.626,0.85,0.60,0.626,0.007,0.85
114-1,1.00,0.588,0.75,1.00,0.587,0.007,0.75
115-1,1.00,0.579,0.28,1.00,0.579,0.008,0.29
116-1,0.73,0.613,0.01,0.73,0.613,0.011,0.01
116-2,0.40,0.669,0.01,0.40,0.669,0.015,0.01
117-1,1.00,0.609,0.11,1.00,0.610,0.007,0.11
117-2,0.25,0.565,1.00,0.25,0.566,0.017,1.00
119-1,0.93,0.614,0.50,0.93,0.613,0.007,0.46
120-1,1.00,0.593,0.81,1.00,0.593,0.007,0.81
120-2,1.00,0.623,0.50,1.00,0.623,0.004,0.50
120-3,1.00,0.648,0.45,1.00,0.648,0.004,0.45
121-1,0.48,0.566,0.38,0.48,0.567,0.014,0.39
121-2,0.04,0.521,0.44,0.04,0.523,0.039,0.53
121-3,0.57,0.558,0.01,0.57,0.558,0.012,0.01
122-1,0.55,0.561,0.69,0.55,0.561,0.015,0.69
124-1,1.00,0.633,0.24,1.00,0.632,0.004,0.24
124-2,1.00,0.643,0.16,1.00,0.642,0.003,0.16
124-3,1.00,0.630,0.23,1.00,0.630,0.004,0.23
125-1,1.00,0.589,0.75,1.00,0.589,0.007,0.75
125-2,0.86,0.603,0.15,0.86,0.603,0.007,0.15
125-3,0.90,0.647,0.17,0.90,0.646,0.005,0.16
126-1,0.84,0.616,0.16,0.84,0.616,0.009,0.18
127-1,0.89,0.595,0.36,0.89,0.595,0.007,0.36
127-2,0.88,0.600,0.40,0.88,0.600,0.006,0.41
127-3,0.25,0.677,0.15,0.25,0.677,0.004,0.15
128-1,0.62,0.647,0.33,0.62,0.646,0.008,0.33
129-1,0.97,0.597,0.55,0.97,0.597,0.006,0.55
129-2,0.14,0.610,0.50,0.14,0.608,0.011,0.50
129-3,0.97,0.597,0.55,0.97,0.597,0.006,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.58,0.576,0.04,0.58,0.576,0.014,0.04
131-2,0.59,0.566,0.04,0.59,0.566,0.014,0.04
131-3,0.94,0.593,0.06,0.94,0.593,0.008,0.06
132-1,0.99,0.596,0.52,0.99,0.596,0.007,0.52
132-2,0.98,0.599,0.52,0.98,0.599,0.007,0.52
65-1,0.86,0.629,0.23,0.86,0.628,0.006,0.22
65-2,0.79,0.625,0.23,0.79,0.625,0.006,0.23
65-3,0.85,0.631,0.24,0.85,0.631,0.005,0.24
68-1,0.98,0.661,0.88,0.98,0.661,0.004,0.88
68-2,0.98,0.659,0.90,0.98,0.659,0.004,0.91
69-1,0.39,0.557,0.53,0.39,0.556,0.015,0.57
69-2,1.00,0.585,0.46,1.00,0.584,0.009,0.43
70-1,1.00,0.619,0.24,1.00,0.619,0.005,0.23
70-2,0.98,0.636,0.13,0.98,0.635,0.003,0.13
70-3,0.98,0.634,0.09,0.98,0.634,0.003,0.09
72-1,0.79,0.619,0.01,0.79,0.620,0.012,0.01
72-2,0.70,0.712,0.01,0.70,0.712,0.013,0.01
73-1,1.00,0.637,0.98,1.00,0.636,0.006,0.97
73-2,1.00,0.638,0.97,1.00,0.637,0.006,0.96
73-3,0.97,0.756,0.98,0.97,0.756,0.012,0.98
74-1,0.52,0.595,0.08,0.52,0.595,0.011,0.08
74-2,0.97,0.609,0.09,0.97,0.609,0.007,0.09
75-1,0.39,0.542,0.70,0.39,0.542,0.016,0.70
75-2,1.00,0.581,0.51,1.00,0.581,0.008,0.53
79-1,0.84,0.601,0.12,0.84,0.600,0.007,0.12
79-2,0.41,0.594,0.13,0.41,0.592,0.010,0.13
79-3,0.89,0.580,0.08,0.89,0.580,0.007,0.09
80-1,0.56,0.578,0.09,0.56,0.577,0.011,0.08
80-2,0.98,0.593,0.12,0.98,0.593,0.008,0.11
81-1,0.61,0.597,0.01,0.61,0.597,0.011,0.01
81-2,0.61,0.597,0.01,0.61,0.597,0.011,0.01
82-1,0.81,0.638,0.57,0.81,0.639,0.006,0.57
83-1,0.97,0.595,0.27,0.97,0.595,0.006,0.27
83-2,0.97,0.582,0.18,0.97,0.581,0.007,0.19
84-1,0.79,0.651,0.05,0.79,0.651,0.004,0.05
85-1,0.93,0.580,0.27,0.93,0.579,0.008,0.28
85-2,0.95,0.586,0.40,0.95,0.586,0.008,0.39
86-1,0.97,0.637,0.54,0.97,0.635,0.005,0.54
86-2,0.97,0.637,0.54,0.97,0.635,0.005,0.54
86-3,0.66,0.633,0.33,0.66,0.632,0.008,0.32
87-1,0.74,0.588,0.39,0.74,0.586,0.009,0.34
87-2,0.74,0.590,0.17,0.74,0.588,0.009,0.16
87-3,0.61,0.567,0.11,0.61,0.567,0.010,0.15
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.08,0.680,0.04,0.08,0.675,0.006,0.04
91-2,0.08,0.736,1.00,0.08,0.738,0.024,1.00
91-3,0.08,0.705,0.53,0.08,0.705,0.002,0.54
93-1,0.18,0.812,1.00,0.18,0.812,0.027,1.00
93-2,0.21,0.904,1.00,0.21,0.904,0.012,1.00
94-1,0.98,0.576,0.13,0.98,0.576,0.009,0.13
95-1,0.98,0.663,0.89,0.98,0.663,0.004,0.90
95-2,0.98,0.660,0.93,0.98,0.660,0.004,0.93
96-1,0.33,0.934,1.00,0.33,0.934,0.005,1.00
96-2,0.33,0.924,1.00,0.33,0.924,0.006,1.00
96-3,0.33,0.928,1.00,0.33,0.928,0.005,1.00
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.54,0.645,0.50,0.54,0.646,0.008,0.50
99-1,0.90,0.625,0.15,0.90,0.624,0.006,0.14
