ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.167,0.46,0.98,0.172,0.011,0.42
BLAST-S14,0.98,0.169,0.43,0.98,0.172,0.011,0.41
Naive-S11,1.00,0.210,0.14,1.00,0.210,0.005,0.15
Naive-S14,1.00,0.211,0.17,1.00,0.212,0.005,0.17
101-1,0.80,0.267,0.36,0.80,0.267,0.013,0.36
101-2,0.78,0.303,0.17,0.78,0.303,0.014,0.17
101-3,0.80,0.276,0.59,0.80,0.276,0.014,0.57
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.15,0.448,0.20,0.15,0.449,0.041,0.20
103-2,0.18,0.463,0.20,0.18,0.465,0.039,0.25
103-3,0.46,0.368,0.17,0.46,0.367,0.023,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.279,0.93,1.00,0.279,0.014,0.92
105-2,0.94,0.291,0.97,0.93,0.293,0.014,0.96
105-3,0.96,0.295,0.99,0.96,0.295,0.014,0.99
106-1,0.40,0.350,0.03,0.40,0.351,0.025,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.22,0.347,0.03,0.22,0.348,0.033,0.10
107-1,1.00,0.261,0.75,1.00,0.264,0.014,0.77
107-2,1.00,0.250,0.02,1.00,0.250,0.014,0.02
107-3,0.22,0.325,0.08,0.22,0.332,0.035,0.07
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.97,0.315,0.39,0.97,0.317,0.010,0.33
110-2,0.94,0.304,0.37,0.94,0.304,0.013,0.35
110-3,0.99,0.221,0.26,0.99,0.221,0.010,0.26
111-1,0.94,0.319,0.40,0.94,0.320,0.011,0.35
111-2,0.99,0.219,0.26,0.99,0.219,0.010,0.30
111-3,0.06,0.320,0.36,0.06,0.326,0.056,0.33
112-1,0.98,0.297,0.42,0.98,0.299,0.012,0.44
112-2,0.99,0.297,0.48,0.99,0.299,0.013,0.45
112-3,0.97,0.296,0.42,0.97,0.296,0.012,0.44
113-1,0.98,0.294,0.43,0.98,0.296,0.013,0.45
113-2,0.80,0.155,0.56,0.80,0.157,0.010,0.59
113-3,0.60,0.254,0.84,0.60,0.258,0.015,0.82
114-1,1.00,0.318,0.72,1.00,0.322,0.013,0.78
115-1,1.00,0.305,0.18,1.00,0.306,0.014,0.21
116-1,0.73,0.286,0.03,0.73,0.286,0.017,0.04
116-2,0.40,0.249,0.01,0.40,0.249,0.021,0.02
117-1,1.00,0.324,0.11,1.00,0.324,0.011,0.11
117-2,0.25,0.320,1.00,0.25,0.319,0.030,1.00
119-1,0.93,0.303,0.54,0.93,0.304,0.014,0.50
120-1,1.00,0.309,0.91,1.00,0.313,0.014,0.85
120-2,1.00,0.237,0.44,1.00,0.238,0.008,0.46
120-3,1.00,0.209,0.45,1.00,0.209,0.008,0.45
121-1,0.48,0.365,0.60,0.48,0.365,0.022,0.54
121-2,0.04,0.428,0.44,0.04,0.426,0.067,0.52
121-3,0.57,0.358,0.02,0.57,0.359,0.020,0.02
122-1,0.55,0.370,0.69,0.55,0.370,0.021,0.69
124-1,1.00,0.224,0.18,1.00,0.225,0.009,0.22
124-2,1.00,0.200,0.11,1.00,0.200,0.006,0.12
124-3,1.00,0.230,0.18,1.00,0.232,0.009,0.22
125-1,1.00,0.317,0.72,1.00,0.321,0.013,0.74
125-2,0.86,0.319,0.16,0.86,0.321,0.014,0.16
125-3,0.90,0.239,0.16,0.90,0.242,0.013,0.17
126-1,0.84,0.264,0.16,0.84,0.264,0.014,0.19
127-1,0.89,0.318,0.36,0.89,0.318,0.012,0.36
127-2,0.88,0.302,0.43,0.88,0.304,0.012,0.44
127-3,0.25,0.167,0.08,0.25,0.171,0.016,0.13
128-1,0.62,0.219,0.27,0.62,0.222,0.017,0.24
129-1,0.97,0.298,0.56,0.97,0.301,0.011,0.55
129-2,0.14,0.301,0.48,0.14,0.302,0.023,0.48
129-3,0.97,0.298,0.56,0.97,0.301,0.011,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
