ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.88,0.663,0.34,0.88,0.661,0.015,0.35
BLAST-S14,0.91,0.636,0.38,0.91,0.625,0.032,0.36
Naive-S11,1.00,0.651,0.16,1.00,0.650,0.004,0.16
Naive-S14,1.00,0.652,0.18,1.00,0.650,0.005,0.19
101-1,0.97,0.550,0.36,0.97,0.552,0.030,0.36
101-2,0.97,0.498,0.22,0.97,0.492,0.036,0.22
101-3,0.97,0.583,1.00,0.97,0.587,0.029,0.89
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.79,0.571,0.11,0.79,0.566,0.028,0.10
103-2,0.94,0.446,0.15,0.94,0.445,0.041,0.15
103-3,0.76,0.503,0.17,0.76,0.507,0.059,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.400,0.95,1.00,0.402,0.043,0.95
105-2,1.00,0.460,0.99,1.00,0.462,0.050,0.99
105-3,1.00,0.453,1.00,1.00,0.456,0.051,1.00
106-1,0.55,0.652,0.03,0.55,0.654,0.062,0.07
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.52,0.673,0.03,0.52,0.675,0.062,0.07
107-1,1.00,0.480,0.77,1.00,0.473,0.049,0.87
107-2,1.00,0.402,0.05,1.00,0.399,0.048,0.06
107-3,1.00,0.493,0.04,1.00,0.482,0.042,0.05
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.94,0.564,0.90,0.94,0.556,0.035,0.85
110-2,1.00,0.551,0.40,1.00,0.547,0.032,0.46
110-3,0.97,0.498,1.00,0.97,0.500,0.041,1.00
111-1,0.94,0.564,0.90,0.94,0.556,0.035,0.85
111-2,1.00,0.498,1.00,1.00,0.500,0.041,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.508,0.48,1.00,0.505,0.032,0.45
112-2,1.00,0.511,0.45,1.00,0.509,0.032,0.45
112-3,0.97,0.515,0.44,0.97,0.513,0.030,0.43
113-1,0.97,0.517,0.45,0.97,0.515,0.029,0.43
113-2,0.97,0.518,1.00,0.97,0.518,0.040,0.96
113-3,0.88,0.595,0.77,0.88,0.585,0.031,0.75
114-1,1.00,0.349,0.98,1.00,0.351,0.046,0.98
115-1,1.00,0.384,0.48,1.00,0.384,0.045,0.49
116-1,0.94,0.457,0.38,0.94,0.460,0.048,0.42
116-2,0.58,0.661,0.38,0.58,0.663,0.060,0.50
117-1,1.00,0.438,0.10,1.00,0.437,0.041,0.10
117-2,0.15,0.920,1.00,0.15,0.919,0.039,1.00
119-1,0.97,0.417,0.66,0.97,0.410,0.045,0.61
120-1,1.00,0.349,1.00,1.00,0.351,0.047,0.99
120-2,1.00,0.618,0.54,1.00,0.607,0.017,0.55
120-3,1.00,0.625,0.46,1.00,0.624,0.011,0.47
121-1,0.88,0.406,0.60,0.88,0.410,0.053,0.60
121-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
121-3,0.94,0.396,0.02,0.94,0.397,0.048,0.05
122-1,0.64,0.591,0.69,0.64,0.593,0.062,0.70
124-1,1.00,0.623,0.16,1.00,0.615,0.015,0.20
124-2,1.00,0.612,0.13,1.00,0.605,0.015,0.15
124-3,1.00,0.622,0.16,1.00,0.619,0.016,0.18
125-1,1.00,0.349,0.98,1.00,0.351,0.046,0.98
125-2,1.00,0.422,0.21,1.00,0.418,0.044,0.23
125-3,0.91,0.559,0.18,0.91,0.547,0.044,0.19
126-1,0.03,0.988,0.37,0.03,0.988,0.011,0.24
127-1,0.97,0.525,0.34,0.97,0.521,0.033,0.35
127-2,0.97,0.516,0.42,0.97,0.515,0.035,0.43
127-3,0.06,0.943,0.01,0.06,0.943,0.037,0.04
128-1,0.82,0.612,0.06,0.82,0.599,0.026,0.19
129-1,0.94,0.586,0.56,0.94,0.585,0.028,0.57
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,0.94,0.586,0.56,0.94,0.585,0.028,0.57
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.76,0.472,0.10,0.76,0.477,0.057,0.21
131-2,0.88,0.409,0.05,0.88,0.413,0.052,0.07
131-3,0.94,0.399,0.06,0.94,0.397,0.045,0.07
132-1,1.00,0.496,0.54,1.00,0.496,0.035,0.56
132-2,0.97,0.495,0.54,0.97,0.495,0.036,0.55
65-1,0.94,0.613,0.29,0.94,0.613,0.015,0.28
65-2,0.91,0.618,0.29,0.91,0.617,0.015,0.28
65-3,0.94,0.617,0.30,0.94,0.616,0.015,0.30
68-1,0.97,0.551,1.00,0.97,0.554,0.028,0.99
68-2,0.97,0.552,0.99,0.97,0.555,0.031,0.99
69-1,1.00,0.448,0.73,1.00,0.438,0.041,0.65
69-2,1.00,0.472,0.57,1.00,0.472,0.042,0.59
70-1,1.00,0.583,0.33,1.00,0.581,0.022,0.31
70-2,1.00,0.657,0.13,1.00,0.657,0.011,0.13
70-3,1.00,0.656,0.10,1.00,0.656,0.007,0.10
72-1,1.00,0.443,0.01,1.00,0.443,0.047,0.01
72-2,0.85,0.763,0.01,0.85,0.765,0.050,0.01
73-1,1.00,0.501,0.99,1.00,0.497,0.045,0.99
73-2,1.00,0.502,0.99,1.00,0.497,0.045,0.99
73-3,0.97,0.566,1.00,0.97,0.567,0.055,0.98
74-1,0.48,0.605,0.06,0.48,0.607,0.066,0.19
74-2,1.00,0.427,0.18,1.00,0.427,0.045,0.19
75-1,1.00,0.425,0.70,1.00,0.423,0.041,0.70
75-2,1.00,0.443,0.70,1.00,0.442,0.043,0.66
79-1,0.67,0.608,0.13,0.67,0.607,0.032,0.11
79-2,0.52,0.642,0.05,0.51,0.644,0.040,0.07
79-3,0.94,0.417,0.07,0.94,0.419,0.045,0.09
80-1,0.52,0.599,0.06,0.51,0.600,0.065,0.27
80-2,1.00,0.350,0.65,1.00,0.350,0.046,0.60
81-1,0.88,0.478,0.60,0.88,0.478,0.038,0.46
81-2,0.88,0.478,0.60,0.88,0.478,0.038,0.46
82-1,0.85,0.551,0.51,0.85,0.555,0.038,0.56
83-1,1.00,0.461,0.37,1.00,0.460,0.035,0.36
83-2,1.00,0.397,0.23,1.00,0.395,0.038,0.25
84-1,0.85,0.585,0.13,0.85,0.583,0.019,0.12
85-1,0.94,0.475,0.16,0.94,0.468,0.037,0.18
85-2,0.94,0.475,0.16,0.94,0.468,0.037,0.18
86-1,0.79,0.726,0.30,0.79,0.729,0.055,0.31
86-2,0.79,0.726,0.30,0.79,0.729,0.055,0.31
86-3,0.24,0.936,0.31,0.24,0.936,0.034,0.55
87-1,0.94,0.481,0.43,0.94,0.476,0.042,0.42
87-2,0.94,0.461,0.22,0.94,0.462,0.044,0.21
87-3,0.94,0.458,0.48,0.94,0.459,0.044,0.49
88-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,0.97,0.621,1.00,0.97,0.622,0.064,1.00
93-2,0.97,0.802,1.00,0.97,0.802,0.046,1.00
94-1,1.00,0.343,0.45,1.00,0.344,0.045,0.34
95-1,0.97,0.573,1.00,0.97,0.572,0.028,0.99
95-2,0.97,0.541,1.00,0.97,0.546,0.033,1.00
96-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
