ID-model,GO:0008150,GO:0005976,GO:0016051,GO:0044264,GO:0044262,GO:0009059,GO:0005975,GO:0034645,GO:0044723,GO:0043170,GO:0044237,GO:0044260,GO:0009058,GO:0044249,GO:1901576,GO:0006082,GO:0043436,GO:0044710,GO:0019752,GO:0009987,GO:0071704,GO:0044281,GO:0008152,GO:0044238
BLAST-S11,NaN,0.71,0.75,0.71,0.69,0.73,0.68,0.71,0.67,0.60,0.73,0.60,0.64,0.64,0.64,0.71,0.71,0.60,0.65,0.84,0.62,0.59,0.41,0.65
BLAST-S14,NaN,0.93,0.93,0.93,0.93,0.87,0.87,0.86,0.86,0.72,0.70,0.70,0.69,0.69,0.69,0.69,0.69,0.68,0.66,0.62,0.61,0.59,0.58,0.56
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.81,0.80,0.81,0.74,0.77,0.84,0.76,0.77,0.62,0.57,0.62,0.76,0.80,0.76,0.92,0.92,0.75,0.93,0.47,0.68,0.78,0.83,0.76
101-2,NaN,0.87,0.88,0.87,0.80,0.74,0.82,0.73,0.79,0.67,0.82,0.74,0.84,0.83,0.82,0.95,0.95,0.79,0.94,0.63,0.58,0.78,0.53,0.56
101-3,NaN,0.86,0.87,0.86,0.79,0.78,0.81,0.77,0.80,0.58,0.71,0.54,0.84,0.84,0.84,0.95,0.95,0.79,0.95,0.66,0.67,0.79,0.55,0.64
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,0.91,0.93,0.68,0.66,0.82,0.84,0.55,0.85,0.82,0.41,0.53,0.83,0.69,0.73,0.73,0.73,0.75,0.69,0.35,0.57,0.55,0.52,0.56
103-2,NaN,1.00,0.94,0.93,0.95,0.87,0.87,0.78,0.91,0.78,0.49,0.72,0.78,0.74,0.81,0.98,0.98,0.81,0.98,0.44,0.65,0.78,0.52,0.59
103-3,NaN,0.90,0.83,0.80,0.80,0.81,0.82,0.71,0.78,0.87,0.66,0.79,0.83,0.79,0.83,0.94,0.94,0.83,0.93,0.51,0.68,0.81,0.60,0.65
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,1.00,0.95,1.00,0.93,0.94,0.87,0.95,0.88,0.89,0.77,0.95,0.85,0.85,0.85,0.90,0.90,0.82,0.89,0.72,0.77,0.78,0.62,0.74
105-2,NaN,0.97,0.91,0.97,0.91,0.95,0.91,0.95,0.90,0.85,0.62,0.93,0.70,0.70,0.70,0.84,0.84,0.64,0.84,0.58,0.57,0.67,0.56,0.60
105-3,NaN,0.96,0.91,0.96,0.93,0.97,0.92,0.98,0.89,0.89,0.65,0.95,0.70,0.70,0.70,0.85,0.85,0.65,0.85,0.61,0.61,0.67,0.59,0.64
106-1,NaN,0.97,0.67,0.75,0.67,0.75,0.63,0.50,0.63,0.88,0.64,0.67,0.72,0.68,0.72,0.81,0.81,0.88,0.86,0.52,0.61,0.80,0.64,0.65
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.97,0.67,0.75,0.67,0.75,0.61,0.50,0.62,0.88,0.61,0.67,0.71,0.67,0.71,0.81,0.81,0.88,0.86,0.61,0.50,0.80,0.52,0.60
107-1,NaN,0.98,0.93,0.98,0.92,0.91,0.91,0.91,0.91,0.85,0.67,0.92,0.70,0.74,0.70,0.81,0.81,0.70,0.82,0.63,0.64,0.71,0.54,0.65
107-2,NaN,0.97,0.90,0.97,0.89,0.78,0.87,0.77,0.83,0.75,0.73,0.83,0.71,0.71,0.71,0.88,0.88,0.73,0.88,0.71,0.68,0.78,0.64,0.70
107-3,NaN,0.94,0.89,0.94,0.87,0.74,0.84,0.73,0.82,0.74,0.63,0.77,0.66,0.66,0.66,0.84,0.84,0.62,0.84,0.60,0.55,0.70,0.53,0.58
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.79,0.79,0.77,0.72,0.84,0.64,0.83,0.68,0.83,0.52,0.73,0.68,0.73,0.68,0.64,0.64,0.55,0.65,0.53,0.47,0.61,0.43,0.40
110-2,NaN,0.70,0.76,0.66,0.63,0.74,0.67,0.69,0.70,0.64,0.57,0.54,0.74,0.75,0.73,0.60,0.55,0.58,0.59,0.43,0.66,0.62,0.61,0.53
110-3,NaN,0.85,0.82,0.85,0.78,0.82,0.78,0.81,0.74,0.77,0.73,0.81,0.78,0.79,0.78,0.83,0.83,0.66,0.83,0.70,0.64,0.82,0.68,0.62
111-1,NaN,0.79,0.79,0.77,0.72,0.84,0.64,0.83,0.68,0.83,0.52,0.73,0.68,0.73,0.68,0.64,0.64,0.55,0.65,0.53,0.47,0.61,0.43,0.40
111-2,NaN,0.85,0.82,0.85,0.79,0.76,0.73,0.75,0.70,0.71,0.69,0.75,0.74,0.74,0.74,0.84,0.84,0.68,0.83,0.67,0.61,0.83,0.66,0.59
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.89,0.86,0.87,0.83,0.81,0.76,0.79,0.72,0.77,0.62,0.76,0.77,0.78,0.76,0.76,0.76,0.67,0.77,0.55,0.68,0.74,0.66,0.57
112-2,NaN,0.89,0.85,0.87,0.83,0.81,0.76,0.79,0.72,0.76,0.62,0.75,0.76,0.79,0.75,0.76,0.76,0.66,0.77,0.55,0.67,0.75,0.66,0.57
112-3,NaN,0.91,0.85,0.88,0.84,0.87,0.82,0.85,0.76,0.80,0.74,0.81,0.80,0.81,0.79,0.72,0.74,0.61,0.75,0.66,0.78,0.71,0.63,0.72
113-1,NaN,0.91,0.85,0.88,0.84,0.87,0.82,0.85,0.76,0.79,0.74,0.80,0.79,0.82,0.78,0.73,0.74,0.60,0.75,0.66,0.77,0.71,0.63,0.71
113-2,NaN,0.87,0.84,0.87,0.80,0.81,0.79,0.81,0.76,0.75,0.71,0.81,0.75,0.76,0.75,0.83,0.83,0.67,0.83,0.66,0.61,0.82,0.67,0.64
113-3,NaN,0.85,0.86,0.85,0.79,0.94,0.73,0.93,0.77,0.91,0.66,0.82,0.72,0.78,0.72,0.60,0.60,0.54,0.62,0.67,0.58,0.55,0.40,0.55
114-1,NaN,1.00,0.97,1.00,0.95,0.97,0.91,0.97,0.90,0.94,0.64,1.00,0.89,0.89,0.89,0.91,0.92,0.71,0.92,0.54,0.52,0.70,0.59,0.67
115-1,NaN,1.00,0.89,1.00,0.93,0.92,0.91,0.92,0.88,0.89,0.76,0.98,0.79,0.80,0.79,0.94,0.94,0.74,0.94,0.63,0.61,0.81,0.71,0.65
116-1,NaN,0.85,0.72,0.85,0.82,0.76,0.76,0.74,0.72,0.78,0.81,0.83,0.81,0.78,0.78,0.92,0.92,0.72,0.96,0.69,0.64,0.85,0.75,0.69
116-2,NaN,1.00,0.76,1.00,1.00,0.71,0.89,0.76,0.82,0.77,0.79,0.92,0.69,0.69,0.69,0.95,0.95,0.76,0.94,0.76,0.65,0.88,0.65,0.76
117-1,NaN,0.98,0.95,0.98,0.91,0.97,0.87,0.97,0.86,0.93,0.85,0.98,0.92,0.89,0.91,0.93,0.93,0.85,0.94,0.76,0.90,0.80,0.81,0.75
117-2,NaN,0.50,0.50,0.50,0.50,0.50,0.33,0.50,0.50,0.50,0.25,0.50,0.75,0.75,0.75,1.00,1.00,0.38,1.00,0.25,NaN,0.58,NaN,0.33
119-1,NaN,0.99,0.95,0.99,0.92,0.98,0.90,0.98,0.88,0.97,0.80,0.98,0.87,0.88,0.87,0.90,0.90,0.76,0.90,0.70,0.74,0.69,0.67,0.76
120-1,NaN,1.00,0.98,1.00,0.91,0.97,0.91,0.97,0.89,0.94,0.64,1.00,0.90,0.90,0.90,0.90,0.92,0.71,0.91,0.54,0.53,0.71,0.59,0.67
120-2,NaN,0.50,0.50,0.50,0.50,0.52,0.56,0.52,0.64,0.61,0.22,0.54,0.53,0.56,0.53,0.45,0.47,0.32,0.51,0.21,0.35,0.39,0.29,0.51
120-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.37,0.56,0.37,0.49,0.50,0.49,0.45,0.40,0.44,0.42,0.63,0.52,0.47,0.33,0.61
121-1,NaN,1.00,0.92,0.95,0.95,0.89,0.91,0.84,0.87,0.93,0.67,0.92,0.82,0.79,0.82,1.00,1.00,0.80,1.00,0.65,0.62,0.79,0.60,0.70
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,1.00,0.93,0.95,0.95,0.90,0.89,0.84,0.88,0.86,0.65,0.89,0.85,0.81,0.85,0.96,0.96,0.79,0.95,0.55,0.66,0.77,0.57,0.65
122-1,NaN,0.88,0.80,0.81,0.78,0.84,0.71,0.76,0.72,0.91,0.57,0.85,0.70,0.66,0.70,0.89,0.89,0.58,0.89,0.54,0.40,0.58,0.37,0.35
124-1,NaN,0.75,0.67,0.75,0.67,0.56,0.54,0.53,0.51,0.16,0.33,0.18,0.22,0.26,0.24,0.35,0.35,0.31,0.40,0.36,0.34,0.33,0.36,0.20
124-2,NaN,0.27,0.38,0.22,0.25,0.18,0.21,0.11,0.25,0.11,0.45,0.12,0.23,0.25,0.23,0.33,0.33,0.38,0.35,0.42,0.49,0.37,0.31,0.40
124-3,NaN,0.58,0.53,0.58,0.54,0.49,0.54,0.53,0.51,0.15,0.29,0.18,0.21,0.25,0.23,0.28,0.28,0.35,0.32,0.31,0.27,0.31,0.33,0.14
125-1,NaN,1.00,0.97,1.00,0.95,0.97,0.91,0.97,0.90,0.94,0.64,1.00,0.89,0.89,0.89,0.91,0.92,0.71,0.92,0.54,0.52,0.70,0.59,0.67
125-2,NaN,1.00,1.00,1.00,0.95,0.98,0.87,0.98,0.90,0.86,0.60,0.93,0.89,0.89,0.89,0.90,0.90,0.72,0.90,0.55,0.52,0.74,0.55,0.55
125-3,NaN,0.87,0.82,0.81,0.76,0.92,0.79,0.91,0.76,0.80,0.55,0.76,0.71,0.75,0.72,0.75,0.75,0.75,0.75,0.46,0.55,0.65,0.60,0.50
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,1.00,0.90,0.95,0.90,0.95,0.95,0.91,0.89,0.93,0.90,0.93,0.91,0.92,0.91,0.92,0.92,0.87,0.93,0.69,0.83,0.82,0.90,0.73
127-2,NaN,0.86,0.80,0.82,0.84,0.90,0.86,0.86,0.82,0.83,0.78,0.78,0.89,0.85,0.90,0.72,0.73,0.77,0.73,0.63,0.83,0.66,0.81,0.72
127-3,NaN,NaN,1.00,NaN,NaN,NaN,1.00,NaN,1.00,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,0.00,NaN,NaN,0.00,NaN,NaN
128-1,NaN,0.81,0.85,0.79,0.85,0.94,0.91,0.93,0.91,0.78,0.64,0.72,0.67,0.68,0.67,0.66,0.66,0.45,0.68,0.61,0.57,0.46,0.59,0.61
129-1,NaN,0.76,0.79,0.75,0.76,0.80,0.73,0.79,0.77,0.78,0.65,0.74,0.67,0.67,0.67,0.64,0.64,0.62,0.66,0.59,0.65,0.60,0.66,0.55
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.76,0.79,0.75,0.76,0.80,0.73,0.79,0.77,0.78,0.65,0.74,0.67,0.67,0.67,0.64,0.64,0.62,0.66,0.59,0.65,0.60,0.66,0.55
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.93,0.88,0.86,0.86,0.86,0.83,0.80,0.82,0.83,0.57,0.85,0.81,0.78,0.81,0.94,0.94,0.81,0.94,0.50,0.42,0.73,0.45,0.58
131-2,NaN,0.95,0.89,0.90,0.90,0.88,0.83,0.82,0.84,0.87,0.54,0.88,0.80,0.77,0.80,0.96,0.96,0.79,0.95,0.47,0.35,0.77,0.38,0.52
131-3,NaN,0.89,0.86,0.89,0.84,0.85,0.75,0.83,0.73,0.78,0.57,0.82,0.84,0.83,0.84,0.88,0.88,0.77,0.87,0.50,0.42,0.76,0.47,0.50
132-1,NaN,0.89,0.87,0.89,0.84,0.84,0.76,0.83,0.74,0.84,0.61,0.80,0.79,0.80,0.79,0.76,0.75,0.63,0.77,0.61,0.63,0.74,0.66,0.55
132-2,NaN,0.91,0.89,0.91,0.86,0.90,0.82,0.90,0.81,0.89,0.74,0.87,0.82,0.84,0.82,0.74,0.73,0.56,0.76,0.69,0.73,0.70,0.64,0.70
65-1,NaN,0.31,0.45,0.39,0.37,0.29,0.47,0.30,0.47,0.28,0.24,0.26,0.30,0.32,0.29,0.33,0.33,0.15,0.26,0.26,0.20,0.31,0.18,0.30
