ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.88,0.233,0.34,0.88,0.245,0.046,0.34
BLAST-S14,0.91,0.341,0.38,0.91,0.347,0.067,0.38
Naive-S11,1.00,0.308,0.31,1.00,0.304,0.024,0.31
Naive-S14,1.00,0.308,0.33,1.00,0.304,0.023,0.32
101-1,0.97,0.477,0.36,0.97,0.479,0.041,0.36
101-2,0.97,0.543,0.17,0.97,0.553,0.045,0.21
101-3,0.97,0.451,1.00,0.97,0.448,0.046,0.88
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.79,0.513,0.22,0.79,0.514,0.054,0.24
103-2,0.94,0.593,0.11,0.94,0.598,0.054,0.14
103-3,0.76,0.603,0.17,0.76,0.600,0.070,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.618,0.95,1.00,0.626,0.055,0.94
105-2,1.00,0.583,0.98,1.00,0.594,0.052,0.97
105-3,1.00,0.607,0.99,1.00,0.612,0.054,0.98
106-1,0.55,0.562,0.03,0.55,0.562,0.082,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.52,0.556,0.03,0.52,0.556,0.087,0.10
107-1,1.00,0.590,0.76,1.00,0.592,0.055,0.78
107-2,1.00,0.587,0.05,1.00,0.598,0.059,0.07
107-3,1.00,0.526,0.03,1.00,0.529,0.054,0.03
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.94,0.403,0.70,0.94,0.418,0.053,0.66
110-2,1.00,0.431,0.36,1.00,0.435,0.045,0.41
110-3,0.97,0.450,1.00,0.97,0.455,0.058,0.84
111-1,0.94,0.403,0.70,0.94,0.418,0.053,0.66
111-2,1.00,0.444,1.00,1.00,0.449,0.057,0.83
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.472,0.43,1.00,0.483,0.045,0.40
112-2,1.00,0.469,0.42,1.00,0.478,0.045,0.39
112-3,0.97,0.474,0.33,0.97,0.482,0.044,0.36
113-1,0.97,0.471,0.30,0.97,0.478,0.045,0.35
113-2,0.97,0.426,0.53,0.97,0.439,0.054,0.66
113-3,0.88,0.391,0.54,0.88,0.399,0.055,0.62
