ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.177,0.30,0.95,0.191,0.025,0.36
BLAST-S14,0.97,0.235,0.42,0.97,0.243,0.028,0.39
Naive-S11,1.00,0.208,0.31,1.00,0.207,0.014,0.31
Naive-S14,1.00,0.208,0.33,1.00,0.208,0.013,0.30
101-1,0.82,0.329,0.36,0.82,0.331,0.028,0.35
101-2,0.81,0.365,0.19,0.81,0.369,0.026,0.21
101-3,0.82,0.377,0.60,0.82,0.377,0.030,0.64
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.67,0.341,0.20,0.67,0.342,0.033,0.19
103-2,0.81,0.393,0.20,0.81,0.393,0.033,0.20
103-3,0.75,0.394,0.17,0.75,0.393,0.035,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.342,0.81,1.00,0.352,0.027,0.82
105-2,0.89,0.375,0.99,0.89,0.381,0.030,0.99
105-3,0.93,0.363,1.00,0.93,0.365,0.029,1.00
106-1,0.62,0.376,0.07,0.62,0.375,0.036,0.09
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.40,0.276,0.07,0.40,0.274,0.036,0.09
107-1,0.99,0.354,0.78,0.99,0.358,0.028,0.76
107-2,0.99,0.318,0.04,0.99,0.321,0.029,0.04
107-3,0.97,0.307,0.04,0.97,0.314,0.030,0.05
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.95,0.301,0.84,0.95,0.306,0.027,0.74
110-2,0.95,0.327,0.37,0.95,0.333,0.028,0.35
110-3,1.00,0.180,0.84,1.00,0.182,0.018,0.77
111-1,0.95,0.301,0.84,0.95,0.306,0.027,0.74
111-2,1.00,0.180,0.84,1.00,0.182,0.018,0.77
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.352,0.42,1.00,0.355,0.028,0.45
112-2,1.00,0.350,0.49,1.00,0.355,0.028,0.45
112-3,1.00,0.348,0.42,1.00,0.350,0.028,0.44
113-1,1.00,0.343,0.40,1.00,0.348,0.028,0.44
113-2,0.96,0.164,0.56,0.96,0.166,0.018,0.64
113-3,0.80,0.278,0.84,0.80,0.280,0.027,0.80
114-1,1.00,0.441,0.99,1.00,0.442,0.033,0.96
115-1,1.00,0.401,0.27,1.00,0.407,0.031,0.41
116-1,0.85,0.371,0.04,0.85,0.372,0.034,0.25
116-2,0.48,0.217,0.02,0.48,0.217,0.034,0.34
117-1,1.00,0.417,0.09,1.00,0.417,0.028,0.09
117-2,0.23,0.155,1.00,0.23,0.154,0.035,1.00
119-1,0.98,0.364,0.66,0.98,0.371,0.027,0.61
120-1,1.00,0.437,0.99,1.00,0.437,0.033,0.99
120-2,1.00,0.223,0.51,1.00,0.230,0.017,0.55
120-3,0.99,0.211,0.51,0.99,0.211,0.016,0.51
121-1,0.72,0.395,0.60,0.72,0.393,0.033,0.60
121-2,0.05,0.066,0.61,0.05,0.064,0.027,0.62
121-3,0.81,0.406,0.01,0.81,0.410,0.032,0.14
122-1,0.65,0.356,0.69,0.65,0.355,0.036,0.71
124-1,1.00,0.233,0.16,1.00,0.237,0.018,0.20
124-2,1.00,0.195,0.11,1.00,0.199,0.017,0.15
124-3,1.00,0.233,0.16,1.00,0.237,0.018,0.19
125-1,1.00,0.441,0.99,1.00,0.443,0.033,0.96
125-2,0.90,0.383,0.17,0.90,0.386,0.028,0.17
125-3,0.92,0.294,0.18,0.92,0.295,0.028,0.17
126-1,0.47,0.256,0.22,0.47,0.255,0.035,0.22
127-1,0.87,0.370,0.32,0.87,0.376,0.028,0.35
127-2,0.87,0.347,0.48,0.87,0.350,0.027,0.47
127-3,0.14,0.092,0.23,0.14,0.093,0.017,0.29
128-1,0.71,0.246,0.13,0.71,0.249,0.028,0.10
129-1,0.94,0.308,0.54,0.94,0.314,0.025,0.55
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.94,0.308,0.54,0.94,0.314,0.025,0.55
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.68,0.369,0.06,0.68,0.369,0.037,0.10
131-2,0.68,0.384,0.06,0.68,0.384,0.037,0.09
131-3,0.84,0.401,0.01,0.84,0.406,0.033,0.07
132-1,1.00,0.340,0.60,1.00,0.341,0.027,0.58
132-2,1.00,0.323,0.60,1.00,0.326,0.026,0.57
65-1,0.90,0.283,0.10,0.90,0.295,0.023,0.14
65-2,0.78,0.273,0.22,0.78,0.281,0.023,0.20
65-3,0.90,0.277,0.20,0.90,0.285,0.022,0.20
68-1,1.00,0.278,0.95,1.00,0.297,0.027,0.87
68-2,1.00,0.300,1.00,1.00,0.308,0.028,0.92
69-1,1.00,0.362,0.36,1.00,0.368,0.030,0.52
69-2,1.00,0.376,0.36,1.00,0.381,0.032,0.34
70-1,1.00,0.279,0.34,1.00,0.284,0.023,0.30
70-2,0.95,0.175,0.12,0.95,0.176,0.010,0.12
70-3,0.95,0.152,0.06,0.95,0.152,0.008,0.06
72-1,0.94,0.396,0.01,0.94,0.395,0.031,0.01
72-2,0.86,0.238,0.01,0.86,0.237,0.031,0.01
73-1,1.00,0.327,0.99,1.00,0.329,0.029,0.96
73-2,1.00,0.332,0.99,1.00,0.333,0.029,0.96
73-3,0.92,0.367,0.97,0.92,0.365,0.029,0.97
