ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.218,0.30,0.95,0.231,0.027,0.35
BLAST-S14,0.97,0.272,0.43,0.97,0.281,0.029,0.38
Naive-S11,1.00,0.288,0.31,1.00,0.287,0.012,0.31
Naive-S14,1.00,0.288,0.33,1.00,0.287,0.012,0.33
101-1,0.82,0.396,0.36,0.82,0.396,0.031,0.35
101-2,0.81,0.432,0.24,0.81,0.436,0.027,0.22
101-3,0.82,0.435,0.57,0.82,0.436,0.030,0.66
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.67,0.461,0.20,0.67,0.461,0.037,0.20
103-2,0.81,0.461,0.20,0.81,0.461,0.034,0.20
103-3,0.75,0.477,0.17,0.75,0.476,0.037,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.387,0.81,1.00,0.394,0.028,0.81
105-2,0.89,0.437,0.98,0.89,0.442,0.031,0.99
105-3,0.93,0.417,0.99,0.93,0.419,0.031,0.99
106-1,0.62,0.520,0.07,0.62,0.519,0.039,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.40,0.511,0.07,0.40,0.510,0.049,0.09
107-1,0.99,0.385,0.74,0.99,0.391,0.027,0.74
107-2,0.99,0.360,0.04,0.99,0.363,0.030,0.04
107-3,0.97,0.352,0.04,0.97,0.357,0.032,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.342,0.84,0.95,0.349,0.027,0.69
110-2,0.95,0.388,0.37,0.95,0.394,0.029,0.41
110-3,1.00,0.247,0.84,1.00,0.248,0.022,0.80
111-1,0.95,0.342,0.84,0.95,0.349,0.027,0.69
111-2,1.00,0.247,0.84,1.00,0.248,0.022,0.80
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.404,0.51,1.00,0.408,0.028,0.47
112-2,1.00,0.405,0.49,1.00,0.407,0.028,0.47
112-3,1.00,0.402,0.42,1.00,0.404,0.027,0.45
113-1,1.00,0.397,0.49,1.00,0.401,0.027,0.45
113-2,0.96,0.223,0.84,0.96,0.228,0.022,0.71
113-3,0.80,0.341,0.84,0.80,0.344,0.030,0.82
114-1,1.00,0.468,0.99,1.00,0.472,0.033,0.94
115-1,1.00,0.436,0.48,1.00,0.442,0.031,0.40
116-1,0.85,0.431,0.03,0.85,0.433,0.035,0.24
116-2,0.48,0.392,0.02,0.48,0.393,0.047,0.25
117-1,1.00,0.440,0.09,1.00,0.440,0.026,0.09
117-2,0.23,0.470,1.00,0.23,0.468,0.069,1.00
119-1,0.98,0.395,0.66,0.98,0.402,0.028,0.62
120-1,1.00,0.467,0.99,1.00,0.467,0.033,0.99
120-2,1.00,0.281,0.56,1.00,0.287,0.019,0.56
120-3,0.99,0.273,0.51,0.99,0.273,0.018,0.51
121-1,0.72,0.477,0.60,0.72,0.475,0.035,0.60
121-2,0.05,0.516,0.61,0.05,0.504,0.109,0.62
121-3,0.81,0.462,0.01,0.81,0.469,0.033,0.16
122-1,0.65,0.462,0.69,0.65,0.464,0.040,0.72
124-1,1.00,0.280,0.17,1.00,0.286,0.019,0.21
124-2,1.00,0.246,0.19,1.00,0.246,0.020,0.18
124-3,1.00,0.283,0.17,1.00,0.288,0.019,0.20
125-1,1.00,0.468,0.99,1.00,0.473,0.033,0.94
125-2,0.90,0.440,0.17,0.90,0.443,0.031,0.16
