ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.649,0.35,0.95,0.650,0.012,0.35
BLAST-S14,0.97,0.634,0.37,0.97,0.632,0.013,0.38
Naive-S11,1.00,0.652,0.16,1.00,0.652,0.003,0.16
Naive-S14,1.00,0.653,0.19,1.00,0.653,0.003,0.19
101-1,0.82,0.575,0.36,0.82,0.577,0.019,0.36
101-2,0.81,0.555,0.19,0.81,0.552,0.015,0.21
101-3,0.82,0.549,0.60,0.82,0.549,0.018,0.61
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.67,0.514,0.17,0.67,0.514,0.024,0.17
103-2,0.81,0.518,0.21,0.81,0.517,0.024,0.19
103-3,0.75,0.488,0.17,0.75,0.489,0.025,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.588,0.92,1.00,0.583,0.014,0.90
105-2,0.89,0.544,1.00,0.89,0.545,0.019,1.00
105-3,0.93,0.567,1.00,0.93,0.569,0.017,1.00
106-1,0.62,0.468,0.07,0.62,0.468,0.028,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.40,0.480,0.12,0.40,0.479,0.032,0.11
107-1,0.99,0.585,0.75,0.99,0.584,0.016,0.76
107-2,0.99,0.574,0.04,0.99,0.573,0.017,0.05
107-3,0.97,0.575,0.05,0.97,0.575,0.018,0.05
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.596,0.84,0.95,0.597,0.016,0.83
110-2,0.95,0.568,0.44,0.95,0.567,0.017,0.43
110-3,1.00,0.656,0.94,1.00,0.655,0.008,0.95
111-1,0.95,0.596,0.84,0.95,0.597,0.016,0.83
111-2,1.00,0.656,0.94,1.00,0.655,0.008,0.95
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.556,0.51,1.00,0.555,0.016,0.49
112-2,1.00,0.556,0.49,1.00,0.555,0.016,0.49
112-3,1.00,0.563,0.46,1.00,0.560,0.016,0.47
113-1,1.00,0.563,0.44,1.00,0.561,0.016,0.46
113-2,0.96,0.663,0.94,0.96,0.663,0.008,0.95
113-3,0.80,0.597,0.84,0.80,0.595,0.015,0.87
114-1,1.00,0.514,0.87,1.00,0.512,0.020,0.90
115-1,1.00,0.523,0.46,1.00,0.521,0.019,0.45
116-1,0.85,0.519,0.02,0.85,0.520,0.023,0.06
116-2,0.48,0.570,0.01,0.48,0.573,0.032,0.06
117-1,1.00,0.552,0.09,1.00,0.553,0.017,0.09
117-2,0.23,0.511,1.00,0.23,0.515,0.048,1.00
119-1,0.98,0.579,0.66,0.98,0.574,0.016,0.60
120-1,1.00,0.519,0.96,1.00,0.518,0.021,0.96
120-2,1.00,0.631,0.54,1.00,0.631,0.007,0.55
120-3,0.99,0.639,0.45,0.99,0.639,0.006,0.46
121-1,0.72,0.489,0.60,0.72,0.490,0.022,0.60
121-2,0.05,0.592,0.61,0.05,0.586,0.095,0.65
121-3,0.81,0.499,0.01,0.81,0.497,0.020,0.06
122-1,0.65,0.494,0.69,0.65,0.494,0.028,0.70
124-1,1.00,0.632,0.23,1.00,0.631,0.008,0.23
124-2,1.00,0.642,0.14,1.00,0.641,0.007,0.15
124-3,1.00,0.630,0.22,1.00,0.629,0.008,0.22
125-1,1.00,0.512,0.89,1.00,0.511,0.021,0.90
125-2,0.90,0.557,0.17,0.90,0.556,0.017,0.18
125-3,0.92,0.615,0.18,0.92,0.615,0.016,0.17
126-1,0.47,0.508,0.22,0.47,0.509,0.027,0.22
127-1,0.87,0.544,0.32,0.87,0.542,0.017,0.34
127-2,0.87,0.561,0.48,0.87,0.559,0.016,0.46
127-3,0.14,0.648,0.48,0.14,0.646,0.021,0.47
128-1,0.71,0.614,0.19,0.71,0.613,0.018,0.17
129-1,0.94,0.581,0.55,0.94,0.579,0.015,0.55
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.94,0.581,0.55,0.94,0.579,0.015,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.68,0.474,0.06,0.68,0.474,0.028,0.10
131-2,0.68,0.470,0.06,0.68,0.470,0.027,0.09
131-3,0.84,0.494,0.11,0.84,0.493,0.024,0.11
132-1,1.00,0.576,0.52,1.00,0.573,0.015,0.56
132-2,1.00,0.583,0.52,1.00,0.582,0.014,0.54
65-1,0.90,0.612,0.19,0.90,0.610,0.013,0.20
65-2,0.78,0.599,0.22,0.78,0.599,0.014,0.22
65-3,0.90,0.614,0.20,0.90,0.613,0.012,0.21
68-1,1.00,0.627,0.95,1.00,0.625,0.013,0.95
68-2,1.00,0.625,0.96,1.00,0.620,0.013,0.97
69-1,1.00,0.533,0.69,1.00,0.532,0.020,0.69
69-2,1.00,0.523,0.50,1.00,0.522,0.021,0.54
70-1,1.00,0.604,0.27,1.00,0.603,0.012,0.26
70-2,0.95,0.658,0.15,0.95,0.657,0.005,0.15
70-3,0.95,0.661,0.10,0.95,0.662,0.004,0.10
72-1,0.94,0.560,0.01,0.94,0.561,0.023,0.01
72-2,0.86,0.717,0.01,0.86,0.717,0.025,0.01
73-1,1.00,0.591,0.99,1.00,0.591,0.016,0.98
73-2,1.00,0.595,0.99,1.00,0.593,0.016,0.98
73-3,0.92,0.607,0.97,0.92,0.609,0.023,0.97
74-1,0.73,0.519,0.31,0.73,0.518,0.024,0.26
74-2,0.96,0.538,0.12,0.96,0.538,0.019,0.14
