ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.95,11.272,0.55,0.95,11.229,0.898,0.56
BLAST-S14,0.97,11.572,0.62,0.97,11.457,0.921,0.57
Naive-S11,1.00,11.114,0.31,1.00,11.109,0.864,0.31
Naive-S14,1.00,11.114,0.33,1.00,11.109,0.864,0.33
101-1,0.82,11.387,0.44,0.82,11.368,0.996,0.45
101-2,0.81,10.127,0.56,0.81,10.082,1.006,0.53
101-3,0.82,13.462,1.00,0.82,13.541,1.596,1.00
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.67,10.671,0.27,0.67,10.641,1.209,0.30
103-2,0.81,10.266,0.34,0.81,10.180,1.090,0.51
103-3,0.75,10.684,0.17,0.75,10.597,1.106,0.21
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,10.525,0.98,1.00,10.543,0.873,0.98
105-2,0.89,15.748,1.00,0.89,15.795,1.440,1.00
105-3,0.93,18.685,1.00,0.93,18.710,1.930,1.00
106-1,0.62,9.852,0.29,0.62,9.769,1.151,0.24
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.40,9.825,0.29,0.40,9.752,1.040,0.28
107-1,0.99,20.901,1.00,0.99,20.958,3.581,1.00
107-2,0.99,10.378,0.14,0.99,10.302,0.894,0.16
107-3,0.97,10.807,0.11,0.97,10.705,0.901,0.12
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,12.040,1.00,0.95,12.094,1.078,1.00
110-2,0.95,11.257,0.90,0.95,11.227,0.946,0.89
110-3,1.00,16.229,1.00,1.00,16.240,0.724,0.99
111-1,0.95,12.040,1.00,0.95,12.094,1.078,1.00
111-2,1.00,16.229,1.00,1.00,16.240,0.724,0.99
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,11.048,0.90,1.00,11.005,0.897,0.84
112-2,1.00,11.053,0.90,1.00,11.003,0.898,0.84
112-3,1.00,11.029,0.73,1.00,10.981,0.882,0.74
113-1,1.00,11.027,0.72,1.00,10.967,0.883,0.74
113-2,0.96,16.191,1.00,0.96,16.200,0.668,0.99
113-3,0.80,12.180,1.00,0.80,12.250,1.200,1.00
114-1,1.00,9.958,1.00,1.00,9.974,0.853,1.00
115-1,1.00,9.640,0.74,1.00,9.581,0.862,0.74
116-1,0.85,10.001,0.69,0.85,9.975,1.013,0.69
116-2,0.48,10.071,0.70,0.48,10.092,1.424,0.69
117-1,1.00,10.220,0.13,1.00,10.148,0.926,0.14
117-2,0.23,13.413,1.00,0.23,13.476,2.565,1.00
119-1,0.98,10.624,0.87,0.98,10.534,0.927,0.84
120-1,1.00,10.084,1.00,1.00,10.110,0.852,1.00
120-2,1.00,11.401,0.65,1.00,11.362,0.859,0.65
120-3,0.99,11.284,0.60,0.99,11.254,0.856,0.59
121-1,0.72,10.558,0.60,0.72,10.581,1.064,0.60
121-2,0.05,7.299,1.00,0.05,6.761,2.164,0.86
121-3,0.81,10.137,0.85,0.81,10.020,1.087,0.75
122-1,0.65,10.419,0.92,0.65,10.348,1.240,0.87
124-1,1.00,11.380,0.43,1.00,11.377,0.881,0.43
124-2,1.00,11.473,0.31,1.00,11.454,0.876,0.29
124-3,1.00,11.373,0.43,1.00,11.357,0.881,0.42
125-1,1.00,9.958,1.00,1.00,9.974,0.853,1.00
125-2,0.90,10.657,0.44,0.90,10.574,1.004,0.40
125-3,0.92,11.347,0.52,0.92,11.329,0.987,0.54
126-1,0.47,7.144,0.37,0.47,7.095,0.748,0.34
127-1,0.87,9.812,0.44,0.87,9.744,0.907,0.45
127-2,0.87,9.798,0.60,0.87,9.735,0.838,0.64
127-3,0.14,14.189,0.92,0.14,14.103,2.901,0.87
128-1,0.71,18.644,1.00,0.71,18.824,3.782,0.99
129-1,0.94,10.896,0.66,0.94,10.847,0.884,0.66
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.94,10.896,0.66,0.94,10.847,0.884,0.66
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.68,10.302,0.83,0.68,10.259,1.208,0.60
131-2,0.68,10.322,0.80,0.68,10.332,1.195,0.76
131-3,0.84,9.852,0.33,0.84,9.855,1.008,0.39
132-1,1.00,10.924,0.80,1.00,10.888,0.894,0.81
132-2,1.00,10.874,0.74,1.00,10.827,0.877,0.75
65-1,0.90,11.388,0.39,0.90,11.356,0.939,0.39
65-2,0.78,11.359,0.39,0.78,11.337,1.051,0.39
65-3,0.90,11.401,0.39,0.90,11.371,0.943,0.41
68-1,1.00,21.373,1.00,1.00,21.474,2.376,1.00
68-2,1.00,20.898,1.00,1.00,20.992,2.237,1.00
69-1,1.00,10.160,1.00,1.00,10.114,0.822,0.99
69-2,1.00,9.962,0.96,1.00,9.905,0.851,0.92
70-1,1.00,11.187,0.50,1.00,11.139,0.872,0.54
70-2,0.95,12.176,0.37,0.95,12.147,0.922,0.34
70-3,0.95,12.140,0.28,0.95,12.134,0.946,0.30
72-1,0.94,9.736,0.01,0.94,9.708,0.953,0.02
72-2,0.86,11.204,0.01,0.86,11.206,1.027,0.01
73-1,1.00,14.664,1.00,1.00,14.752,2.008,1.00
73-2,1.00,14.154,1.00,1.00,14.254,1.932,1.00
73-3,0.92,66.441,1.00,0.92,66.585,11.865,1.00
74-1,0.73,10.194,0.95,0.73,10.156,1.047,0.94
74-2,0.96,10.336,0.84,0.96,10.222,0.923,0.84
75-1,1.00,10.160,1.00,1.00,10.114,0.822,0.99
75-2,1.00,9.962,0.96,1.00,9.905,0.851,0.92
79-1,0.77,9.439,0.32,0.77,9.367,0.869,0.33
79-2,0.43,9.091,0.31,0.43,9.005,1.095,0.35
79-3,0.96,9.490,0.36,0.96,9.426,0.869,0.50
80-1,0.77,10.383,0.95,0.77,10.332,1.006,0.93
80-2,0.96,10.337,0.84,0.96,10.253,0.922,0.89
81-1,0.76,10.463,1.00,0.76,10.442,1.037,0.97
