ID-model,GO:0005575,GO:0005622,GO:0005623,GO:0044424,GO:0044464,GO:0043226,GO:0043229,GO:0043227,GO:0043231
BLAST-S11,NaN,NaN,NaN,NaN,NaN,0.75,0.75,0.80,0.80
BLAST-S14,NaN,NaN,NaN,NaN,NaN,0.72,0.72,0.68,0.68
Naive-S11,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
Naive-S14,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
101-1,NaN,NaN,NaN,NaN,NaN,0.64,0.64,0.89,0.89
101-2,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.55,0.55
101-3,NaN,NaN,NaN,NaN,NaN,0.83,0.83,0.89,0.89
102-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
102-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
102-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
103-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
103-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
103-3,NaN,NaN,NaN,NaN,NaN,0.58,0.58,0.43,0.43
104-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
104-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
104-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
105-1,NaN,NaN,NaN,NaN,NaN,0.21,0.21,0.39,0.39
105-2,NaN,NaN,NaN,NaN,NaN,0.78,0.78,0.83,0.83
105-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
106-1,NaN,NaN,NaN,NaN,NaN,0.71,0.71,0.60,0.60
106-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
106-3,NaN,NaN,NaN,NaN,NaN,0.62,0.62,0.49,0.49
107-1,NaN,NaN,NaN,NaN,NaN,0.53,0.53,0.45,0.45
107-2,NaN,NaN,NaN,NaN,NaN,0.62,0.62,0.72,0.72
107-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
108-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
109-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
110-1,NaN,NaN,NaN,NaN,NaN,0.75,0.75,0.70,0.70
110-2,NaN,NaN,NaN,NaN,NaN,0.65,0.62,0.83,0.83
110-3,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.76,0.76
111-1,NaN,NaN,NaN,NaN,NaN,0.75,0.75,0.70,0.70
111-2,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.76,0.76
111-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
112-1,NaN,NaN,NaN,NaN,NaN,0.81,0.78,0.95,0.93
112-2,NaN,NaN,NaN,NaN,NaN,0.82,0.79,0.93,0.91
112-3,NaN,NaN,NaN,NaN,NaN,0.81,0.78,0.95,0.93
113-1,NaN,NaN,NaN,NaN,NaN,0.82,0.79,0.93,0.91
113-2,NaN,NaN,NaN,NaN,NaN,0.57,0.57,0.74,0.74
113-3,NaN,NaN,NaN,NaN,NaN,0.68,0.68,0.62,0.62
114-1,NaN,NaN,NaN,NaN,NaN,0.69,0.69,0.60,0.60
115-1,NaN,NaN,NaN,NaN,NaN,0.79,0.79,0.55,0.55
116-1,NaN,NaN,NaN,NaN,NaN,0.53,0.53,0.33,0.33
116-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.28,0.28
117-1,NaN,NaN,NaN,NaN,NaN,0.71,0.71,0.61,0.61
117-2,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.55,0.55
119-1,NaN,NaN,NaN,NaN,NaN,0.62,0.62,0.77,0.77
120-1,NaN,NaN,NaN,NaN,NaN,0.69,0.69,0.60,0.60
120-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.31,0.31
120-3,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.67,0.67
121-1,NaN,NaN,NaN,NaN,NaN,0.54,0.54,0.60,0.60
121-2,NaN,NaN,NaN,NaN,NaN,0.62,0.62,0.64,0.64
121-3,NaN,NaN,NaN,NaN,NaN,0.65,0.65,0.53,0.53
122-1,NaN,NaN,NaN,NaN,NaN,0.82,0.82,0.82,0.82
124-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.36,0.36
124-2,NaN,NaN,NaN,NaN,NaN,0.40,0.40,0.26,0.26
124-3,NaN,NaN,NaN,NaN,NaN,0.56,0.56,0.57,0.57
125-1,NaN,NaN,NaN,NaN,NaN,0.68,0.68,0.59,0.59
125-2,NaN,NaN,NaN,NaN,NaN,0.53,0.53,0.36,0.36
125-3,NaN,NaN,NaN,NaN,NaN,0.88,0.88,0.66,0.66
126-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
127-1,NaN,NaN,NaN,NaN,NaN,0.76,0.76,0.60,0.58
127-2,NaN,NaN,NaN,NaN,NaN,0.57,0.54,0.65,0.66
127-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
128-1,NaN,NaN,NaN,NaN,NaN,0.75,0.75,0.85,0.85
129-1,NaN,NaN,NaN,NaN,NaN,0.65,0.65,0.78,0.82
129-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
129-3,NaN,NaN,NaN,NaN,NaN,0.65,0.65,0.78,0.82
130-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
130-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
130-3,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
131-1,NaN,NaN,NaN,NaN,NaN,0.47,0.47,0.39,0.39
131-2,NaN,NaN,NaN,NaN,NaN,0.88,0.88,0.68,0.68
131-3,NaN,NaN,NaN,NaN,NaN,0.42,0.42,0.39,0.39
132-1,NaN,NaN,NaN,NaN,NaN,0.74,0.69,0.92,0.92
132-2,NaN,NaN,NaN,NaN,NaN,0.74,0.69,0.92,0.92
65-1,NaN,NaN,NaN,NaN,NaN,0.72,0.69,0.83,0.83
65-2,NaN,NaN,NaN,NaN,NaN,0.64,0.64,0.78,0.78
65-3,NaN,NaN,NaN,NaN,NaN,0.65,0.68,0.82,0.82
68-1,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
68-2,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50
