ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.582,0.48,1.00,0.569,0.061,0.46
BLAST-S14,1.00,0.554,0.51,1.00,0.534,0.073,0.50
Naive-S11,1.00,0.521,0.29,1.00,0.512,0.054,0.30
Naive-S14,1.00,0.556,0.29,1.00,0.562,0.017,0.29
101-1,0.73,0.573,0.26,0.73,0.570,0.034,0.32
101-2,0.07,0.984,0.10,0.07,0.984,0.015,0.06
101-3,0.73,0.468,0.11,0.73,0.465,0.086,0.08
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.47,0.659,0.17,0.47,0.664,0.101,0.18
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.479,0.92,1.00,0.486,0.077,0.92
105-2,1.00,0.433,0.98,1.00,0.430,0.070,0.98
105-3,1.00,0.491,1.00,1.00,0.500,0.081,1.00
106-1,0.40,0.712,0.10,0.40,0.716,0.095,0.16
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.27,0.813,0.10,0.27,0.815,0.088,0.15
107-1,1.00,0.596,0.79,1.00,0.576,0.061,0.80
107-2,1.00,0.444,0.03,1.00,0.451,0.073,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.541,0.67,1.00,0.548,0.063,0.67
110-2,0.87,0.557,0.33,0.87,0.555,0.062,0.47
110-3,1.00,0.562,1.00,1.00,0.564,0.070,0.64
111-1,1.00,0.541,0.67,1.00,0.548,0.063,0.67
111-2,1.00,0.562,1.00,1.00,0.564,0.070,0.64
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.511,0.48,1.00,0.511,0.062,0.45
112-2,1.00,0.506,0.45,1.00,0.510,0.064,0.45
112-3,1.00,0.511,0.48,1.00,0.511,0.062,0.45
113-1,1.00,0.506,0.45,1.00,0.510,0.064,0.45
113-2,0.87,0.561,1.00,0.87,0.567,0.068,0.80
113-3,1.00,0.587,0.67,1.00,0.590,0.049,0.65
114-1,1.00,0.381,0.93,1.00,0.376,0.074,0.93
115-1,1.00,0.386,0.27,1.00,0.381,0.073,0.30
116-1,0.60,0.584,0.18,0.60,0.591,0.093,0.37
116-2,0.33,0.784,0.70,0.33,0.787,0.083,0.72
117-1,1.00,0.405,0.13,1.00,0.409,0.062,0.13
117-2,0.13,0.909,1.00,0.13,0.910,0.056,0.88
119-1,1.00,0.385,0.76,1.00,0.388,0.074,0.73
120-1,1.00,0.382,0.94,1.00,0.376,0.073,0.95
120-2,1.00,0.530,0.66,1.00,0.520,0.045,0.63
120-3,1.00,0.511,0.52,1.00,0.508,0.037,0.55
121-1,0.47,0.642,0.60,0.46,0.647,0.106,0.60
121-2,0.20,0.856,0.85,0.20,0.858,0.087,0.82
121-3,0.73,0.465,0.01,0.73,0.475,0.092,0.03
122-1,1.00,0.362,0.71,1.00,0.368,0.069,0.72
124-1,1.00,0.610,0.25,1.00,0.609,0.025,0.28
124-2,1.00,0.585,0.27,1.00,0.595,0.027,0.26
124-3,1.00,0.604,0.24,1.00,0.605,0.016,0.24
125-1,1.00,0.390,0.91,1.00,0.382,0.075,0.93
125-2,1.00,0.410,0.38,1.00,0.413,0.068,0.39
125-3,1.00,0.572,0.54,1.00,0.543,0.063,0.49
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,1.00,0.435,0.48,1.00,0.423,0.060,0.50
127-2,1.00,0.364,0.59,1.00,0.353,0.072,0.61
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.93,0.644,0.17,0.93,0.649,0.045,0.21
129-1,1.00,0.375,0.54,1.00,0.360,0.067,0.56
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.375,0.54,1.00,0.360,0.067,0.56
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.93,0.409,0.24,0.93,0.415,0.083,0.27
131-2,0.93,0.388,0.20,0.93,0.394,0.083,0.23
131-3,1.00,0.461,0.03,1.00,0.459,0.064,0.04
132-1,1.00,0.507,0.51,1.00,0.501,0.058,0.54
132-2,1.00,0.507,0.51,1.00,0.501,0.058,0.54
65-1,1.00,0.587,0.12,1.00,0.580,0.033,0.12
65-2,1.00,0.613,0.08,1.00,0.608,0.039,0.08
65-3,1.00,0.606,0.08,1.00,0.601,0.032,0.08
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.428,0.33,1.00,0.422,0.071,0.40
69-2,1.00,0.399,0.43,1.00,0.404,0.070,0.47
70-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
70-2,1.00,0.500,0.27,1.00,0.493,0.050,0.27
70-3,1.00,0.456,0.26,1.00,0.447,0.060,0.27
72-1,0.93,0.392,0.01,0.93,0.401,0.076,0.01
72-2,0.93,0.453,0.01,0.93,0.461,0.091,0.01
73-1,1.00,0.539,0.99,1.00,0.547,0.058,0.98
73-2,1.00,0.539,0.99,1.00,0.547,0.058,0.98
73-3,1.00,0.806,1.00,1.00,0.807,0.039,1.00
74-1,0.53,0.617,0.02,0.53,0.629,0.064,0.02
74-2,1.00,0.457,0.22,1.00,0.446,0.070,0.26
75-1,1.00,0.385,0.70,1.00,0.386,0.074,0.61
75-2,1.00,0.389,0.61,1.00,0.395,0.071,0.59
79-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
79-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
79-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
80-1,0.73,0.486,0.02,0.73,0.473,0.087,0.19
80-2,1.00,0.381,0.52,1.00,0.378,0.079,0.42
81-1,1.00,0.471,0.50,1.00,0.478,0.079,0.50
81-2,1.00,0.471,0.50,1.00,0.478,0.079,0.50
82-1,1.00,0.532,0.50,1.00,0.535,0.087,0.50
83-1,1.00,0.606,0.08,1.00,0.589,0.047,0.27
83-2,1.00,0.437,0.05,1.00,0.434,0.067,0.05
84-1,0.87,0.674,0.03,0.87,0.670,0.016,0.03
85-1,1.00,0.417,0.33,1.00,0.399,0.065,0.28
85-2,1.00,0.417,0.33,1.00,0.399,0.065,0.28
86-1,1.00,0.489,0.42,1.00,0.483,0.063,0.45
86-2,1.00,0.489,0.42,1.00,0.483,0.063,0.45
86-3,0.93,0.469,0.34,0.94,0.474,0.077,0.36
87-1,0.93,0.431,0.33,0.93,0.420,0.071,0.36
87-2,0.93,0.459,0.17,0.93,0.459,0.067,0.17
87-3,0.47,0.598,0.28,0.47,0.610,0.096,0.31
88-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
94-1,1.00,0.415,0.63,1.00,0.416,0.065,0.54
95-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
95-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
96-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-1,1.00,0.389,0.17,1.00,0.394,0.079,0.20
97-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
97-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
98-1,1.00,0.570,0.51,1.00,0.571,0.045,0.51
99-1,1.00,0.408,0.20,1.00,0.398,0.072,0.21
