ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.446,0.51,1.00,0.444,0.113,0.50
BLAST-S14,1.00,0.426,0.51,1.00,0.436,0.105,0.52
Naive-S11,1.00,0.509,0.32,1.00,0.506,0.067,0.32
Naive-S14,1.00,0.411,0.48,1.00,0.421,0.040,0.40
101-1,0.73,0.387,0.37,0.73,0.412,0.055,0.33
101-2,0.07,0.018,0.10,0.07,0.019,0.017,0.06
101-3,0.73,0.552,0.18,0.73,0.549,0.107,0.21
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.47,0.361,0.17,0.47,0.352,0.120,0.19
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.549,0.92,1.00,0.548,0.087,0.92
105-2,1.00,0.554,0.98,1.00,0.567,0.084,0.98
105-3,1.00,0.523,1.00,1.00,0.517,0.087,1.00
106-1,0.40,0.341,0.21,0.40,0.328,0.119,0.39
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.27,0.235,0.21,0.27,0.225,0.131,0.28
107-1,1.00,0.401,0.75,1.00,0.431,0.089,0.75
107-2,1.00,0.532,0.03,1.00,0.553,0.082,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.403,0.67,1.00,0.421,0.085,0.68
110-2,0.87,0.389,0.32,0.87,0.392,0.089,0.42
110-3,1.00,0.428,0.05,1.00,0.445,0.080,0.19
111-1,1.00,0.403,0.67,1.00,0.421,0.085,0.68
111-2,1.00,0.428,0.05,1.00,0.445,0.080,0.19
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.466,0.36,1.00,0.475,0.078,0.40
112-2,1.00,0.474,0.32,1.00,0.478,0.081,0.39
112-3,1.00,0.466,0.36,1.00,0.475,0.078,0.40
113-1,1.00,0.474,0.32,1.00,0.478,0.081,0.39
113-2,0.87,0.380,0.05,0.87,0.392,0.093,0.19
113-3,1.00,0.342,0.67,1.00,0.370,0.070,0.62
114-1,1.00,0.617,0.99,1.00,0.633,0.080,0.93
115-1,1.00,0.607,0.40,1.00,0.616,0.092,0.35
116-1,0.60,0.406,0.49,0.60,0.400,0.111,0.59
116-2,0.33,0.234,0.70,0.33,0.226,0.097,0.73
117-1,1.00,0.560,0.13,1.00,0.567,0.074,0.14
117-2,0.13,0.055,1.00,0.13,0.052,0.035,0.88
119-1,1.00,0.617,0.76,1.00,0.623,0.089,0.76
120-1,1.00,0.617,0.99,1.00,0.633,0.083,0.95
120-2,1.00,0.501,0.66,1.00,0.515,0.059,0.66
120-3,1.00,0.530,0.51,1.00,0.544,0.058,0.57
121-1,0.47,0.396,0.60,0.46,0.384,0.123,0.60
121-2,0.20,0.251,0.85,0.20,0.239,0.130,0.82
121-3,0.73,0.506,0.04,0.73,0.498,0.112,0.08
