ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.566,0.51,1.00,0.594,0.073,0.46
BLAST-S14,1.00,0.621,0.41,1.00,0.635,0.053,0.45
Naive-S11,1.00,0.777,0.32,1.00,0.779,0.035,0.36
Naive-S14,1.00,0.771,0.48,1.00,0.771,0.036,0.49
101-1,0.73,0.696,0.36,0.73,0.707,0.041,0.35
101-2,0.07,0.762,0.10,0.07,0.762,0.000,0.10
101-3,0.73,0.839,0.18,0.73,0.840,0.055,0.20
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.47,0.689,0.17,0.47,0.687,0.143,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.728,0.92,1.00,0.729,0.052,0.92
105-2,1.00,0.773,0.98,1.00,0.774,0.044,0.98
105-3,1.00,0.711,1.00,1.00,0.708,0.059,1.00
106-1,0.40,0.724,0.20,0.40,0.714,0.131,0.28
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.27,0.693,0.20,0.27,0.668,0.222,0.25
107-1,1.00,0.615,0.73,1.00,0.638,0.063,0.75
107-2,1.00,0.732,0.02,1.00,0.745,0.042,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.596,0.67,1.00,0.617,0.061,0.65
110-2,0.87,0.701,0.32,0.87,0.704,0.056,0.35
110-3,1.00,0.665,0.39,1.00,0.670,0.059,0.36
111-1,1.00,0.596,0.67,1.00,0.617,0.061,0.65
111-2,1.00,0.665,0.39,1.00,0.670,0.059,0.36
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.748,0.37,1.00,0.750,0.040,0.39
112-2,1.00,0.741,0.33,1.00,0.746,0.040,0.39
112-3,1.00,0.746,0.37,1.00,0.748,0.038,0.39
113-1,1.00,0.738,0.33,1.00,0.743,0.039,0.39
113-2,0.87,0.661,0.46,0.87,0.662,0.072,0.46
113-3,1.00,0.544,0.67,1.00,0.574,0.053,0.61
114-1,1.00,0.790,0.88,1.00,0.801,0.047,0.91
115-1,1.00,0.768,0.18,1.00,0.798,0.052,0.27
116-1,0.60,0.687,0.49,0.60,0.686,0.109,0.57
116-2,0.33,0.667,0.70,0.33,0.662,0.096,0.72
117-1,1.00,0.809,0.15,1.00,0.816,0.037,0.14
117-2,0.13,0.650,1.00,0.13,0.651,0.038,1.00
119-1,1.00,0.729,0.52,1.00,0.749,0.062,0.70
120-1,1.00,0.795,0.94,1.00,0.801,0.046,0.93
120-2,1.00,0.729,0.66,1.00,0.740,0.030,0.66
120-3,1.00,0.769,0.51,1.00,0.769,0.029,0.52
121-1,0.47,0.753,0.60,0.46,0.750,0.139,0.60
121-2,0.20,0.891,0.85,0.20,0.878,0.123,0.85
121-3,0.73,0.758,0.04,0.73,0.757,0.096,0.07
122-1,1.00,0.825,0.71,1.00,0.824,0.040,0.73
124-1,1.00,0.624,0.24,1.00,0.642,0.034,0.30
124-2,1.00,0.685,0.27,1.00,0.684,0.041,0.28
124-3,1.00,0.659,0.24,1.00,0.667,0.038,0.25
125-1,1.00,0.786,0.89,1.00,0.791,0.046,0.89
125-2,1.00,0.722,0.38,1.00,0.737,0.063,0.36
125-3,1.00,0.541,0.39,1.00,0.583,0.058,0.45
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,1.00,0.787,0.45,1.00,0.804,0.039,0.51
127-2,1.00,0.822,0.62,1.00,0.824,0.041,0.64
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.93,0.582,0.17,0.93,0.579,0.051,0.17
129-1,1.00,0.838,0.60,1.00,0.846,0.034,0.61
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.838,0.60,1.00,0.846,0.034,0.61
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.93,0.702,0.32,0.93,0.711,0.091,0.35
131-2,0.93,0.815,0.25,0.93,0.812,0.057,0.28
131-3,1.00,0.747,0.02,1.00,0.755,0.050,0.02
132-1,1.00,0.758,0.50,1.00,0.767,0.037,0.54
132-2,1.00,0.758,0.50,1.00,0.767,0.037,0.54
65-1,1.00,0.711,0.12,1.00,0.719,0.029,0.12
65-2,1.00,0.607,0.07,1.00,0.636,0.050,0.09
65-3,1.00,0.637,0.08,1.00,0.660,0.040,0.08
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.770,0.22,1.00,0.784,0.043,0.38
69-2,1.00,0.760,0.42,1.00,0.780,0.048,0.39
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,0.804,0.33,1.00,0.807,0.033,0.34
70-3,1.00,0.803,0.38,1.00,0.806,0.038,0.36
72-1,0.93,0.789,0.01,0.93,0.788,0.055,0.01
72-2,0.93,0.774,0.01,0.93,0.771,0.056,0.01
73-1,1.00,0.572,0.66,1.00,0.615,0.057,0.82
73-2,1.00,0.571,0.66,1.00,0.612,0.058,0.84
73-3,1.00,0.477,1.00,1.00,0.475,0.056,1.00
74-1,0.53,0.661,0.04,0.53,0.668,0.072,0.06
74-2,1.00,0.726,0.22,1.00,0.751,0.053,0.24
75-1,1.00,0.783,0.22,1.00,0.806,0.049,0.46
75-2,1.00,0.781,0.46,1.00,0.790,0.056,0.49
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.73,0.771,0.31,0.73,0.778,0.076,0.29
80-2,1.00,0.753,0.52,1.00,0.777,0.062,0.38
81-1,1.00,0.709,0.50,1.00,0.707,0.058,0.50
81-2,1.00,0.709,0.50,1.00,0.707,0.058,0.50
82-1,1.00,0.748,0.50,1.00,0.745,0.045,0.50
83-1,1.00,0.654,0.11,1.00,0.668,0.044,0.28
83-2,1.00,0.775,0.07,1.00,0.777,0.043,0.07
84-1,0.87,0.386,0.03,0.87,0.433,0.057,0.02
85-1,1.00,0.806,0.45,1.00,0.818,0.036,0.44
85-2,1.00,0.806,0.45,1.00,0.818,0.036,0.44
86-1,1.00,0.747,0.96,1.00,0.758,0.043,0.80
86-2,1.00,0.747,0.96,1.00,0.758,0.043,0.80
86-3,0.93,0.767,0.39,0.94,0.770,0.045,0.43
87-1,0.93,0.754,0.33,0.93,0.757,0.062,0.35
87-2,0.93,0.729,0.16,0.93,0.731,0.060,0.17
87-3,0.47,0.741,0.30,0.47,0.736,0.104,0.34
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,0.715,0.25,1.00,0.718,0.082,0.42
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,1.00,0.746,0.05,1.00,0.751,0.068,0.11
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.649,0.50,1.00,0.658,0.044,0.50
99-1,1.00,0.811,0.26,1.00,0.814,0.042,0.28
