ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622,GO:0044424,GO:0044444,GO:0005737,GO:0043226,GO:0043229,GO:0005886,GO:0071944,GO:0016020
BLAST-S11,NaN,0.02,0.02,0.66,0.66,0.74,0.74,0.56,0.56,0.52,0.50,0.50
BLAST-S14,NaN,0.89,0.89,0.83,0.83,0.82,0.79,0.73,0.73,0.72,0.72,0.62
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.72,0.72,0.75,0.76,0.86,0.85,0.65,0.65,0.50,0.50,0.76
101-2,NaN,0.61,0.61,0.57,0.57,0.59,0.59,0.55,0.55,0.47,0.47,0.60
101-3,NaN,0.46,0.46,0.84,0.84,0.91,0.94,0.60,0.60,0.50,0.50,0.91
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.78,0.78,0.67,0.67,0.52,0.52,0.73,0.73,0.81,0.81,0.82
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.35,0.35,0.90,0.90,0.76,0.93,0.82,0.82,0.75,0.75,0.75
105-2,NaN,0.43,0.43,0.87,0.87,0.76,0.84,0.86,0.86,0.90,0.90,0.89
105-3,NaN,0.50,0.50,0.84,0.84,0.72,0.82,0.81,0.81,0.83,0.83,0.82
106-1,NaN,0.72,0.72,0.56,0.56,0.44,0.49,0.49,0.49,0.81,0.81,0.83
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.72,0.72,0.56,0.56,0.44,0.49,0.49,0.49,0.81,0.81,0.86
107-1,NaN,0.22,0.22,0.78,0.78,0.78,0.78,0.79,0.79,0.46,0.45,0.39
107-2,NaN,0.76,0.76,0.82,0.82,0.59,0.67,0.79,0.79,0.99,0.99,0.97
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.50,0.50,0.82,0.82,0.87,0.87,0.66,0.66,0.87,0.83,0.57
110-2,NaN,0.33,0.33,0.75,0.75,0.76,0.76,0.70,0.70,0.62,0.99,0.55
110-3,NaN,0.22,0.22,0.57,0.57,0.65,0.67,0.50,0.50,0.54,0.51,0.48
111-1,NaN,0.50,0.50,0.82,0.82,0.87,0.87,0.66,0.66,0.87,0.83,0.57
111-2,NaN,0.22,0.22,0.57,0.57,0.65,0.67,0.50,0.50,0.54,0.51,0.48
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.81,0.81,0.84,0.84,0.88,0.88,0.81,0.82,0.82,0.99,0.64
112-2,NaN,0.74,0.74,0.84,0.84,0.88,0.88,0.82,0.83,0.82,0.99,0.62
112-3,NaN,0.81,0.81,0.84,0.84,0.88,0.88,0.81,0.82,0.82,0.99,0.64
113-1,NaN,0.74,0.74,0.84,0.84,0.88,0.88,0.82,0.83,0.82,0.99,0.62
113-2,NaN,0.22,0.22,0.62,0.62,0.66,0.66,0.54,0.54,0.53,0.51,0.46
113-3,NaN,0.50,0.50,0.82,0.82,0.87,0.87,0.66,0.66,0.87,0.83,0.57
114-1,NaN,0.85,0.85,0.74,0.74,0.70,0.68,0.71,0.71,0.95,0.95,0.93
115-1,NaN,0.70,0.70,0.94,0.94,0.80,0.84,0.91,0.91,0.96,0.96,0.90
116-1,NaN,0.81,0.81,0.70,0.70,0.58,0.63,0.73,0.73,0.87,0.87,0.88
116-2,NaN,0.78,0.78,0.67,0.67,0.54,0.59,0.68,0.68,0.88,0.88,0.88
117-1,NaN,0.22,0.22,0.84,0.84,0.73,0.74,0.83,0.83,0.87,0.85,0.84
117-2,NaN,0.61,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.73,0.54
119-1,NaN,0.15,0.15,0.83,0.83,0.89,0.89,0.66,0.66,0.88,0.88,0.69
120-1,NaN,1.00,1.00,0.82,0.82,0.76,0.76,0.78,0.78,0.95,0.95,0.93
120-2,NaN,0.74,0.74,0.67,0.67,0.78,0.68,0.58,0.58,0.87,0.88,0.95
120-3,NaN,0.74,0.74,0.62,0.62,0.63,0.63,0.47,0.46,0.78,0.78,0.92
121-1,NaN,0.78,0.78,0.67,0.67,0.68,0.68,0.64,0.64,0.77,0.78,0.86
