ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,3.942,0.59,1.00,3.853,0.502,0.78
BLAST-S14,1.00,3.505,0.58,1.00,3.433,0.495,0.65
Naive-S11,1.00,3.615,0.44,1.00,3.587,0.447,0.39
Naive-S14,1.00,3.418,0.32,1.00,3.421,0.390,0.34
101-1,0.93,3.782,0.48,0.93,3.742,0.529,0.43
101-2,0.21,3.755,0.10,0.22,3.767,0.533,0.13
101-3,0.93,3.174,0.46,0.93,3.158,0.525,0.54
102-1,0.00,4.069,1.00,0.00,4.076,0.539,1.00
102-2,0.00,4.069,1.00,0.00,4.076,0.539,1.00
102-3,0.00,4.069,1.00,0.00,4.076,0.539,1.00
103-1,0.00,4.069,1.00,0.00,4.076,0.539,1.00
103-2,0.00,4.069,1.00,0.00,4.076,0.539,1.00
103-3,0.57,2.925,0.33,0.57,2.936,0.614,0.33
104-1,0.00,4.069,1.00,0.00,4.076,0.539,1.00
104-2,0.00,4.069,1.00,0.00,4.076,0.539,1.00
104-3,0.00,4.069,1.00,0.00,4.076,0.539,1.00
105-1,1.00,3.509,0.93,1.00,3.525,0.518,0.93
105-2,1.00,5.343,1.00,1.00,5.361,1.484,1.00
105-3,1.00,9.585,1.00,1.00,9.586,2.667,1.00
106-1,0.57,3.140,0.29,0.57,3.114,0.543,0.25
106-2,0.00,4.069,1.00,0.00,4.076,0.539,1.00
106-3,0.50,3.155,0.29,0.50,3.119,0.539,0.24
107-1,1.00,14.581,0.79,1.00,14.588,4.459,0.80
107-2,1.00,2.938,0.09,1.00,2.893,0.532,0.08
107-3,0.00,4.069,1.00,0.00,4.076,0.539,1.00
108-1,0.00,4.069,1.00,0.00,4.076,0.539,1.00
109-1,0.00,4.069,1.00,0.00,4.076,0.539,1.00
110-1,1.00,3.737,1.00,1.00,3.755,0.468,0.99
110-2,0.93,3.096,0.89,0.93,3.127,0.427,0.89
110-3,1.00,4.553,1.00,1.00,4.606,0.627,0.96
111-1,1.00,3.737,1.00,1.00,3.755,0.468,0.99
111-2,1.00,4.553,1.00,1.00,4.606,0.627,0.96
111-3,0.00,4.069,1.00,0.00,4.076,0.539,1.00
112-1,1.00,2.967,0.83,1.00,2.863,0.470,0.74
112-2,1.00,2.971,0.69,1.00,2.872,0.466,0.74
112-3,1.00,2.964,0.64,1.00,2.863,0.468,0.73
113-1,1.00,2.956,0.69,1.00,2.868,0.462,0.73
113-2,0.50,4.542,1.00,0.50,4.601,0.618,0.99
113-3,1.00,3.737,0.99,1.00,3.755,0.468,0.99
114-1,1.00,3.031,1.00,1.00,3.031,0.594,1.00
115-1,1.00,2.577,0.46,1.00,2.542,0.533,0.49
116-1,0.71,3.004,0.46,0.72,3.003,0.549,0.58
116-2,0.61,2.905,0.70,0.61,2.920,0.600,0.70
117-1,1.00,3.143,0.15,1.00,3.141,0.513,0.16
117-2,0.25,4.121,1.00,0.25,4.189,0.477,1.00
119-1,1.00,3.476,0.95,1.00,3.455,0.519,0.95
120-1,1.00,3.193,1.00,1.00,3.253,0.616,1.00
120-2,1.00,3.644,0.79,1.00,3.550,0.545,0.80
120-3,1.00,3.494,0.79,1.00,3.456,0.513,0.77
121-1,0.64,3.453,0.60,0.64,3.496,0.530,0.63
121-2,0.21,3.928,1.00,0.21,3.947,0.551,1.00
121-3,0.75,2.934,0.02,0.75,2.865,0.499,0.11
122-1,0.96,3.846,0.88,0.96,3.760,0.506,0.92
