ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.391,0.31,1.00,0.415,0.060,0.35
BLAST-S14,1.00,0.392,0.41,1.00,0.404,0.057,0.44
Naive-S11,1.00,0.433,0.18,1.00,0.437,0.027,0.18
Naive-S14,1.00,0.462,0.22,1.00,0.464,0.039,0.21
101-1,0.93,0.438,0.22,0.93,0.439,0.037,0.28
101-2,0.21,0.150,0.10,0.22,0.148,0.047,0.13
101-3,0.93,0.493,0.13,0.93,0.495,0.041,0.17
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.57,0.520,0.33,0.57,0.517,0.090,0.33
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.632,0.92,1.00,0.630,0.039,0.91
105-2,1.00,0.573,1.00,1.00,0.574,0.046,1.00
105-3,1.00,0.627,1.00,1.00,0.623,0.039,1.00
106-1,0.57,0.396,0.07,0.57,0.399,0.069,0.17
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.50,0.397,0.07,0.50,0.400,0.072,0.17
107-1,1.00,0.378,0.78,1.00,0.399,0.055,0.74
107-2,1.00,0.542,0.05,1.00,0.551,0.058,0.07
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.382,0.48,1.00,0.404,0.058,0.52
110-2,0.93,0.516,0.74,0.93,0.513,0.048,0.75
110-3,1.00,0.340,0.01,1.00,0.349,0.048,0.17
111-1,1.00,0.382,0.48,1.00,0.404,0.058,0.52
111-2,1.00,0.340,0.01,1.00,0.349,0.048,0.17
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.556,0.45,1.00,0.565,0.041,0.52
112-2,1.00,0.555,0.46,1.00,0.563,0.042,0.54
112-3,1.00,0.559,0.45,1.00,0.567,0.041,0.52
113-1,1.00,0.557,0.46,1.00,0.565,0.041,0.54
113-2,0.50,0.253,0.27,0.50,0.265,0.055,0.17
113-3,1.00,0.382,0.48,1.00,0.404,0.058,0.52
114-1,1.00,0.608,0.92,1.00,0.618,0.050,0.94
115-1,1.00,0.637,0.20,1.00,0.645,0.045,0.19
116-1,0.71,0.500,0.01,0.72,0.496,0.060,0.23
116-2,0.61,0.551,0.01,0.61,0.549,0.079,0.30
117-1,1.00,0.545,0.14,1.00,0.550,0.055,0.14
117-2,0.25,0.162,1.00,0.25,0.156,0.033,1.00
119-1,1.00,0.654,0.83,1.00,0.654,0.062,0.82
120-1,1.00,0.622,0.94,1.00,0.626,0.052,0.95
120-2,1.00,0.459,0.75,1.00,0.481,0.048,0.70
120-3,1.00,0.409,0.66,1.00,0.431,0.041,0.57
121-1,0.64,0.462,0.60,0.64,0.457,0.066,0.60
121-2,0.21,0.124,1.00,0.21,0.119,0.065,0.98
