ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.574,0.42,1.00,0.571,0.040,0.42
BLAST-S14,1.00,0.569,0.46,1.00,0.568,0.035,0.45
Naive-S11,1.00,0.568,0.28,1.00,0.567,0.011,0.26
Naive-S14,1.00,0.524,0.22,1.00,0.526,0.021,0.22
101-1,0.93,0.573,0.36,0.93,0.573,0.036,0.34
101-2,0.21,0.518,0.10,0.22,0.525,0.022,0.13
101-3,0.93,0.488,0.13,0.93,0.476,0.031,0.27
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.57,0.240,0.33,0.57,0.241,0.080,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.469,0.92,1.00,0.473,0.041,0.92
105-2,1.00,0.460,1.00,1.00,0.466,0.034,1.00
105-3,1.00,0.476,1.00,1.00,0.481,0.042,1.00
106-1,0.57,0.463,0.07,0.57,0.461,0.053,0.15
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.50,0.443,0.07,0.50,0.439,0.055,0.16
107-1,1.00,0.620,0.76,1.00,0.604,0.031,0.75
107-2,1.00,0.475,0.03,1.00,0.477,0.047,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.596,0.70,1.00,0.590,0.035,0.69
110-2,0.93,0.481,0.64,0.93,0.482,0.041,0.72
110-3,1.00,0.599,0.22,1.00,0.598,0.027,0.17
111-1,1.00,0.596,0.70,1.00,0.590,0.035,0.69
111-2,1.00,0.599,0.22,1.00,0.598,0.027,0.17
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.470,0.46,1.00,0.465,0.037,0.52
112-2,1.00,0.471,0.46,1.00,0.466,0.037,0.53
112-3,1.00,0.470,0.46,1.00,0.464,0.037,0.52
113-1,1.00,0.471,0.46,1.00,0.466,0.037,0.53
113-2,0.50,0.610,1.00,0.50,0.614,0.057,0.83
113-3,1.00,0.596,0.70,1.00,0.590,0.035,0.69
114-1,1.00,0.427,0.93,1.00,0.408,0.038,0.96
115-1,1.00,0.392,0.31,1.00,0.388,0.035,0.30
116-1,0.71,0.425,0.21,0.72,0.430,0.038,0.36
116-2,0.61,0.268,0.01,0.61,0.274,0.072,0.30
117-1,1.00,0.445,0.14,1.00,0.446,0.042,0.14
117-2,0.25,0.714,1.00,0.25,0.717,0.044,1.00
119-1,1.00,0.382,0.83,1.00,0.384,0.062,0.83
120-1,1.00,0.424,0.97,1.00,0.411,0.040,0.97
120-2,1.00,0.493,0.75,1.00,0.487,0.039,0.77
120-3,1.00,0.523,0.66,1.00,0.525,0.030,0.67
121-1,0.64,0.429,0.60,0.64,0.436,0.050,0.60
121-2,0.21,0.701,1.00,0.21,0.720,0.122,1.00
121-3,0.75,0.389,0.02,0.75,0.390,0.039,0.06
122-1,0.96,0.521,0.75,0.96,0.515,0.047,0.73
124-1,1.00,0.560,0.37,1.00,0.556,0.018,0.33
124-2,1.00,0.569,0.27,1.00,0.572,0.020,0.27
124-3,1.00,0.631,0.22,1.00,0.629,0.022,0.20
125-1,0.96,0.414,0.92,0.96,0.398,0.040,0.96
125-2,1.00,0.517,0.34,1.00,0.513,0.042,0.34
125-3,1.00,0.522,0.39,1.00,0.516,0.045,0.41
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,1.00,0.377,0.64,1.00,0.379,0.049,0.63
127-2,1.00,0.399,0.74,1.00,0.390,0.047,0.75
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.86,0.656,0.17,0.86,0.657,0.012,0.18
129-1,1.00,0.417,0.64,1.00,0.413,0.039,0.65
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.417,0.64,1.00,0.413,0.039,0.65
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.82,0.425,0.32,0.82,0.426,0.045,0.30
131-2,0.86,0.433,0.25,0.86,0.429,0.044,0.35
131-3,0.93,0.445,0.06,0.93,0.439,0.034,0.09
132-1,1.00,0.480,0.60,1.00,0.480,0.037,0.59
132-2,1.00,0.480,0.60,1.00,0.480,0.037,0.59
65-1,0.96,0.572,0.07,0.96,0.572,0.024,0.08
65-2,0.96,0.581,0.04,0.96,0.585,0.025,0.04
65-3,0.96,0.567,0.05,0.96,0.573,0.025,0.05
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.393,0.34,1.00,0.396,0.033,0.35
69-2,1.00,0.445,0.80,1.00,0.423,0.053,0.64
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,0.402,0.27,1.00,0.402,0.040,0.28
70-3,1.00,0.480,0.20,1.00,0.482,0.023,0.20
72-1,1.00,0.415,0.19,1.00,0.403,0.053,0.14
72-2,1.00,0.428,0.10,1.00,0.414,0.053,0.10
73-1,1.00,0.429,0.83,1.00,0.427,0.056,0.83
73-2,1.00,0.423,0.79,1.00,0.421,0.056,0.82
73-3,1.00,0.646,1.00,1.00,0.649,0.051,1.00
74-1,0.50,0.377,0.21,0.50,0.380,0.039,0.32
74-2,1.00,0.519,0.24,1.00,0.519,0.029,0.22
75-1,1.00,0.393,0.34,1.00,0.390,0.033,0.46
75-2,1.00,0.440,0.70,1.00,0.414,0.048,0.71
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.71,0.349,0.21,0.71,0.351,0.045,0.34
80-2,1.00,0.398,0.29,1.00,0.400,0.038,0.39
81-1,1.00,0.463,0.50,1.00,0.466,0.050,0.50
81-2,1.00,0.463,0.50,1.00,0.466,0.050,0.50
82-1,1.00,0.475,0.56,1.00,0.465,0.048,0.61
83-1,1.00,0.592,0.38,1.00,0.589,0.035,0.41
83-2,1.00,0.524,0.06,1.00,0.521,0.038,0.07
84-1,0.89,0.657,0.04,0.89,0.647,0.023,0.04
85-1,1.00,0.390,0.38,1.00,0.387,0.043,0.39
85-2,1.00,0.390,0.38,1.00,0.387,0.043,0.39
86-1,1.00,0.540,0.54,1.00,0.530,0.037,0.63
86-2,1.00,0.540,0.54,1.00,0.530,0.037,0.63
86-3,0.96,0.500,0.45,0.96,0.501,0.050,0.46
87-1,0.96,0.579,0.39,0.96,0.577,0.054,0.40
87-2,0.96,0.520,0.21,0.96,0.510,0.040,0.21
87-3,0.68,0.428,0.34,0.68,0.409,0.070,0.33
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,0.453,0.81,1.00,0.454,0.042,0.81
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
