ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.407,0.39,1.00,0.422,0.034,0.41
BLAST-S14,1.00,0.407,0.43,1.00,0.416,0.038,0.44
Naive-S11,1.00,0.595,0.55,1.00,0.600,0.031,0.59
Naive-S14,1.00,0.595,0.57,1.00,0.602,0.031,0.59
101-1,1.00,0.480,0.36,1.00,0.481,0.041,0.36
101-2,0.09,0.124,0.10,0.09,0.124,0.054,0.48
101-3,1.00,0.601,0.75,1.00,0.612,0.036,0.70
102-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
103-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
103-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
103-3,0.69,0.406,0.17,0.69,0.402,0.055,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
105-1,1.00,0.492,0.93,1.00,0.504,0.040,0.93
105-2,1.00,0.515,0.99,1.00,0.521,0.045,0.99
105-3,1.00,0.494,1.00,1.00,0.492,0.042,1.00
106-1,0.44,0.328,0.10,0.44,0.323,0.052,0.15
106-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
106-3,0.31,0.255,0.10,0.31,0.251,0.051,0.15
107-1,1.00,0.371,0.79,1.00,0.379,0.037,0.77
107-2,1.00,0.498,0.03,1.00,0.505,0.039,0.03
107-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
108-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
110-1,1.00,0.431,0.92,1.00,0.442,0.040,0.88
110-2,0.98,0.547,0.96,0.98,0.553,0.046,0.86
110-3,1.00,0.608,0.48,1.00,0.605,0.032,0.48
111-1,1.00,0.431,0.98,1.00,0.445,0.041,0.89
111-2,1.00,0.613,0.48,1.00,0.610,0.032,0.48
111-3,0.07,0.089,0.27,0.07,0.084,0.041,0.49
112-1,1.00,0.553,0.80,1.00,0.563,0.044,0.72
112-2,1.00,0.556,0.79,1.00,0.565,0.044,0.72
112-3,0.98,0.523,0.75,0.98,0.538,0.041,0.66
113-1,0.98,0.526,0.79,0.98,0.538,0.041,0.67
113-2,0.49,0.352,0.50,0.49,0.357,0.043,0.63
113-3,0.98,0.433,0.87,0.98,0.443,0.039,0.89
114-1,1.00,0.530,0.74,1.00,0.540,0.037,0.84
115-1,1.00,0.560,0.27,1.00,0.574,0.037,0.22
116-1,0.49,0.288,0.78,0.49,0.293,0.064,0.71
116-2,0.31,0.204,0.37,0.31,0.202,0.054,0.46
117-1,1.00,0.566,0.12,1.00,0.572,0.035,0.13
117-2,0.18,0.216,1.00,0.18,0.209,0.064,1.00
119-1,0.98,0.455,0.75,0.98,0.471,0.037,0.84
120-1,1.00,0.511,0.92,1.00,0.530,0.038,0.93
120-2,1.00,0.551,0.70,1.00,0.560,0.036,0.70
120-3,1.00,0.490,0.60,1.00,0.497,0.040,0.58
121-1,0.76,0.555,0.52,0.76,0.554,0.047,0.52
121-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
121-3,0.96,0.502,0.03,0.96,0.502,0.048,0.03
122-1,0.82,0.512,0.74,0.82,0.512,0.044,0.74
124-1,1.00,0.534,0.39,1.00,0.540,0.033,0.38
124-2,1.00,0.515,0.23,1.00,0.515,0.033,0.24
124-3,1.00,0.536,0.32,1.00,0.540,0.032,0.34
125-1,1.00,0.534,0.76,1.00,0.544,0.038,0.83
125-2,1.00,0.421,0.29,1.00,0.435,0.041,0.34
125-3,1.00,0.432,0.33,1.00,0.456,0.040,0.40
126-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
127-1,1.00,0.508,0.56,1.00,0.523,0.037,0.55
127-2,0.98,0.588,0.79,0.98,0.595,0.038,0.83
127-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
128-1,0.87,0.380,0.14,0.87,0.386,0.047,0.11
129-1,1.00,0.591,0.63,1.00,0.600,0.039,0.65
129-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
129-3,1.00,0.591,0.63,1.00,0.600,0.039,0.65
130-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
130-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
130-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
131-1,0.71,0.399,0.20,0.71,0.397,0.053,0.28
131-2,0.80,0.456,0.09,0.80,0.453,0.052,0.13
131-3,0.98,0.508,0.06,0.98,0.512,0.041,0.07
132-1,1.00,0.561,0.98,1.00,0.576,0.041,0.87
132-2,0.98,0.529,0.66,0.98,0.549,0.037,0.78
65-1,1.00,0.521,0.43,1.00,0.532,0.026,0.46
65-2,1.00,0.546,0.33,1.00,0.552,0.027,0.36
65-3,1.00,0.564,0.39,1.00,0.564,0.028,0.41
68-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
68-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
69-1,1.00,0.580,0.34,1.00,0.588,0.036,0.42
69-2,1.00,0.553,0.30,1.00,0.562,0.042,0.37
70-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
70-2,1.00,0.605,0.52,1.00,0.607,0.036,0.49
70-3,1.00,0.608,0.40,1.00,0.612,0.034,0.45
72-1,1.00,0.542,0.01,1.00,0.541,0.038,0.01
72-2,1.00,0.556,0.01,1.00,0.555,0.037,0.01
73-1,1.00,0.468,0.83,1.00,0.475,0.041,0.83
73-2,1.00,0.473,0.83,1.00,0.481,0.040,0.82
73-3,0.98,0.358,1.00,0.98,0.357,0.039,0.99
74-1,0.49,0.399,0.14,0.49,0.408,0.048,0.16
74-2,1.00,0.527,0.16,1.00,0.540,0.042,0.22
75-1,1.00,0.582,0.46,1.00,0.588,0.037,0.48
75-2,1.00,0.567,0.67,1.00,0.574,0.039,0.52
79-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
79-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
79-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
80-1,0.56,0.392,0.29,0.55,0.400,0.048,0.23
80-2,1.00,0.553,0.34,1.00,0.556,0.041,0.36
81-1,1.00,0.490,0.50,1.00,0.489,0.046,0.50
81-2,1.00,0.496,0.50,1.00,0.495,0.045,0.50
82-1,0.98,0.558,0.52,0.98,0.572,0.035,0.56
83-1,1.00,0.585,0.53,1.00,0.587,0.030,0.48
83-2,1.00,0.586,0.53,1.00,0.589,0.030,0.48
84-1,0.87,0.456,0.06,0.87,0.462,0.040,0.07
85-1,0.93,0.563,0.77,0.93,0.572,0.037,0.68
85-2,0.93,0.563,0.77,0.93,0.572,0.037,0.68
86-1,0.56,0.421,0.30,0.56,0.421,0.053,0.32
86-2,0.56,0.421,0.30,0.56,0.421,0.053,0.32
86-3,0.31,0.272,0.33,0.31,0.268,0.061,0.34
87-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
87-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
87-3,0.78,0.466,0.26,0.78,0.470,0.043,0.24
88-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
89-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
89-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
89-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
91-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
91-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
91-3,0.00,0.006,0.00,0.00,0.006,0.001,0.00
93-1,0.00,0.006,0.00,0.00,0.006,0.001,0.00
93-2,0.00,0.006,0.00,0.00,0.006,0.001,0.00
94-1,1.00,0.477,1.00,1.00,0.482,0.042,0.62
