ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.264,0.46,1.00,0.271,0.033,0.45
BLAST-S14,1.00,0.290,0.45,1.00,0.303,0.042,0.48
Naive-S11,1.00,0.277,0.44,1.00,0.290,0.037,0.34
Naive-S14,1.00,0.277,0.48,1.00,0.293,0.037,0.36
101-1,1.00,0.339,0.36,1.00,0.345,0.042,0.36
101-2,0.09,0.088,0.10,0.09,0.090,0.048,0.46
101-3,1.00,0.444,0.16,1.00,0.452,0.047,0.28
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.69,0.358,0.17,0.69,0.354,0.054,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.349,0.93,1.00,0.363,0.040,0.92
105-2,1.00,0.393,1.00,1.00,0.404,0.045,0.99
105-3,1.00,0.339,1.00,1.00,0.342,0.040,0.99
106-1,0.44,0.234,0.18,0.44,0.231,0.053,0.23
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.31,0.158,0.18,0.31,0.156,0.050,0.24
107-1,1.00,0.244,0.74,1.00,0.249,0.037,0.74
107-2,1.00,0.351,0.03,1.00,0.366,0.041,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.280,0.92,1.00,0.298,0.040,0.83
110-2,0.98,0.351,0.88,0.98,0.375,0.052,0.59
110-3,1.00,0.328,0.48,1.00,0.327,0.044,0.44
111-1,1.00,0.279,0.98,1.00,0.300,0.040,0.83
111-2,1.00,0.346,0.48,1.00,0.341,0.044,0.46
111-3,0.07,0.067,0.27,0.07,0.063,0.032,0.49
112-1,1.00,0.370,0.81,1.00,0.385,0.052,0.63
112-2,1.00,0.369,0.81,1.00,0.387,0.052,0.63
112-3,0.98,0.344,0.74,0.98,0.364,0.049,0.58
113-1,0.98,0.346,0.44,0.98,0.367,0.049,0.58
113-2,0.49,0.188,0.24,0.49,0.195,0.035,0.42
113-3,0.98,0.281,0.92,0.98,0.302,0.043,0.88
114-1,1.00,0.408,0.96,1.00,0.422,0.045,0.93
115-1,1.00,0.430,0.21,1.00,0.442,0.045,0.25
116-1,0.49,0.248,0.78,0.49,0.251,0.062,0.78
116-2,0.31,0.134,0.37,0.31,0.134,0.050,0.61
117-1,1.00,0.320,0.12,1.00,0.336,0.035,0.12
117-2,0.18,0.195,1.00,0.18,0.187,0.061,1.00
119-1,0.98,0.350,0.95,0.98,0.368,0.042,0.87
120-1,1.00,0.411,1.00,1.00,0.422,0.045,0.98
120-2,1.00,0.407,0.64,1.00,0.413,0.038,0.66
120-3,1.00,0.302,0.64,1.00,0.319,0.044,0.57
121-1,0.76,0.485,0.52,0.76,0.483,0.050,0.53
121-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
121-3,0.96,0.416,0.03,0.96,0.416,0.048,0.04
122-1,0.82,0.364,0.74,0.82,0.370,0.050,0.73
124-1,1.00,0.322,0.39,1.00,0.329,0.044,0.39
124-2,1.00,0.322,0.23,1.00,0.319,0.045,0.23
124-3,1.00,0.282,0.32,1.00,0.290,0.038,0.30
125-1,1.00,0.425,0.97,1.00,0.431,0.046,0.95
125-2,1.00,0.315,0.44,1.00,0.335,0.045,0.45
125-3,1.00,0.322,0.43,1.00,0.343,0.045,0.42
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,1.00,0.387,0.55,1.00,0.391,0.042,0.54
127-2,0.98,0.400,0.79,0.98,0.409,0.044,0.74
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.87,0.263,0.03,0.87,0.263,0.048,0.05
129-1,1.00,0.457,0.62,1.00,0.460,0.044,0.63
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.457,0.62,1.00,0.460,0.044,0.63
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.71,0.322,0.20,0.71,0.326,0.052,0.37
131-2,0.80,0.383,0.09,0.80,0.380,0.053,0.14
131-3,0.98,0.366,0.06,0.98,0.380,0.045,0.10
132-1,1.00,0.380,0.63,1.00,0.392,0.048,0.67
132-2,0.98,0.366,0.56,0.98,0.380,0.047,0.64
65-1,1.00,0.260,0.38,1.00,0.270,0.028,0.40
65-2,1.00,0.306,0.33,1.00,0.306,0.030,0.34
65-3,1.00,0.311,0.39,1.00,0.310,0.031,0.38
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,1.00,0.424,0.60,1.00,0.429,0.047,0.64
69-2,1.00,0.393,0.53,1.00,0.396,0.048,0.59
70-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
70-2,1.00,0.353,0.30,1.00,0.361,0.042,0.30
70-3,1.00,0.377,0.40,1.00,0.389,0.041,0.34
72-1,1.00,0.402,0.01,1.00,0.400,0.042,0.01
72-2,1.00,0.398,0.01,1.00,0.395,0.040,0.01
73-1,1.00,0.331,0.95,1.00,0.340,0.045,0.86
73-2,1.00,0.334,0.95,1.00,0.347,0.043,0.83
73-3,0.98,0.242,0.91,0.98,0.241,0.031,0.93
74-1,0.49,0.343,0.14,0.49,0.341,0.053,0.17
74-2,1.00,0.423,0.43,1.00,0.441,0.047,0.28
75-1,1.00,0.453,0.70,1.00,0.455,0.046,0.64
75-2,1.00,0.445,0.67,1.00,0.444,0.045,0.64
79-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
79-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
79-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
80-1,0.56,0.307,0.14,0.55,0.316,0.054,0.30
80-2,1.00,0.435,0.44,1.00,0.443,0.046,0.43
81-1,1.00,0.332,0.50,1.00,0.334,0.049,0.52
81-2,1.00,0.336,0.50,1.00,0.338,0.050,0.52
82-1,0.98,0.420,0.50,0.98,0.422,0.041,0.51
83-1,1.00,0.405,0.53,1.00,0.408,0.042,0.43
83-2,1.00,0.411,0.53,1.00,0.416,0.041,0.42
84-1,0.87,0.298,0.07,0.87,0.306,0.044,0.07
85-1,0.93,0.382,0.27,0.93,0.391,0.044,0.32
85-2,0.93,0.382,0.27,0.93,0.391,0.044,0.32
86-1,0.56,0.299,0.30,0.56,0.299,0.059,0.35
86-2,0.56,0.299,0.30,0.56,0.299,0.059,0.35
86-3,0.31,0.203,0.33,0.31,0.200,0.057,0.37
87-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
87-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
87-3,0.78,0.348,0.26,0.78,0.345,0.049,0.26
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,1.00,0.356,1.00,1.00,0.361,0.046,0.66
95-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
95-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,1.00,0.362,0.11,1.00,0.366,0.052,0.19
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,1.00,0.406,0.51,1.00,0.409,0.054,0.52
99-1,1.00,0.390,0.16,1.00,0.400,0.048,0.25
