ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.644,0.46,1.00,0.640,0.015,0.44
BLAST-S14,1.00,0.614,0.45,1.00,0.613,0.021,0.46
Naive-S11,1.00,0.610,0.28,1.00,0.610,0.014,0.28
Naive-S14,1.00,0.609,0.22,1.00,0.604,0.016,0.26
101-1,1.00,0.644,0.37,1.00,0.643,0.017,0.37
101-2,0.09,0.470,0.80,0.09,0.475,0.141,0.63
101-3,1.00,0.520,0.43,1.00,0.516,0.032,0.33
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.69,0.534,0.17,0.69,0.537,0.040,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.638,0.92,1.00,0.620,0.029,0.92
105-2,1.00,0.592,1.00,1.00,0.593,0.032,1.00
105-3,1.00,0.663,1.00,1.00,0.665,0.036,1.00
106-1,0.44,0.596,0.10,0.44,0.599,0.033,0.18
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.623,0.22,0.31,0.615,0.039,0.22
107-1,1.00,0.679,1.00,1.00,0.683,0.029,0.99
107-2,1.00,0.578,0.03,1.00,0.577,0.026,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.614,0.92,1.00,0.609,0.022,0.91
110-2,0.98,0.528,0.81,0.98,0.529,0.040,0.83
110-3,1.00,0.621,0.24,1.00,0.624,0.016,0.25
111-1,1.00,0.613,0.92,1.00,0.608,0.022,0.91
111-2,1.00,0.629,0.27,1.00,0.629,0.015,0.28
