ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622,GO:0044424,GO:0012505
BLAST-S11,NaN,0.78,0.78,0.75,0.75,0.59
BLAST-S14,NaN,0.93,0.93,0.57,0.57,0.53
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.89,0.89,0.75,0.76,0.52
101-2,NaN,0.57,0.57,0.52,0.52,0.53
101-3,NaN,0.89,0.89,0.81,0.81,0.51
102-1,NaN,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50
103-1,NaN,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.65,0.65,0.58,0.58,0.59
104-1,NaN,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.74,0.74,0.70,0.70,0.51
105-2,NaN,0.96,0.96,0.63,0.63,0.63
105-3,NaN,0.81,0.81,0.61,0.61,0.63
106-1,NaN,0.67,0.67,0.56,0.56,0.54
106-2,NaN,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.57,0.57,0.47,0.47,0.53
107-1,NaN,0.74,0.74,0.54,0.54,0.57
107-2,NaN,0.85,0.85,0.68,0.68,0.63
107-3,NaN,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.85,0.85,0.53,0.53,0.52
110-2,NaN,0.94,0.94,0.70,0.70,0.54
110-3,NaN,0.69,0.69,0.50,0.50,0.58
111-1,NaN,0.85,0.85,0.53,0.53,0.52
111-2,NaN,0.70,0.70,0.54,0.54,0.54
111-3,NaN,0.54,0.54,0.59,0.59,0.46
112-1,NaN,0.96,0.96,0.63,0.63,0.62
112-2,NaN,0.96,0.96,0.63,0.63,0.61
112-3,NaN,0.96,0.96,0.70,0.70,0.62
113-1,NaN,0.96,0.96,0.68,0.68,0.61
113-2,NaN,0.76,0.76,0.48,0.48,0.58
113-3,NaN,0.85,0.85,0.52,0.52,0.52
114-1,NaN,1.00,1.00,0.69,0.69,0.67
115-1,NaN,0.56,0.56,0.71,0.70,0.64
116-1,NaN,0.80,0.80,0.66,0.68,0.56
116-2,NaN,0.74,0.74,0.71,0.67,0.52
117-1,NaN,0.78,0.78,0.78,0.78,0.44
117-2,NaN,0.65,0.65,0.71,0.71,0.52
119-1,NaN,0.91,0.91,0.70,0.70,0.53
120-1,NaN,0.93,0.93,0.74,0.74,0.78
120-2,NaN,0.96,0.96,0.50,0.50,0.76
120-3,NaN,0.96,0.96,0.62,0.62,0.57
121-1,NaN,0.76,0.76,0.63,0.63,0.52
121-2,NaN,0.50,0.50,0.50,0.50,0.50
121-3,NaN,0.80,0.80,0.65,0.65,0.58
122-1,NaN,0.74,0.74,0.64,0.64,0.52
124-1,NaN,0.48,0.48,0.65,0.65,0.74
124-2,NaN,0.31,0.31,0.33,0.33,0.62
124-3,NaN,0.44,0.44,0.70,0.70,0.57
125-1,NaN,0.98,0.98,0.70,0.70,0.65
125-2,NaN,0.94,0.94,0.67,0.67,0.61
125-3,NaN,0.85,0.85,0.58,0.58,0.54
126-1,NaN,0.50,0.50,0.50,0.50,0.50
127-1,NaN,0.96,0.96,0.62,0.62,0.53
127-2,NaN,0.96,0.96,0.79,0.79,0.55
127-3,NaN,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.81,0.81,0.75,0.75,0.54
