ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.93,3.270,1.00,0.93,3.247,0.494,0.86
BLAST-S14,1.00,3.259,0.72,1.00,3.230,0.486,0.77
Naive-S11,1.00,2.982,0.44,1.00,2.976,0.496,0.48
Naive-S14,1.00,2.982,0.48,1.00,2.979,0.500,0.52
101-1,0.82,3.131,0.44,0.82,3.148,0.495,0.45
101-2,0.18,3.056,0.20,0.18,3.038,0.404,0.32
101-3,0.82,3.787,1.00,0.82,3.835,0.457,0.97
102-1,0.00,3.273,1.00,0.00,3.274,0.505,1.00
102-2,0.00,3.273,1.00,0.00,3.274,0.505,1.00
102-3,0.00,3.273,1.00,0.00,3.274,0.505,1.00
103-1,0.00,3.273,1.00,0.00,3.274,0.505,1.00
103-2,0.00,3.273,1.00,0.00,3.274,0.505,1.00
103-3,0.46,2.977,0.33,0.46,2.941,0.407,0.31
104-1,0.00,3.273,1.00,0.00,3.274,0.505,1.00
104-2,0.00,3.273,1.00,0.00,3.274,0.505,1.00
104-3,0.00,3.273,1.00,0.00,3.274,0.505,1.00
105-1,1.00,2.806,0.93,1.00,2.820,0.374,0.94
105-2,1.00,5.825,1.00,1.00,5.869,1.074,1.00
105-3,1.00,6.943,1.00,1.00,6.974,1.150,1.00
106-1,0.39,3.179,0.76,0.39,3.188,0.490,0.87
106-2,0.00,3.273,1.00,0.00,3.274,0.505,1.00
106-3,0.14,3.226,0.23,0.14,3.228,0.503,0.54
107-1,1.00,5.723,1.00,1.00,5.787,1.348,1.00
107-2,1.00,3.081,0.22,1.00,3.086,0.468,0.25
107-3,0.00,3.273,1.00,0.00,3.274,0.505,1.00
108-1,0.00,3.273,1.00,0.00,3.274,0.505,1.00
109-1,0.00,3.273,1.00,0.00,3.274,0.505,1.00
110-1,0.89,3.638,1.00,0.89,3.674,0.480,0.99
110-2,0.93,3.244,1.00,0.93,3.291,0.393,0.99
110-3,0.93,5.933,1.00,0.93,5.984,1.016,1.00
111-1,0.89,3.638,1.00,0.89,3.671,0.478,0.99
111-2,0.93,6.125,1.00,0.93,6.167,1.027,1.00
111-3,0.07,3.075,0.21,0.07,3.104,0.485,0.50
112-1,0.96,3.158,1.00,0.96,3.121,0.469,0.94
112-2,0.96,3.145,0.93,0.96,3.101,0.450,0.92
112-3,0.96,3.058,0.94,0.96,3.015,0.465,0.90
113-1,0.96,3.076,0.93,0.96,3.002,0.440,0.89
113-2,0.50,5.834,1.00,0.50,5.885,1.007,1.00
