ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.93,0.211,0.38,0.93,0.234,0.053,0.34
BLAST-S14,1.00,0.184,0.38,1.00,0.202,0.046,0.37
Naive-S11,1.00,0.249,0.32,1.00,0.256,0.052,0.36
Naive-S14,1.00,0.245,0.48,1.00,0.251,0.045,0.40
101-1,0.82,0.298,0.37,0.82,0.312,0.053,0.37
101-2,0.18,0.386,0.10,0.18,0.403,0.149,0.29
101-3,0.82,0.332,1.00,0.82,0.341,0.070,0.78
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.46,0.313,0.17,0.46,0.308,0.103,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.256,0.86,1.00,0.277,0.057,0.84
105-2,1.00,0.295,0.98,1.00,0.306,0.060,0.99
105-3,1.00,0.273,0.99,1.00,0.272,0.059,0.99
106-1,0.39,0.234,0.18,0.39,0.242,0.053,0.37
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.14,0.224,0.23,0.14,0.209,0.107,0.25
107-1,1.00,0.262,0.75,1.00,0.263,0.063,0.76
107-2,1.00,0.249,0.04,1.00,0.266,0.052,0.09
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.89,0.249,0.67,0.89,0.250,0.065,0.61
110-2,0.93,0.305,1.00,0.93,0.319,0.069,0.69
110-3,0.93,0.311,0.44,0.93,0.312,0.052,0.37
111-1,0.89,0.254,0.67,0.89,0.255,0.064,0.59
111-2,0.93,0.310,0.48,0.93,0.311,0.051,0.37
111-3,0.07,0.361,0.21,0.07,0.359,0.159,0.43
112-1,0.96,0.299,0.80,0.96,0.313,0.066,0.55
112-2,0.96,0.295,0.71,0.96,0.314,0.067,0.55
112-3,0.96,0.290,0.80,0.96,0.310,0.066,0.53
113-1,0.96,0.289,0.71,0.96,0.311,0.066,0.53
113-2,0.50,0.186,1.00,0.50,0.182,0.059,0.94
113-3,0.89,0.238,0.57,0.89,0.249,0.057,0.55
114-1,1.00,0.307,0.89,1.00,0.321,0.060,0.89
115-1,1.00,0.280,0.78,1.00,0.296,0.059,0.58
116-1,0.79,0.290,0.34,0.79,0.287,0.073,0.41
116-2,0.64,0.414,0.34,0.64,0.412,0.093,0.47
117-1,1.00,0.354,0.15,1.00,0.357,0.063,0.15
117-2,0.29,0.537,1.00,0.29,0.524,0.130,1.00
119-1,0.82,0.258,0.84,0.82,0.267,0.051,0.82
120-1,1.00,0.321,0.92,1.00,0.333,0.063,0.92
120-2,1.00,0.327,0.68,1.00,0.346,0.050,0.66
120-3,1.00,0.256,0.44,1.00,0.263,0.054,0.50
121-1,0.68,0.307,0.52,0.68,0.304,0.087,0.53
