ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.90,0.609,0.31,0.90,0.603,0.025,0.31
BLAST-S14,0.95,0.562,0.35,0.95,0.565,0.032,0.35
Naive-S11,1.00,0.595,0.28,1.00,0.590,0.013,0.24
Naive-S14,1.00,0.562,0.22,1.00,0.561,0.019,0.24
101-1,0.86,0.485,0.01,0.86,0.490,0.040,0.02
101-2,0.19,0.861,0.04,0.19,0.862,0.048,0.14
101-3,0.86,0.474,0.02,0.86,0.476,0.042,0.02
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.60,0.632,0.04,0.60,0.627,0.040,0.03
103-2,0.83,0.570,0.02,0.83,0.559,0.033,0.02
103-3,0.62,0.670,0.17,0.62,0.671,0.057,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.98,0.504,0.92,0.98,0.493,0.037,0.84
105-2,0.95,0.439,0.98,0.95,0.439,0.039,0.98
105-3,0.98,0.448,1.00,0.98,0.443,0.038,0.99
106-1,0.52,0.688,0.07,0.52,0.689,0.059,0.07
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.40,0.748,0.07,0.40,0.748,0.059,0.07
107-1,1.00,0.541,0.72,1.00,0.537,0.031,0.74
107-2,1.00,0.448,0.03,1.00,0.448,0.043,0.03
107-3,0.98,0.453,0.02,0.98,0.455,0.042,0.02
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.93,0.558,0.53,0.93,0.558,0.030,0.53
110-2,0.81,0.621,0.46,0.81,0.621,0.021,0.46
110-3,0.98,0.616,1.00,0.98,0.617,0.042,1.00
111-1,0.93,0.558,0.53,0.93,0.558,0.030,0.53
111-2,0.98,0.616,1.00,0.98,0.617,0.042,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.584,0.53,1.00,0.574,0.027,0.47
112-2,1.00,0.590,0.52,1.00,0.579,0.026,0.47
112-3,1.00,0.589,0.53,1.00,0.579,0.027,0.47
113-1,1.00,0.595,0.36,1.00,0.584,0.026,0.46
113-2,0.98,0.618,1.00,0.98,0.620,0.042,1.00
113-3,0.86,0.566,0.53,0.86,0.568,0.030,0.53
114-1,1.00,0.405,0.83,1.00,0.397,0.038,0.80
115-1,1.00,0.438,0.17,1.00,0.436,0.037,0.17
116-1,0.71,0.622,0.40,0.71,0.623,0.052,0.45
116-2,0.31,0.857,0.72,0.31,0.857,0.042,0.72
117-1,1.00,0.510,0.08,1.00,0.505,0.034,0.07
117-2,0.02,0.984,1.00,0.02,0.984,0.016,0.63
119-1,1.00,0.455,0.65,1.00,0.448,0.039,0.69
120-1,1.00,0.397,0.93,1.00,0.383,0.033,0.92
120-2,1.00,0.482,0.71,1.00,0.476,0.035,0.72
120-3,0.98,0.569,0.64,0.98,0.564,0.026,0.62
121-1,0.76,0.542,0.60,0.76,0.543,0.058,0.60
121-2,0.02,0.976,0.61,0.02,0.976,0.023,0.39
121-3,0.83,0.494,0.01,0.83,0.496,0.053,0.01
122-1,0.55,0.722,0.69,0.55,0.722,0.056,0.70
124-1,1.00,0.545,0.19,1.00,0.545,0.030,0.20
124-2,1.00,0.496,0.12,1.00,0.498,0.034,0.13
124-3,1.00,0.545,0.19,1.00,0.545,0.030,0.20
125-1,0.93,0.403,0.89,0.93,0.393,0.040,0.82
125-2,0.90,0.446,0.31,0.90,0.447,0.046,0.30
125-3,0.95,0.532,0.33,0.95,0.528,0.037,0.33
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,0.76,0.565,0.24,0.76,0.563,0.040,0.24
127-2,0.90,0.550,0.59,0.90,0.543,0.031,0.52
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.55,0.646,0.01,0.55,0.652,0.030,0.01
129-1,0.98,0.529,0.54,0.98,0.520,0.030,0.52
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,0.98,0.529,0.54,0.98,0.520,0.030,0.52
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.55,0.733,0.50,0.55,0.733,0.051,0.68
131-2,0.52,0.736,1.00,0.52,0.736,0.052,1.00
131-3,0.64,0.646,0.01,0.64,0.648,0.051,0.01
132-1,1.00,0.539,0.46,1.00,0.532,0.031,0.51
132-2,1.00,0.543,0.44,1.00,0.539,0.030,0.49
65-1,1.00,0.603,0.15,1.00,0.601,0.017,0.15
65-2,1.00,0.615,0.12,1.00,0.613,0.015,0.12
65-3,1.00,0.612,0.13,1.00,0.611,0.015,0.13
68-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
68-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
69-1,1.00,0.412,0.23,1.00,0.405,0.036,0.20
69-2,1.00,0.425,0.15,1.00,0.413,0.033,0.20
70-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
70-2,1.00,0.517,0.29,1.00,0.512,0.022,0.28
70-3,1.00,0.595,0.20,1.00,0.594,0.015,0.20
72-1,0.71,0.545,0.01,0.71,0.547,0.062,0.01
72-2,0.71,0.576,0.01,0.71,0.577,0.064,0.01
73-1,1.00,0.512,0.76,1.00,0.506,0.033,0.74
73-2,1.00,0.512,0.76,1.00,0.506,0.033,0.74
73-3,0.95,0.611,0.94,0.95,0.615,0.027,0.94
74-1,0.74,0.516,0.02,0.74,0.517,0.054,0.03
74-2,0.95,0.457,0.02,0.95,0.459,0.040,0.03
75-1,1.00,0.425,0.24,1.00,0.421,0.037,0.24
75-2,1.00,0.400,0.26,1.00,0.397,0.037,0.26
79-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
79-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
79-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
80-1,0.76,0.517,0.02,0.76,0.517,0.051,0.04
80-2,0.95,0.476,0.02,0.95,0.474,0.038,0.05
81-1,0.95,0.644,0.50,0.95,0.645,0.052,0.50
81-2,0.95,0.644,0.50,0.95,0.645,0.052,0.50
82-1,0.50,0.669,0.50,0.50,0.672,0.052,0.50
83-1,1.00,0.459,0.12,1.00,0.456,0.043,0.14
83-2,1.00,0.416,0.08,1.00,0.407,0.041,0.08
84-1,1.00,0.455,0.21,1.00,0.454,0.035,0.19
85-1,0.57,0.599,0.02,0.57,0.598,0.044,0.04
85-2,0.57,0.599,0.02,0.57,0.598,0.044,0.04
86-1,0.36,0.882,0.30,0.36,0.884,0.037,0.30
86-2,0.36,0.882,0.30,0.36,0.884,0.037,0.30
86-3,0.12,0.925,0.32,0.12,0.926,0.033,0.35
87-1,0.67,0.610,0.17,0.67,0.610,0.060,0.17
87-2,0.67,0.610,0.09,0.67,0.610,0.060,0.09
87-3,0.64,0.644,0.19,0.64,0.644,0.057,0.20
88-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
89-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
91-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
93-1,0.88,0.775,1.00,0.88,0.778,0.037,1.00
