ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.90,0.381,0.30,0.91,0.402,0.050,0.33
BLAST-S14,0.81,0.362,0.36,0.81,0.370,0.041,0.34
Naive-S11,1.00,0.483,0.77,1.00,0.483,0.047,0.76
Naive-S14,1.00,0.483,0.76,1.00,0.483,0.047,0.75
101-1,0.81,0.724,0.01,0.81,0.724,0.053,0.14
101-2,0.19,0.614,0.30,0.19,0.624,0.070,0.35
101-3,0.81,0.758,0.20,0.81,0.756,0.046,0.27
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.57,0.666,0.15,0.57,0.674,0.048,0.13
103-2,0.76,0.648,0.03,0.76,0.658,0.042,0.06
103-3,0.57,0.618,0.17,0.57,0.616,0.069,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.90,0.606,0.92,0.90,0.625,0.055,0.71
105-2,0.86,0.674,1.00,0.86,0.686,0.056,0.98
105-3,0.90,0.650,1.00,0.90,0.662,0.050,0.99
106-1,0.67,0.706,0.07,0.67,0.703,0.079,0.08
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.38,0.857,0.07,0.38,0.855,0.033,0.09
107-1,0.95,0.586,0.74,0.95,0.604,0.054,0.72
107-2,0.95,0.661,0.02,0.95,0.675,0.049,0.03
107-3,0.95,0.672,0.02,0.95,0.671,0.049,0.02
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.607,0.45,0.95,0.602,0.048,0.43
110-2,0.81,0.539,0.42,0.81,0.536,0.050,0.44
110-3,1.00,0.408,0.94,1.00,0.434,0.043,0.63
111-1,0.95,0.607,0.45,0.95,0.602,0.048,0.43
111-2,1.00,0.408,0.94,1.00,0.434,0.043,0.63
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.474,0.36,1.00,0.492,0.051,0.45
112-2,1.00,0.497,0.31,1.00,0.505,0.046,0.39
112-3,1.00,0.474,0.36,1.00,0.492,0.051,0.45
113-1,1.00,0.497,0.31,1.00,0.505,0.046,0.39
113-2,1.00,0.408,0.94,1.00,0.434,0.043,0.63
113-3,0.71,0.599,0.45,0.71,0.606,0.064,0.46
