ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.90,0.609,0.36,0.91,0.610,0.041,0.35
BLAST-S14,0.81,0.648,0.36,0.81,0.650,0.025,0.35
Naive-S11,1.00,0.581,0.18,1.00,0.580,0.018,0.21
Naive-S14,1.00,0.535,0.22,1.00,0.539,0.027,0.22
101-1,0.81,0.357,0.01,0.81,0.365,0.069,0.14
101-2,0.19,0.626,0.30,0.19,0.641,0.040,0.42
101-3,0.81,0.337,0.18,0.81,0.338,0.064,0.17
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.57,0.411,0.15,0.57,0.406,0.061,0.14
103-2,0.76,0.460,0.10,0.76,0.434,0.052,0.09
103-3,0.57,0.437,0.17,0.57,0.447,0.084,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.90,0.480,0.92,0.90,0.455,0.060,0.71
105-2,0.86,0.387,1.00,0.86,0.386,0.067,0.99
105-3,0.90,0.436,1.00,0.90,0.430,0.061,0.99
106-1,0.67,0.349,0.07,0.67,0.355,0.091,0.08
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.38,0.232,0.07,0.38,0.239,0.121,0.09
107-1,0.95,0.497,0.74,0.95,0.474,0.058,0.71
107-2,0.95,0.417,0.05,0.95,0.409,0.061,0.04
107-3,0.95,0.441,0.02,0.95,0.448,0.070,0.02
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.567,0.05,0.95,0.547,0.043,0.24
110-2,0.81,0.624,0.32,0.81,0.624,0.037,0.32
110-3,1.00,0.656,0.94,1.00,0.660,0.046,0.96
111-1,0.95,0.567,0.05,0.95,0.547,0.043,0.24
111-2,1.00,0.656,0.94,1.00,0.660,0.046,0.96
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.587,0.36,1.00,0.582,0.039,0.37
112-2,1.00,0.587,0.30,1.00,0.580,0.039,0.36
112-3,1.00,0.587,0.36,1.00,0.582,0.039,0.37
113-1,1.00,0.587,0.30,1.00,0.580,0.039,0.36
113-2,1.00,0.656,0.94,1.00,0.660,0.046,0.96
113-3,0.71,0.508,0.45,0.71,0.499,0.061,0.45
114-1,1.00,0.352,0.92,1.00,0.350,0.060,0.91
115-1,1.00,0.373,0.17,1.00,0.375,0.056,0.17
116-1,0.67,0.408,0.02,0.67,0.417,0.065,0.18
116-2,0.38,0.413,0.02,0.38,0.431,0.081,0.16
117-1,1.00,0.552,0.04,1.00,0.542,0.038,0.04
117-2,0.10,0.324,1.00,0.10,0.322,0.245,1.00
119-1,1.00,0.474,0.75,1.00,0.451,0.058,0.70
120-1,1.00,0.331,0.93,1.00,0.334,0.054,0.94
120-2,1.00,0.559,0.73,1.00,0.557,0.036,0.70
120-3,1.00,0.608,0.64,1.00,0.601,0.025,0.56
121-1,0.76,0.335,0.60,0.76,0.345,0.080,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.76,0.335,0.02,0.76,0.345,0.080,0.02
122-1,0.33,0.416,0.75,0.33,0.427,0.082,0.90
124-1,1.00,0.527,0.18,1.00,0.523,0.040,0.19
124-2,1.00,0.451,0.15,1.00,0.456,0.048,0.15
124-3,1.00,0.527,0.18,1.00,0.523,0.040,0.19
125-1,1.00,0.342,0.90,1.00,0.345,0.060,0.90
125-2,0.81,0.412,0.28,0.81,0.416,0.070,0.28
125-3,1.00,0.573,0.33,1.00,0.562,0.039,0.35
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.62,0.608,0.20,0.62,0.609,0.042,0.23
127-2,0.71,0.522,0.66,0.71,0.507,0.050,0.59
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.33,0.678,0.25,0.33,0.666,0.035,0.22
129-1,0.86,0.575,0.51,0.86,0.566,0.035,0.52
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.86,0.575,0.51,0.86,0.566,0.035,0.52
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.48,0.492,1.00,0.48,0.506,0.080,1.00
131-2,0.43,0.452,1.00,0.43,0.469,0.077,1.00
131-3,0.71,0.482,0.01,0.71,0.489,0.060,0.02
132-1,1.00,0.539,0.48,1.00,0.521,0.051,0.49
132-2,1.00,0.539,0.48,1.00,0.521,0.051,0.49
65-1,0.76,0.638,0.09,0.76,0.604,0.036,0.09
65-2,0.67,0.615,0.11,0.67,0.601,0.036,0.09
65-3,0.76,0.642,0.11,0.76,0.616,0.034,0.08
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.397,0.13,1.00,0.392,0.060,0.19
69-2,0.95,0.432,0.50,0.95,0.425,0.055,0.49
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.86,0.554,0.22,0.86,0.551,0.022,0.23
70-3,0.86,0.587,0.19,0.86,0.587,0.025,0.19
72-1,0.76,0.300,0.01,0.76,0.312,0.085,0.01
72-2,0.76,0.300,0.01,0.76,0.312,0.085,0.01
73-1,1.00,0.439,0.70,1.00,0.442,0.057,0.71
73-2,0.95,0.427,0.70,0.95,0.430,0.058,0.71
73-3,0.90,0.575,0.88,0.90,0.573,0.040,0.90
74-1,0.71,0.371,0.09,0.71,0.378,0.069,0.18
74-2,0.81,0.460,0.09,0.81,0.443,0.058,0.30
75-1,1.00,0.391,0.13,1.00,0.387,0.059,0.24
75-2,0.95,0.399,0.65,0.95,0.392,0.058,0.63
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
