ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.90,4.505,0.55,0.91,4.508,0.900,0.60
BLAST-S14,0.81,4.840,0.56,0.81,4.806,0.961,0.63
Naive-S11,1.00,5.246,0.28,1.00,5.182,0.944,0.39
Naive-S14,1.00,4.942,0.22,1.00,4.858,0.894,0.28
101-1,0.81,3.953,0.38,0.81,3.429,0.767,0.29
101-2,0.19,3.630,0.80,0.19,3.565,1.832,0.74
101-3,0.81,2.213,0.20,0.81,2.318,0.724,0.34
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.57,2.576,0.18,0.57,2.585,0.642,0.17
103-2,0.76,2.353,0.18,0.76,2.333,0.475,0.18
103-3,0.57,2.850,0.17,0.57,2.896,0.957,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.90,3.953,0.93,0.90,3.799,0.878,0.93
105-2,0.86,3.359,1.00,0.86,3.474,1.010,1.00
105-3,0.90,4.642,1.00,0.90,4.781,1.228,1.00
106-1,0.67,3.320,0.07,0.67,3.324,1.371,0.08
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.38,1.395,0.07,0.38,1.433,1.052,0.09
107-1,0.95,4.059,0.75,0.95,4.198,1.045,0.79
107-2,0.95,3.022,0.05,0.95,2.991,0.706,0.06
107-3,0.95,3.820,0.04,0.95,3.781,1.052,0.04
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,4.047,0.77,0.95,4.008,0.954,0.81
110-2,0.81,5.064,0.75,0.81,4.980,0.908,0.72
110-3,1.00,8.285,1.00,1.00,8.325,0.771,1.00
111-1,0.95,4.047,0.77,0.95,4.008,0.954,0.81
111-2,1.00,8.285,1.00,1.00,8.325,0.771,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,4.177,0.74,1.00,4.196,0.743,0.78
112-2,1.00,4.181,0.81,1.00,4.215,0.741,0.81
112-3,1.00,4.177,0.74,1.00,4.196,0.743,0.78
113-1,1.00,4.181,0.81,1.00,4.215,0.741,0.81
113-2,1.00,8.285,1.00,1.00,8.325,0.771,1.00
113-3,0.71,2.893,0.86,0.71,2.758,0.724,0.85
114-1,1.00,2.890,0.93,1.00,2.891,0.903,0.93
115-1,1.00,2.975,0.25,1.00,3.003,0.773,0.25
116-1,0.67,3.409,0.71,0.67,3.355,1.162,0.56
116-2,0.38,3.058,0.31,0.38,3.041,1.139,0.33
117-1,1.00,4.814,0.09,1.00,4.791,0.932,0.09
117-2,0.10,5.183,1.00,0.10,5.156,3.920,1.00
119-1,1.00,3.601,0.77,1.00,3.710,0.910,0.77
120-1,1.00,2.712,0.93,1.00,2.720,0.760,0.94
120-2,1.00,4.706,0.79,1.00,4.666,1.056,0.79
120-3,1.00,4.943,0.78,1.00,4.911,1.014,0.76
121-1,0.76,2.304,0.60,0.76,2.346,0.797,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.76,2.304,0.02,0.76,2.346,0.797,0.02
122-1,0.33,2.516,1.00,0.33,2.576,1.243,1.00
124-1,1.00,4.632,0.21,1.00,4.419,0.754,0.28
124-2,1.00,4.169,0.15,1.00,4.208,0.913,0.15
124-3,1.00,4.632,0.21,1.00,4.419,0.754,0.28
125-1,1.00,2.887,0.89,1.00,2.866,0.885,0.91
125-2,0.81,3.294,0.32,0.81,3.009,0.792,0.39
125-3,1.00,4.035,0.48,1.00,4.038,0.886,0.48
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.62,4.057,0.43,0.62,4.058,0.957,0.47
127-2,0.71,3.978,0.66,0.71,3.782,0.830,0.76
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.33,5.559,0.67,0.33,5.632,1.923,0.76
129-1,0.86,4.606,0.63,0.86,4.440,0.772,0.59
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.86,4.606,0.63,0.86,4.440,0.772,0.59
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.48,3.405,1.00,0.48,3.449,1.100,1.00
131-2,0.43,3.080,1.00,0.43,3.145,1.157,1.00
131-3,0.71,3.647,0.08,0.71,3.641,1.242,0.09
