ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.90,0.259,0.36,0.91,0.288,0.068,0.35
BLAST-S14,0.81,0.243,0.36,0.81,0.264,0.055,0.33
Naive-S11,1.00,0.396,0.17,1.00,0.400,0.029,0.17
Naive-S14,1.00,0.420,0.22,1.00,0.423,0.043,0.21
101-1,0.81,0.661,0.01,0.81,0.659,0.078,0.13
101-2,0.19,0.370,0.30,0.19,0.331,0.107,0.44
101-3,0.81,0.694,0.20,0.81,0.692,0.073,0.26
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.57,0.598,0.15,0.57,0.618,0.072,0.13
103-2,0.76,0.591,0.03,0.76,0.615,0.058,0.07
103-3,0.57,0.589,0.17,0.57,0.584,0.097,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.90,0.568,0.92,0.90,0.596,0.069,0.67
105-2,0.86,0.617,1.00,0.86,0.630,0.077,0.97
105-3,0.90,0.600,1.00,0.90,0.606,0.070,0.99
106-1,0.67,0.689,0.07,0.67,0.686,0.096,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.38,0.824,0.07,0.38,0.821,0.100,0.09
107-1,0.95,0.558,0.70,0.95,0.573,0.066,0.72
107-2,0.95,0.603,0.02,0.95,0.607,0.065,0.03
107-3,0.95,0.566,0.02,0.95,0.562,0.075,0.02
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.517,0.45,0.95,0.511,0.067,0.40
110-2,0.81,0.341,0.34,0.81,0.349,0.051,0.38
110-3,1.00,0.211,0.02,1.00,0.242,0.056,0.48
111-1,0.95,0.517,0.45,0.95,0.511,0.067,0.40
111-2,1.00,0.211,0.02,1.00,0.242,0.056,0.48
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.376,0.36,1.00,0.382,0.064,0.35
112-2,1.00,0.398,0.31,1.00,0.400,0.062,0.32
112-3,1.00,0.376,0.36,1.00,0.382,0.064,0.35
113-1,1.00,0.398,0.31,1.00,0.400,0.062,0.32
113-2,1.00,0.211,0.02,1.00,0.242,0.056,0.48
113-3,0.71,0.543,0.45,0.71,0.554,0.078,0.37
114-1,1.00,0.677,0.93,1.00,0.678,0.067,0.94
115-1,1.00,0.649,0.19,1.00,0.650,0.063,0.18
116-1,0.67,0.580,0.02,0.67,0.580,0.086,0.23
116-2,0.38,0.617,0.02,0.38,0.610,0.104,0.15
117-1,1.00,0.481,0.03,1.00,0.498,0.051,0.04
117-2,0.10,0.807,1.00,0.10,0.781,0.182,1.00
119-1,1.00,0.560,0.77,1.00,0.576,0.074,0.70
120-1,1.00,0.687,0.93,1.00,0.689,0.060,0.93
120-2,1.00,0.389,0.77,1.00,0.392,0.063,0.76
120-3,1.00,0.306,0.64,1.00,0.313,0.055,0.64
121-1,0.76,0.681,0.60,0.76,0.677,0.086,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.76,0.681,0.02,0.76,0.677,0.086,0.02
122-1,0.33,0.580,1.00,0.33,0.576,0.122,1.00
124-1,1.00,0.483,0.17,1.00,0.483,0.060,0.17
124-2,1.00,0.515,0.15,1.00,0.513,0.071,0.15
124-3,1.00,0.483,0.17,1.00,0.483,0.060,0.17
125-1,1.00,0.677,0.93,1.00,0.678,0.067,0.93
125-2,0.81,0.630,0.28,0.81,0.628,0.078,0.30
125-3,1.00,0.415,0.33,1.00,0.447,0.060,0.34
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.62,0.370,0.20,0.62,0.364,0.083,0.25
127-2,0.71,0.498,0.50,0.71,0.502,0.073,0.53
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.33,0.257,0.01,0.33,0.264,0.105,0.15
129-1,0.86,0.327,0.48,0.86,0.344,0.061,0.51
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.86,0.327,0.48,0.86,0.344,0.061,0.51
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.48,0.517,1.00,0.48,0.509,0.108,1.00
131-2,0.43,0.567,1.00,0.43,0.559,0.106,1.00
131-3,0.71,0.532,0.02,0.71,0.534,0.075,0.07
132-1,1.00,0.433,0.44,1.00,0.447,0.073,0.46
132-2,1.00,0.433,0.44,1.00,0.447,0.073,0.46
65-1,0.76,0.395,0.07,0.76,0.412,0.057,0.07
65-2,0.67,0.350,0.03,0.67,0.388,0.075,0.07
65-3,0.76,0.338,0.05,0.76,0.363,0.065,0.07
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.599,0.08,1.00,0.607,0.068,0.12
69-2,0.95,0.565,0.53,0.95,0.571,0.072,0.56
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.86,0.394,0.22,0.86,0.403,0.040,0.21
70-3,0.86,0.325,0.12,0.86,0.334,0.033,0.14
72-1,0.76,0.687,0.01,0.76,0.684,0.093,0.01
72-2,0.76,0.687,0.01,0.76,0.684,0.093,0.01
73-1,1.00,0.559,0.70,1.00,0.567,0.068,0.73
73-2,0.95,0.587,0.70,0.95,0.593,0.067,0.74
73-3,0.90,0.412,0.88,0.90,0.421,0.059,0.85
74-1,0.71,0.630,0.30,0.71,0.636,0.082,0.24
74-2,0.81,0.601,0.06,0.81,0.605,0.067,0.21
75-1,1.00,0.610,0.13,1.00,0.625,0.065,0.32
75-2,0.95,0.635,0.65,0.95,0.638,0.066,0.67
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.71,0.630,0.34,0.71,0.645,0.081,0.38
80-2,0.90,0.610,0.06,0.91,0.610,0.064,0.17
81-1,1.00,0.344,0.50,1.00,0.341,0.085,0.54
81-2,1.00,0.344,0.50,1.00,0.341,0.085,0.54
82-1,0.43,0.360,0.53,0.43,0.364,0.117,0.68
83-1,1.00,0.550,0.10,1.00,0.569,0.068,0.12
83-2,1.00,0.543,0.08,1.00,0.562,0.078,0.10
84-1,1.00,0.602,0.26,1.00,0.606,0.071,0.27
85-1,0.48,0.470,0.12,0.48,0.482,0.112,0.17
85-2,0.48,0.470,0.12,0.48,0.482,0.112,0.17
86-1,0.95,0.427,0.46,0.95,0.433,0.058,0.54
86-2,0.95,0.427,0.46,0.95,0.433,0.058,0.54
86-3,0.90,0.394,0.32,0.90,0.397,0.061,0.34
87-1,0.62,0.699,0.22,0.62,0.694,0.098,0.22
87-2,0.62,0.699,0.14,0.62,0.694,0.098,0.14
87-3,0.62,0.674,0.25,0.62,0.670,0.095,0.25
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.76,0.265,1.00,0.76,0.261,0.080,1.00
93-2,0.86,0.228,1.00,0.86,0.224,0.073,1.00
94-1,0.86,0.578,0.31,0.86,0.580,0.071,0.38
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
