ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.335,0.45,0.99,0.337,0.014,0.44
BLAST-S14,0.99,0.352,0.49,0.99,0.353,0.014,0.49
Naive-S11,1.00,0.417,0.28,1.00,0.418,0.014,0.39
Naive-S14,1.00,0.427,0.32,1.00,0.426,0.014,0.33
101-1,0.96,0.391,0.36,0.96,0.391,0.015,0.36
101-2,0.17,0.141,0.02,0.17,0.141,0.018,0.04
101-3,0.96,0.402,0.13,0.96,0.404,0.015,0.10
102-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
102-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
103-3,0.66,0.328,0.17,0.66,0.328,0.017,0.17
104-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
104-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
105-1,1.00,0.377,0.91,1.00,0.379,0.015,0.91
105-2,1.00,0.398,0.97,1.00,0.398,0.016,0.97
105-3,1.00,0.387,0.99,1.00,0.389,0.015,0.99
106-1,0.40,0.209,0.03,0.40,0.208,0.018,0.03
106-2,0.00,0.006,0.00,0.00,0.006,0.000,0.00
106-3,0.31,0.182,0.03,0.31,0.182,0.018,0.03
107-1,1.00,0.333,1.00,1.00,0.336,0.014,0.86
107-2,1.00,0.386,0.02,1.00,0.385,0.015,0.02
107-3,0.00,0.006,0.00,0.00,0.006,0.000,0.00
108-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
109-1,0.00,0.006,0.00,0.00,0.006,0.000,0.00
110-1,1.00,0.415,0.26,1.00,0.415,0.016,0.27
110-2,0.95,0.348,0.53,0.95,0.350,0.014,0.47
110-3,1.00,0.271,0.29,1.00,0.273,0.011,0.53
111-1,0.92,0.374,0.24,0.92,0.374,0.016,0.19
111-2,0.99,0.269,0.64,0.99,0.272,0.012,0.52
111-3,0.13,0.079,0.01,0.13,0.078,0.014,0.01
112-1,0.99,0.360,0.42,1.00,0.362,0.013,0.40
112-2,0.99,0.357,0.44,1.00,0.360,0.014,0.42
112-3,0.99,0.357,0.36,1.00,0.360,0.013,0.39
113-1,0.99,0.355,0.36,1.00,0.357,0.013,0.39
113-2,0.90,0.256,0.65,0.90,0.258,0.012,0.79
113-3,0.14,0.089,0.01,0.14,0.089,0.015,0.01
114-1,1.00,0.412,0.91,1.00,0.414,0.015,0.93
115-1,1.00,0.418,0.19,1.00,0.418,0.015,0.19
116-1,0.59,0.262,0.18,0.59,0.261,0.018,0.19
116-2,0.37,0.146,0.18,0.37,0.145,0.016,0.19
117-1,1.00,0.378,0.12,1.00,0.378,0.015,0.12
