ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.266,0.45,0.99,0.268,0.014,0.46
BLAST-S14,0.99,0.274,0.49,0.99,0.275,0.014,0.50
Naive-S11,1.00,0.311,0.28,1.00,0.313,0.012,0.29
Naive-S14,1.00,0.311,0.29,1.00,0.310,0.011,0.29
101-1,0.96,0.328,0.36,0.96,0.328,0.015,0.36
101-2,0.17,0.129,0.02,0.17,0.129,0.016,0.04
101-3,0.96,0.361,0.08,0.96,0.363,0.015,0.11
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.66,0.291,0.17,0.66,0.291,0.016,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.329,0.92,1.00,0.329,0.015,0.92
105-2,1.00,0.349,0.98,1.00,0.350,0.015,0.98
105-3,1.00,0.339,1.00,1.00,0.339,0.016,1.00
106-1,0.40,0.190,0.03,0.40,0.190,0.017,0.03
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.31,0.167,0.03,0.31,0.167,0.017,0.03
107-1,1.00,0.257,1.00,1.00,0.258,0.015,0.91
107-2,1.00,0.329,0.03,1.00,0.332,0.015,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.265,0.26,1.00,0.265,0.013,0.26
110-2,0.95,0.273,0.53,0.95,0.273,0.014,0.53
110-3,1.00,0.178,0.29,1.00,0.178,0.012,0.29
111-1,0.92,0.253,0.01,0.92,0.253,0.013,0.04
111-2,0.99,0.165,0.61,0.99,0.170,0.010,0.49
111-3,0.13,0.058,0.01,0.13,0.058,0.012,0.01
112-1,0.99,0.270,0.46,1.00,0.273,0.013,0.50
112-2,0.99,0.272,0.53,1.00,0.275,0.013,0.50
112-3,0.99,0.261,0.45,1.00,0.263,0.013,0.46
113-1,0.99,0.263,0.44,1.00,0.264,0.013,0.46
113-2,0.90,0.121,0.65,0.90,0.122,0.009,0.70
113-3,0.14,0.068,0.01,0.14,0.067,0.012,0.01
114-1,1.00,0.356,0.95,1.00,0.358,0.015,0.96
115-1,1.00,0.364,0.20,1.00,0.365,0.014,0.22
116-1,0.59,0.248,0.18,0.59,0.247,0.017,0.19
116-2,0.37,0.147,0.18,0.37,0.147,0.016,0.20
117-1,1.00,0.311,0.12,1.00,0.310,0.013,0.12
117-2,0.12,0.049,1.00,0.12,0.049,0.010,1.00
119-1,0.98,0.322,0.77,0.98,0.326,0.014,0.74
120-1,1.00,0.358,0.99,1.00,0.359,0.015,0.98
120-2,1.00,0.366,0.70,1.00,0.368,0.014,0.71
120-3,0.99,0.346,0.63,0.99,0.348,0.015,0.62
121-1,0.72,0.321,0.60,0.72,0.321,0.017,0.60
121-2,0.03,0.026,0.72,0.03,0.026,0.009,0.72
121-3,0.77,0.319,0.01,0.77,0.319,0.016,0.01
122-1,0.67,0.267,0.69,0.67,0.267,0.016,0.71
124-1,1.00,0.263,0.44,1.00,0.267,0.011,0.41
124-2,1.00,0.249,0.33,1.00,0.253,0.007,0.24
124-3,1.00,0.263,0.33,1.00,0.264,0.010,0.34
125-1,0.99,0.355,0.98,0.99,0.357,0.015,0.95
125-2,0.99,0.313,0.36,0.99,0.317,0.014,0.35
125-3,1.00,0.270,0.43,1.00,0.273,0.014,0.43
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.99,0.338,0.50,0.99,0.339,0.014,0.50
127-2,0.98,0.352,0.63,0.98,0.352,0.014,0.63
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.52,0.116,0.01,0.52,0.119,0.010,0.04
129-1,0.99,0.346,0.61,0.99,0.347,0.015,0.60
129-2,0.83,0.319,0.61,0.83,0.321,0.015,0.59
129-3,0.99,0.346,0.60,0.99,0.348,0.014,0.60
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.87,0.332,0.07,0.88,0.334,0.015,0.08
131-2,0.90,0.344,0.02,0.90,0.344,0.015,0.03
131-3,0.99,0.323,0.04,0.99,0.326,0.014,0.05
132-1,0.99,0.263,0.48,1.00,0.265,0.013,0.52
132-2,0.99,0.252,0.48,1.00,0.253,0.012,0.50
65-1,0.95,0.265,0.19,0.95,0.266,0.012,0.19
65-2,0.95,0.255,0.11,0.95,0.255,0.012,0.11
65-3,0.95,0.259,0.13,0.95,0.259,0.012,0.13
68-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
68-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-2,1.00,0.337,0.20,1.00,0.339,0.014,0.22
70-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
70-2,1.00,0.348,0.27,1.00,0.349,0.013,0.28
70-3,1.00,0.355,0.31,1.00,0.355,0.015,0.31
72-1,0.98,0.351,0.01,0.98,0.351,0.014,0.01
72-2,0.97,0.365,0.01,0.97,0.365,0.015,0.01
