ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.267,0.45,0.99,0.268,0.014,0.46
BLAST-S14,0.99,0.274,0.49,0.99,0.276,0.014,0.50
Naive-S11,1.00,0.311,0.28,1.00,0.313,0.012,0.29
Naive-S14,1.00,0.311,0.29,1.00,0.310,0.011,0.29
101-1,0.96,0.333,0.36,0.96,0.333,0.015,0.36
101-2,0.17,0.391,0.10,0.17,0.392,0.037,0.10
101-3,0.96,0.369,0.13,0.96,0.371,0.015,0.12
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.66,0.367,0.17,0.66,0.367,0.019,0.20
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.329,0.92,1.00,0.329,0.015,0.92
105-2,1.00,0.349,0.98,1.00,0.350,0.015,0.98
105-3,1.00,0.339,1.00,1.00,0.339,0.016,1.00
106-1,0.40,0.344,0.03,0.40,0.343,0.026,0.03
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.364,0.03,0.31,0.363,0.029,0.03
107-1,1.00,0.257,1.00,1.00,0.258,0.015,0.91
107-2,1.00,0.329,0.03,1.00,0.332,0.015,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.265,0.26,1.00,0.265,0.013,0.26
110-2,0.95,0.279,0.53,0.95,0.279,0.015,0.54
110-3,1.00,0.178,0.29,1.00,0.178,0.012,0.29
111-1,0.92,0.267,0.01,0.92,0.267,0.013,0.06
111-2,0.99,0.165,0.61,0.99,0.170,0.011,0.49
111-3,0.13,0.241,0.01,0.13,0.237,0.036,0.03
112-1,0.99,0.270,0.46,1.00,0.274,0.013,0.50
112-2,0.99,0.273,0.53,1.00,0.276,0.013,0.50
112-3,0.99,0.262,0.45,1.00,0.263,0.013,0.46
113-1,0.99,0.263,0.44,1.00,0.264,0.013,0.46
113-2,0.90,0.124,0.65,0.90,0.125,0.010,0.72
113-3,0.14,0.250,0.01,0.14,0.247,0.036,0.04
114-1,1.00,0.356,0.95,1.00,0.358,0.015,0.96
115-1,1.00,0.364,0.20,1.00,0.365,0.014,0.22
116-1,0.59,0.342,0.18,0.59,0.342,0.020,0.19
116-2,0.37,0.302,0.18,0.37,0.302,0.026,0.21
117-1,1.00,0.311,0.12,1.00,0.310,0.013,0.12
117-2,0.12,0.195,1.00,0.12,0.194,0.039,1.00
119-1,0.98,0.324,0.77,0.98,0.328,0.014,0.74
120-1,1.00,0.358,0.99,1.00,0.359,0.015,0.98
120-2,1.00,0.366,0.70,1.00,0.368,0.014,0.71
120-3,0.99,0.348,0.63,0.99,0.351,0.015,0.63
121-1,0.72,0.387,0.60,0.72,0.386,0.019,0.60
121-2,0.03,0.491,0.72,0.03,0.488,0.094,0.75
121-3,0.77,0.365,0.02,0.77,0.366,0.017,0.02
122-1,0.67,0.337,0.72,0.67,0.337,0.019,0.71
124-1,1.00,0.264,0.44,1.00,0.267,0.011,0.41
124-2,1.00,0.250,0.33,1.00,0.253,0.007,0.24
124-3,1.00,0.263,0.33,1.00,0.264,0.010,0.34
125-1,0.99,0.357,0.98,0.99,0.359,0.015,0.95
125-2,0.99,0.314,0.36,0.99,0.319,0.014,0.35
125-3,1.00,0.270,0.43,1.00,0.273,0.014,0.43
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.99,0.338,0.50,0.99,0.340,0.014,0.50
127-2,0.98,0.355,0.63,0.98,0.355,0.014,0.64
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.52,0.130,0.09,0.52,0.135,0.012,0.09
129-1,0.99,0.347,0.61,0.99,0.348,0.015,0.60
129-2,0.83,0.353,0.61,0.83,0.354,0.016,0.60
129-3,0.99,0.347,0.60,0.99,0.349,0.015,0.60
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.87,0.354,0.12,0.88,0.358,0.016,0.09
131-2,0.90,0.362,0.02,0.90,0.363,0.016,0.03
131-3,0.99,0.324,0.04,0.99,0.327,0.014,0.05
132-1,0.99,0.263,0.48,1.00,0.266,0.013,0.52
132-2,0.99,0.252,0.48,1.00,0.253,0.012,0.50
65-1,0.95,0.269,0.19,0.95,0.270,0.013,0.19
65-2,0.95,0.259,0.11,0.95,0.259,0.012,0.11
65-3,0.95,0.263,0.13,0.95,0.263,0.012,0.13
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
