ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.649,0.43,0.98,0.648,0.004,0.43
BLAST-S14,0.99,0.644,0.45,0.99,0.644,0.004,0.45
Naive-S11,1.00,0.588,0.28,1.00,0.588,0.003,0.28
Naive-S14,1.00,0.588,0.29,1.00,0.588,0.003,0.29
101-1,0.90,0.622,0.36,0.90,0.622,0.005,0.36
101-2,0.19,0.878,0.01,0.19,0.878,0.009,0.01
101-3,0.90,0.597,0.15,0.90,0.597,0.005,0.16
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.51,0.716,0.17,0.51,0.716,0.009,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,0.99,0.630,0.92,0.99,0.630,0.004,0.92
105-2,0.98,0.609,0.99,0.98,0.607,0.005,0.99
105-3,0.98,0.626,1.00,0.98,0.626,0.006,1.00
106-1,0.32,0.827,0.02,0.32,0.827,0.009,0.02
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.21,0.878,0.02,0.21,0.878,0.008,0.02
107-1,1.00,0.639,0.78,1.00,0.638,0.004,0.80
107-2,1.00,0.597,0.03,1.00,0.597,0.005,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.705,0.03,1.00,0.705,0.006,0.07
110-2,0.93,0.634,0.52,0.93,0.634,0.004,0.53
110-3,1.00,0.683,1.00,1.00,0.683,0.004,0.99
111-1,0.94,0.693,0.01,0.94,0.693,0.006,0.01
111-2,0.99,0.670,1.00,0.99,0.670,0.003,0.96
111-3,0.11,0.928,0.01,0.11,0.928,0.007,0.01
112-1,0.99,0.628,0.56,0.99,0.628,0.004,0.56
112-2,0.99,0.628,0.55,0.99,0.628,0.004,0.55
112-3,0.96,0.630,0.56,0.96,0.630,0.004,0.56
113-1,0.96,0.630,0.55,0.96,0.629,0.004,0.54
113-2,0.82,0.684,1.00,0.82,0.684,0.003,0.99
113-3,0.11,0.924,0.01,0.11,0.924,0.007,0.01
114-1,1.00,0.579,0.94,1.00,0.579,0.006,0.94
115-1,1.00,0.578,0.30,1.00,0.577,0.006,0.31
116-1,0.70,0.668,0.01,0.70,0.668,0.008,0.05
116-2,0.51,0.769,0.01,0.51,0.769,0.009,0.06
117-1,1.00,0.621,0.12,1.00,0.620,0.005,0.12
117-2,0.11,0.924,1.00,0.11,0.924,0.007,1.00
119-1,0.94,0.608,0.66,0.94,0.608,0.005,0.68
120-1,1.00,0.581,0.97,1.00,0.581,0.006,0.97
120-2,1.00,0.572,0.73,1.00,0.572,0.005,0.73
120-3,1.00,0.583,0.57,1.00,0.583,0.005,0.58
121-1,0.67,0.660,0.38,0.67,0.660,0.008,0.46
121-2,0.02,0.992,0.44,0.02,0.992,0.002,0.52
