ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,4.796,0.95,0.98,4.788,0.129,0.93
BLAST-S14,0.99,4.764,0.95,0.99,4.751,0.126,0.94
Naive-S11,1.00,4.290,0.32,1.00,4.289,0.123,0.32
Naive-S14,1.00,4.356,0.48,1.00,4.356,0.125,0.48
101-1,0.90,4.739,0.44,0.90,4.739,0.125,0.44
101-2,0.19,4.710,0.20,0.19,4.709,0.127,0.21
101-3,0.90,4.458,1.00,0.90,4.452,0.117,0.97
102-1,0.00,4.840,1.00,0.00,4.839,0.131,1.00
102-2,0.00,4.840,1.00,0.00,4.839,0.131,1.00
102-3,0.00,4.840,1.00,0.00,4.839,0.131,1.00
103-1,0.00,4.840,1.00,0.00,4.839,0.131,1.00
103-2,0.00,4.840,1.00,0.00,4.839,0.131,1.00
103-3,0.51,4.417,0.33,0.51,4.417,0.122,0.33
104-1,0.00,4.840,1.00,0.00,4.839,0.131,1.00
104-2,0.00,4.840,1.00,0.00,4.839,0.131,1.00
104-3,0.00,4.840,1.00,0.00,4.839,0.131,1.00
105-1,0.99,4.675,0.95,0.99,4.675,0.127,0.95
105-2,0.98,10.437,1.00,0.98,10.432,0.783,1.00
105-3,0.98,15.740,1.00,0.98,15.737,0.915,1.00
106-1,0.32,4.697,0.20,0.32,4.689,0.124,0.23
106-2,0.00,4.840,1.00,0.00,4.839,0.131,1.00
106-3,0.21,4.698,0.20,0.21,4.697,0.125,0.20
107-1,1.00,15.171,1.00,1.00,15.176,0.782,1.00
107-2,1.00,4.585,0.10,1.00,4.583,0.120,0.11
107-3,0.00,4.840,1.00,0.00,4.839,0.131,1.00
108-1,0.00,4.840,1.00,0.00,4.839,0.131,1.00
109-1,0.00,4.840,1.00,0.00,4.839,0.131,1.00
110-1,1.00,4.398,0.28,1.00,4.400,0.128,0.28
110-2,0.93,4.722,1.00,0.93,4.723,0.122,1.00
110-3,1.00,9.600,1.00,1.00,9.603,0.177,1.00
111-1,0.94,4.507,0.29,0.94,4.509,0.132,0.30
111-2,0.99,8.625,1.00,0.99,8.627,0.178,1.00
111-3,0.11,4.745,0.38,0.11,4.744,0.127,0.41
112-1,0.99,4.837,1.00,0.99,4.839,0.121,1.00
112-2,0.99,4.838,1.00,0.99,4.839,0.121,1.00
112-3,0.96,4.812,1.00,0.96,4.812,0.124,0.99
113-1,0.96,4.813,1.00,0.96,4.812,0.124,0.99
113-2,0.82,9.384,1.00,0.82,9.386,0.168,1.00
113-3,0.11,4.758,0.66,0.11,4.753,0.127,0.64
