ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.294,0.41,0.98,0.296,0.009,0.40
BLAST-S14,0.99,0.313,0.45,0.99,0.314,0.010,0.44
Naive-S11,1.00,0.431,0.28,1.00,0.431,0.009,0.28
Naive-S14,1.00,0.441,0.32,1.00,0.441,0.009,0.32
101-1,0.90,0.387,0.36,0.90,0.387,0.010,0.36
101-2,0.19,0.347,0.10,0.19,0.347,0.022,0.11
101-3,0.90,0.389,0.11,0.90,0.390,0.010,0.10
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.395,0.17,0.51,0.395,0.015,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.341,0.87,0.99,0.343,0.010,0.88
105-2,0.98,0.378,0.98,0.98,0.378,0.010,0.98
105-3,0.98,0.371,0.99,0.98,0.372,0.010,0.99
106-1,0.32,0.347,0.11,0.32,0.349,0.018,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.366,0.03,0.21,0.369,0.021,0.09
107-1,1.00,0.324,0.72,1.00,0.324,0.010,0.73
107-2,1.00,0.370,0.02,1.00,0.370,0.010,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.419,0.28,1.00,0.419,0.010,0.28
110-2,0.93,0.369,0.37,0.93,0.371,0.010,0.34
110-3,1.00,0.311,0.29,1.00,0.311,0.009,0.29
111-1,0.94,0.405,0.28,0.94,0.404,0.011,0.28
111-2,0.99,0.311,0.29,0.99,0.311,0.009,0.29
111-3,0.11,0.414,0.01,0.11,0.413,0.029,0.01
112-1,0.99,0.356,0.45,0.99,0.357,0.010,0.45
112-2,0.99,0.357,0.45,0.99,0.357,0.010,0.45
112-3,0.96,0.355,0.45,0.96,0.356,0.010,0.46
113-1,0.96,0.356,0.45,0.96,0.356,0.010,0.45
113-2,0.82,0.276,0.62,0.82,0.277,0.009,0.63
113-3,0.11,0.407,0.01,0.11,0.406,0.028,0.03
114-1,1.00,0.398,0.84,1.00,0.399,0.010,0.85
115-1,1.00,0.396,0.23,1.00,0.396,0.010,0.23
116-1,0.70,0.352,0.09,0.70,0.352,0.013,0.13
116-2,0.51,0.322,0.09,0.51,0.322,0.015,0.12
117-1,1.00,0.370,0.12,1.00,0.371,0.010,0.12
117-2,0.11,0.300,1.00,0.11,0.300,0.028,1.00
119-1,0.94,0.373,0.66,0.94,0.374,0.010,0.67
120-1,1.00,0.396,0.94,1.00,0.396,0.010,0.94
120-2,1.00,0.411,0.70,1.00,0.412,0.010,0.70
120-3,1.00,0.390,0.55,1.00,0.392,0.010,0.53
121-1,0.67,0.387,0.60,0.67,0.387,0.013,0.60
121-2,0.02,0.385,0.72,0.02,0.381,0.067,0.72
121-3,0.68,0.390,0.01,0.68,0.390,0.013,0.01
122-1,0.56,0.389,0.69,0.56,0.389,0.014,0.69
124-1,1.00,0.387,0.33,1.00,0.387,0.009,0.35
124-2,1.00,0.392,0.31,1.00,0.392,0.009,0.32
124-3,1.00,0.392,0.33,1.00,0.392,0.009,0.33
125-1,0.99,0.397,0.84,0.99,0.398,0.010,0.84
125-2,0.94,0.371,0.29,0.94,0.371,0.010,0.28
125-3,0.99,0.320,0.31,0.99,0.322,0.010,0.32
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.91,0.391,0.52,0.91,0.393,0.010,0.51
127-2,0.89,0.397,0.66,0.89,0.398,0.010,0.66
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.44,0.245,0.01,0.44,0.250,0.011,0.05
129-1,0.98,0.411,0.56,0.98,0.413,0.010,0.56
129-2,0.51,0.432,0.60,0.51,0.433,0.014,0.59
129-3,0.98,0.410,0.55,0.98,0.412,0.010,0.56
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.80,0.378,0.04,0.80,0.378,0.012,0.04
131-2,0.83,0.388,0.03,0.83,0.388,0.012,0.03
131-3,0.98,0.365,0.05,0.98,0.365,0.009,0.05
132-1,0.99,0.352,0.43,0.99,0.352,0.009,0.44
132-2,0.96,0.348,0.43,0.96,0.349,0.010,0.46
65-1,0.82,0.302,0.15,0.82,0.306,0.010,0.17
65-2,0.78,0.297,0.11,0.78,0.300,0.010,0.10
65-3,0.82,0.301,0.09,0.82,0.303,0.009,0.10
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,0.387,0.25,1.00,0.388,0.010,0.27
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
