ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.647,0.44,0.98,0.647,0.004,0.43
BLAST-S14,0.99,0.643,0.45,0.99,0.643,0.004,0.45
Naive-S11,1.00,0.588,0.28,1.00,0.588,0.003,0.28
Naive-S14,1.00,0.588,0.29,1.00,0.588,0.003,0.29
101-1,0.90,0.639,0.36,0.90,0.639,0.007,0.36
101-2,0.19,0.604,0.19,0.19,0.604,0.011,0.17
101-3,0.90,0.583,0.30,0.90,0.582,0.006,0.26
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.557,0.17,0.51,0.557,0.008,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.630,0.92,0.99,0.630,0.005,0.92
105-2,0.98,0.607,1.00,0.98,0.607,0.005,1.00
105-3,0.98,0.629,1.00,0.98,0.629,0.006,1.00
106-1,0.32,0.602,0.03,0.32,0.602,0.009,0.04
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.602,0.03,0.21,0.602,0.011,0.05
107-1,1.00,0.639,0.78,1.00,0.638,0.004,0.81
107-2,1.00,0.596,0.03,1.00,0.596,0.005,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.705,0.03,1.00,0.705,0.006,0.07
110-2,0.93,0.630,0.56,0.93,0.630,0.004,0.57
110-3,1.00,0.684,1.00,1.00,0.684,0.004,0.99
111-1,0.94,0.677,0.01,0.94,0.677,0.006,0.01
111-2,0.99,0.670,1.00,0.99,0.670,0.003,0.97
111-3,0.11,0.611,0.36,0.11,0.610,0.015,0.29
