ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.228,0.44,0.98,0.228,0.010,0.44
BLAST-S14,0.99,0.238,0.49,0.99,0.241,0.010,0.49
Naive-S11,1.00,0.323,0.28,1.00,0.323,0.007,0.28
Naive-S14,1.00,0.323,0.29,1.00,0.323,0.007,0.29
101-1,0.90,0.317,0.36,0.90,0.317,0.010,0.36
101-2,0.19,0.291,0.10,0.19,0.291,0.021,0.12
101-3,0.90,0.324,0.18,0.90,0.327,0.010,0.12
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.51,0.357,0.17,0.51,0.357,0.015,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.99,0.278,0.92,0.99,0.280,0.009,0.90
105-2,0.98,0.315,0.98,0.98,0.315,0.010,0.98
105-3,0.98,0.308,1.00,0.98,0.308,0.010,1.00
106-1,0.32,0.285,0.03,0.32,0.286,0.017,0.07
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.285,0.03,0.21,0.286,0.020,0.06
107-1,1.00,0.257,0.77,1.00,0.259,0.010,0.80
107-2,1.00,0.303,0.03,1.00,0.303,0.010,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.258,0.28,1.00,0.258,0.009,0.28
110-2,0.93,0.276,0.33,0.93,0.276,0.009,0.33
110-3,1.00,0.223,0.29,1.00,0.222,0.008,0.29
111-1,0.94,0.268,0.02,0.94,0.268,0.009,0.05
111-2,0.99,0.219,0.29,0.99,0.219,0.008,0.29
111-3,0.11,0.300,0.01,0.11,0.299,0.030,0.01
112-1,0.99,0.247,0.48,0.99,0.247,0.009,0.48
112-2,0.99,0.245,0.48,0.99,0.246,0.009,0.48
112-3,0.96,0.242,0.48,0.96,0.242,0.009,0.49
113-1,0.96,0.240,0.53,0.96,0.242,0.009,0.50
113-2,0.82,0.123,0.68,0.82,0.124,0.006,0.67
113-3,0.11,0.295,0.01,0.11,0.294,0.029,0.02
114-1,1.00,0.332,0.91,1.00,0.334,0.010,0.90
115-1,1.00,0.337,0.23,1.00,0.337,0.010,0.24
116-1,0.70,0.305,0.18,0.70,0.305,0.012,0.18
116-2,0.51,0.283,0.09,0.51,0.283,0.015,0.14
117-1,1.00,0.291,0.12,1.00,0.292,0.009,0.12
117-2,0.11,0.197,1.00,0.11,0.196,0.026,1.00
119-1,0.94,0.318,0.66,0.94,0.319,0.010,0.67
