ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.302,0.64,1.00,0.311,0.028,0.60
BLAST-S14,1.00,0.341,0.62,1.00,0.349,0.029,0.63
Naive-S11,1.00,0.398,0.55,1.00,0.406,0.026,0.65
Naive-S14,1.00,0.398,0.56,1.00,0.406,0.027,0.65
101-1,0.95,0.353,0.36,0.95,0.354,0.029,0.29
101-2,0.17,0.181,0.10,0.17,0.180,0.034,0.13
101-3,0.95,0.451,0.84,0.95,0.460,0.029,0.61
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.58,0.343,0.17,0.57,0.341,0.032,0.18
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.345,0.93,1.00,0.346,0.029,0.92
105-2,0.99,0.378,1.00,0.99,0.377,0.034,1.00
105-3,0.99,0.324,1.00,0.99,0.324,0.032,1.00
106-1,0.48,0.225,0.08,0.48,0.226,0.032,0.13
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.33,0.218,0.07,0.33,0.218,0.032,0.10
107-1,1.00,0.323,1.00,1.00,0.322,0.033,0.93
107-2,1.00,0.367,0.03,1.00,0.372,0.030,0.04
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.314,0.59,0.98,0.321,0.030,0.62
110-2,0.97,0.354,0.78,0.97,0.366,0.029,0.74
110-3,0.98,0.321,0.48,0.98,0.319,0.028,0.46
111-1,0.98,0.299,0.57,0.98,0.305,0.029,0.60
111-2,0.96,0.279,0.48,0.96,0.278,0.028,0.49
111-3,0.11,0.092,0.11,0.11,0.089,0.025,0.21
112-1,1.00,0.413,0.69,1.00,0.418,0.027,0.71
112-2,1.00,0.403,0.68,1.00,0.413,0.027,0.69
112-3,1.00,0.411,0.69,1.00,0.414,0.027,0.68
113-1,1.00,0.399,0.68,1.00,0.410,0.026,0.67
113-2,0.76,0.146,0.97,0.76,0.148,0.021,0.86
113-3,0.98,0.287,0.57,0.98,0.295,0.028,0.58
114-1,1.00,0.389,1.00,1.00,0.395,0.032,0.97
115-1,1.00,0.440,0.28,1.00,0.440,0.029,0.29
116-1,0.58,0.273,0.59,0.58,0.276,0.032,0.41
116-2,0.28,0.197,0.04,0.28,0.195,0.035,0.21
117-1,1.00,0.426,0.13,1.00,0.435,0.022,0.14
117-2,0.18,0.139,1.00,0.18,0.134,0.030,1.00
119-1,0.95,0.391,0.95,0.95,0.390,0.028,0.93
120-1,1.00,0.402,0.98,1.00,0.405,0.032,0.98
120-2,1.00,0.429,0.75,1.00,0.430,0.027,0.75
120-3,0.99,0.340,0.69,0.99,0.346,0.027,0.66
121-1,0.70,0.388,0.60,0.70,0.387,0.034,0.60
121-2,0.08,0.073,0.61,0.08,0.071,0.024,0.70
121-3,0.70,0.391,0.03,0.70,0.391,0.034,0.03
122-1,0.83,0.363,0.69,0.83,0.361,0.031,0.70
