ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.637,0.63,1.00,0.629,0.013,0.56
BLAST-S14,1.00,0.603,0.67,1.00,0.600,0.015,0.65
Naive-S11,1.00,0.585,0.32,1.00,0.586,0.014,0.32
Naive-S14,1.00,0.615,0.48,1.00,0.613,0.010,0.44
101-1,0.95,0.626,0.37,0.95,0.627,0.014,0.37
101-2,0.17,0.460,0.20,0.17,0.454,0.054,0.23
101-3,0.95,0.519,0.62,0.95,0.516,0.021,0.59
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.58,0.542,0.33,0.57,0.535,0.029,0.26
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.609,0.93,1.00,0.611,0.018,0.93
105-2,0.99,0.605,1.00,0.99,0.606,0.025,1.00
105-3,0.99,0.690,1.00,0.99,0.691,0.027,1.00
106-1,0.48,0.576,0.18,0.48,0.576,0.028,0.20
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.33,0.544,0.18,0.33,0.545,0.035,0.17
107-1,1.00,0.623,1.00,1.00,0.625,0.018,0.97
107-2,1.00,0.579,0.04,1.00,0.575,0.019,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.619,0.77,0.98,0.617,0.015,0.72
110-2,0.97,0.575,0.78,0.97,0.573,0.019,0.80
110-3,0.98,0.679,1.00,0.98,0.677,0.015,0.84
111-1,0.98,0.631,0.65,0.98,0.629,0.014,0.68
111-2,0.96,0.657,1.00,0.96,0.658,0.013,0.94
111-3,0.11,0.617,1.00,0.11,0.625,0.049,0.85
112-1,1.00,0.572,0.69,1.00,0.570,0.017,0.68
112-2,1.00,0.573,0.68,1.00,0.572,0.017,0.67
112-3,1.00,0.572,0.68,1.00,0.568,0.017,0.66
113-1,1.00,0.573,0.67,1.00,0.570,0.017,0.65
113-2,0.76,0.763,1.00,0.76,0.764,0.019,1.00
113-3,0.98,0.634,0.65,0.98,0.633,0.014,0.65
114-1,1.00,0.568,1.00,1.00,0.569,0.024,1.00
115-1,1.00,0.563,0.32,1.00,0.557,0.020,0.38
116-1,0.58,0.563,0.61,0.58,0.563,0.027,0.62
116-2,0.28,0.510,0.61,0.28,0.513,0.045,0.53
117-1,1.00,0.581,0.13,1.00,0.575,0.014,0.14
117-2,0.18,0.750,1.00,0.18,0.753,0.061,1.00
119-1,0.95,0.586,0.95,0.95,0.586,0.017,0.94
120-1,1.00,0.569,1.00,1.00,0.570,0.025,1.00
120-2,1.00,0.558,0.75,1.00,0.558,0.018,0.75
120-3,0.99,0.584,0.70,0.99,0.584,0.016,0.68
121-1,0.70,0.515,0.60,0.70,0.516,0.032,0.60
121-2,0.08,0.588,0.61,0.08,0.603,0.092,0.70
121-3,0.70,0.502,0.05,0.70,0.502,0.029,0.05
122-1,0.83,0.601,0.83,0.83,0.601,0.019,0.82
124-1,1.00,0.638,0.42,1.00,0.637,0.010,0.43
124-2,1.00,0.646,0.38,1.00,0.647,0.006,0.38
124-3,1.00,0.636,0.40,1.00,0.633,0.009,0.39
125-1,0.97,0.571,1.00,0.97,0.572,0.025,1.00
125-2,0.98,0.583,0.46,0.98,0.584,0.019,0.46
125-3,1.00,0.618,0.61,1.00,0.614,0.015,0.59
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.96,0.567,0.60,0.96,0.563,0.017,0.59
127-2,0.93,0.521,0.75,0.93,0.521,0.021,0.75
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.67,0.678,0.34,0.67,0.677,0.009,0.32
129-1,1.00,0.537,0.60,1.00,0.537,0.019,0.60
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.537,0.60,1.00,0.537,0.019,0.60
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.92,0.549,0.22,0.92,0.550,0.022,0.22
131-2,0.93,0.558,0.14,0.93,0.556,0.021,0.16
131-3,0.98,0.591,0.11,0.98,0.584,0.018,0.10
132-1,1.00,0.561,0.72,1.00,0.555,0.017,0.71
132-2,1.00,0.564,0.72,1.00,0.557,0.017,0.68
65-1,0.99,0.614,0.29,0.99,0.610,0.010,0.28
65-2,0.99,0.623,0.19,0.99,0.622,0.010,0.18
65-3,0.99,0.624,0.20,0.99,0.622,0.009,0.20
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,0.550,0.44,1.00,0.545,0.019,0.49
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,0.558,0.33,1.00,0.558,0.014,0.33
70-3,1.00,0.523,0.42,1.00,0.522,0.019,0.41
72-1,0.96,0.584,0.01,0.96,0.584,0.025,0.01
72-2,0.94,0.545,0.01,0.94,0.547,0.023,0.01
73-1,1.00,0.614,1.00,1.00,0.612,0.016,0.99
73-2,1.00,0.611,0.99,1.00,0.608,0.017,0.98
73-3,1.00,0.844,1.00,1.00,0.844,0.019,1.00
74-1,0.52,0.565,0.21,0.52,0.566,0.029,0.23
74-2,0.98,0.539,0.40,0.98,0.539,0.021,0.40
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,1.00,0.571,0.69,1.00,0.562,0.020,0.71
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.58,0.583,0.62,0.58,0.582,0.026,0.51
80-2,0.99,0.545,0.66,0.99,0.546,0.024,0.66
81-1,0.98,0.582,0.50,0.98,0.583,0.020,0.50
81-2,0.98,0.582,0.50,0.98,0.583,0.020,0.50
82-1,0.93,0.575,0.56,0.93,0.571,0.018,0.59
83-1,0.98,0.581,0.70,0.98,0.580,0.018,0.75
83-2,0.98,0.576,0.60,0.98,0.575,0.019,0.70
84-1,0.86,0.652,0.05,0.86,0.651,0.008,0.05
85-1,0.95,0.548,0.61,0.95,0.544,0.018,0.65
85-2,0.95,0.548,0.61,0.95,0.544,0.018,0.65
86-1,0.68,0.521,0.39,0.68,0.516,0.024,0.37
86-2,0.68,0.521,0.39,0.68,0.516,0.024,0.37
86-3,0.45,0.528,0.33,0.45,0.517,0.034,0.37
87-1,0.93,0.617,0.43,0.93,0.615,0.018,0.42
87-2,0.93,0.607,0.21,0.93,0.605,0.016,0.21
87-3,0.80,0.630,0.34,0.80,0.625,0.022,0.40
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.99,0.608,0.99,0.99,0.609,0.025,0.97
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,1.00,0.553,0.20,1.00,0.554,0.020,0.19
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.637,0.51,1.00,0.633,0.014,0.51
99-1,0.98,0.549,0.42,0.98,0.548,0.021,0.42
