ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,3.904,0.97,1.00,3.893,0.377,0.96
BLAST-S14,1.00,3.783,0.97,1.00,3.765,0.364,0.98
Naive-S11,1.00,3.711,0.44,1.00,3.714,0.380,0.44
Naive-S14,1.00,3.711,0.48,1.00,3.716,0.382,0.49
101-1,0.95,3.914,0.51,0.95,3.899,0.394,0.52
101-2,0.17,3.385,0.50,0.17,3.244,0.720,0.40
101-3,0.95,3.519,0.94,0.95,3.514,0.360,0.89
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.58,3.743,0.50,0.57,3.668,0.450,0.42
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,3.961,0.97,1.00,3.939,0.382,0.96
105-2,0.99,14.505,1.00,0.99,14.515,1.841,1.00
105-3,0.99,23.467,1.00,0.99,23.471,2.381,1.00
106-1,0.48,3.941,0.70,0.48,3.880,0.565,0.63
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.33,4.289,0.60,0.33,4.189,0.649,0.53
107-1,1.00,19.906,1.00,1.00,19.925,2.088,1.00
107-2,1.00,3.797,0.10,1.00,3.799,0.390,0.10
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,4.824,1.00,0.98,4.854,0.452,1.00
110-2,0.97,4.188,1.00,0.97,4.199,0.397,0.99
110-3,0.98,8.799,1.00,0.98,8.810,0.550,1.00
111-1,0.98,4.709,1.00,0.98,4.739,0.433,1.00
111-2,0.96,8.028,1.00,0.96,8.045,0.540,1.00
111-3,0.11,6.510,1.00,0.11,6.637,1.717,1.00
112-1,1.00,3.921,0.89,1.00,3.920,0.393,0.90
112-2,1.00,3.925,0.88,1.00,3.917,0.393,0.89
112-3,1.00,3.735,0.83,1.00,3.732,0.375,0.84
113-1,1.00,3.735,0.83,1.00,3.719,0.374,0.83
113-2,0.76,10.581,1.00,0.76,10.596,0.462,1.00
113-3,0.98,4.310,1.00,0.98,4.337,0.367,1.00
114-1,1.00,6.833,1.00,1.00,6.851,0.659,1.00
115-1,1.00,3.814,0.74,1.00,3.775,0.376,0.76
116-1,0.58,3.547,0.89,0.58,3.512,0.457,0.87
116-2,0.28,2.989,0.90,0.28,2.869,0.530,0.80
117-1,1.00,3.851,0.19,1.00,3.830,0.371,0.19
117-2,0.18,12.362,1.00,0.18,12.404,1.794,1.00
119-1,0.95,3.811,0.97,0.95,3.815,0.399,0.97
120-1,1.00,7.070,1.00,1.00,7.086,0.676,1.00
120-2,1.00,3.858,0.81,1.00,3.828,0.363,0.80
120-3,0.99,3.720,0.81,0.99,3.711,0.373,0.80
121-1,0.70,4.062,0.85,0.70,4.067,0.444,0.89
121-2,0.08,4.351,1.00,0.08,4.239,1.512,0.93
121-3,0.70,3.849,0.09,0.70,3.788,0.400,0.24
122-1,0.83,4.032,1.00,0.83,4.043,0.434,1.00
124-1,1.00,3.967,0.54,1.00,3.964,0.385,0.60
124-2,1.00,3.934,0.46,1.00,3.939,0.383,0.47
124-3,1.00,3.910,0.54,1.00,3.922,0.390,0.55
125-1,0.97,6.918,1.00,0.97,6.935,0.681,1.00
125-2,0.98,3.811,0.93,0.98,3.806,0.389,0.92
125-3,1.00,3.848,0.90,1.00,3.853,0.387,0.90
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.96,3.674,0.79,0.96,3.667,0.388,0.79
127-2,0.93,3.443,0.89,0.93,3.417,0.383,0.87
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.67,7.174,1.00,0.67,7.229,1.224,1.00
129-1,1.00,3.742,0.70,1.00,3.723,0.376,0.69
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,3.742,0.70,1.00,3.723,0.376,0.69
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.92,3.920,0.93,0.92,3.879,0.404,0.81
131-2,0.93,4.011,0.92,0.93,4.004,0.400,0.87
131-3,0.98,3.861,0.56,0.98,3.815,0.377,0.43
132-1,1.00,3.857,0.92,1.00,3.844,0.393,0.90
132-2,1.00,3.681,0.85,1.00,3.658,0.372,0.87
65-1,0.99,3.703,0.34,0.99,3.700,0.378,0.35
65-2,0.99,3.769,0.22,0.99,3.759,0.376,0.23
65-3,0.99,3.766,0.25,0.99,3.765,0.378,0.25
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,3.735,1.00,1.00,3.746,0.375,0.99
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,3.538,0.34,1.00,3.534,0.354,0.34
70-3,1.00,3.474,0.42,1.00,3.468,0.376,0.43
72-1,0.96,3.945,0.65,0.96,3.926,0.388,0.68
72-2,0.94,3.962,0.17,0.94,3.932,0.406,0.21
73-1,1.00,7.654,1.00,1.00,7.679,0.958,1.00
73-2,1.00,6.682,1.00,1.00,6.713,0.802,1.00
73-3,1.00,44.006,1.00,1.00,43.994,3.118,1.00
74-1,0.52,3.260,1.00,0.52,3.219,0.401,0.82
74-2,0.98,3.825,0.85,0.98,3.815,0.354,0.85
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,1.00,3.735,1.00,1.00,3.747,0.375,1.00
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.58,3.624,1.00,0.58,3.618,0.453,0.88
