ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.302,0.64,1.00,0.311,0.028,0.60
BLAST-S14,1.00,0.341,0.62,1.00,0.349,0.029,0.63
Naive-S11,1.00,0.398,0.55,1.00,0.406,0.026,0.65
Naive-S14,1.00,0.398,0.56,1.00,0.406,0.027,0.65
101-1,0.95,0.358,0.36,0.95,0.359,0.030,0.30
101-2,0.17,0.545,0.30,0.17,0.554,0.065,0.27
101-3,0.95,0.464,0.84,0.95,0.473,0.029,0.66
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.58,0.443,0.17,0.57,0.446,0.040,0.21
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.345,0.93,1.00,0.346,0.029,0.92
105-2,0.99,0.379,1.00,0.99,0.378,0.034,1.00
105-3,0.99,0.324,1.00,0.99,0.325,0.033,1.00
106-1,0.48,0.331,0.18,0.48,0.335,0.045,0.17
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.33,0.408,0.08,0.33,0.416,0.053,0.15
107-1,1.00,0.323,1.00,1.00,0.322,0.033,0.93
107-2,1.00,0.367,0.03,1.00,0.372,0.030,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.316,0.59,0.98,0.323,0.031,0.62
110-2,0.97,0.359,0.78,0.97,0.371,0.029,0.75
110-3,0.98,0.322,0.48,0.98,0.321,0.029,0.46
111-1,0.98,0.301,0.57,0.98,0.308,0.029,0.61
111-2,0.96,0.282,0.48,0.96,0.281,0.028,0.49
111-3,0.11,0.311,0.11,0.11,0.317,0.081,0.44
112-1,1.00,0.413,0.69,1.00,0.418,0.027,0.71
112-2,1.00,0.403,0.68,1.00,0.413,0.027,0.69
112-3,1.00,0.411,0.69,1.00,0.414,0.027,0.68
113-1,1.00,0.399,0.68,1.00,0.410,0.026,0.67
113-2,0.76,0.155,0.97,0.76,0.157,0.023,0.88
113-3,0.98,0.289,0.57,0.98,0.297,0.029,0.58
114-1,1.00,0.389,1.00,1.00,0.395,0.032,0.97
115-1,1.00,0.440,0.28,1.00,0.440,0.029,0.29
116-1,0.58,0.371,0.64,0.58,0.373,0.041,0.57
116-2,0.28,0.440,0.04,0.28,0.437,0.064,0.27
117-1,1.00,0.426,0.13,1.00,0.435,0.022,0.14
117-2,0.18,0.265,1.00,0.18,0.260,0.077,1.00
119-1,0.95,0.399,0.95,0.95,0.399,0.029,0.93
120-1,1.00,0.402,0.98,1.00,0.405,0.032,0.98
120-2,1.00,0.429,0.75,1.00,0.430,0.027,0.75
120-3,0.99,0.341,0.70,0.99,0.347,0.027,0.66
121-1,0.70,0.459,0.60,0.70,0.458,0.039,0.60
121-2,0.08,0.463,0.61,0.08,0.442,0.103,0.70
121-3,0.70,0.462,0.03,0.70,0.464,0.039,0.04
122-1,0.83,0.389,0.69,0.83,0.387,0.034,0.70
