ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.443,0.40,0.99,0.447,0.018,0.42
BLAST-S14,1.00,0.467,0.50,1.00,0.473,0.021,0.50
Naive-S11,1.00,0.486,0.28,1.00,0.489,0.020,0.40
Naive-S14,1.00,0.499,0.32,1.00,0.499,0.018,0.33
101-1,0.95,0.509,0.33,0.95,0.509,0.020,0.32
101-2,0.31,0.276,0.09,0.31,0.275,0.027,0.10
101-3,0.95,0.567,0.48,0.95,0.567,0.019,0.49
102-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
102-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
102-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
103-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
103-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
103-3,0.56,0.405,0.17,0.56,0.404,0.025,0.17
104-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
104-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
104-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
105-1,1.00,0.484,0.91,1.00,0.484,0.020,0.90
105-2,0.99,0.528,0.98,0.99,0.529,0.019,0.98
105-3,0.99,0.491,0.99,0.99,0.493,0.019,0.99
106-1,0.42,0.317,0.07,0.42,0.317,0.027,0.08
106-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
106-3,0.28,0.265,0.07,0.28,0.264,0.028,0.08
107-1,1.00,0.452,0.77,1.00,0.456,0.021,0.81
107-2,1.00,0.519,0.03,1.00,0.519,0.020,0.03
107-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
108-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
109-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
110-1,0.98,0.459,0.76,0.98,0.469,0.019,0.61
110-2,0.96,0.509,0.46,0.96,0.511,0.019,0.43
110-3,1.00,0.471,0.36,1.00,0.471,0.019,0.37
111-1,0.97,0.462,0.38,0.97,0.470,0.019,0.52
111-2,0.97,0.463,0.36,0.97,0.462,0.019,0.36
111-3,0.15,0.194,0.02,0.15,0.192,0.028,0.02
112-1,0.99,0.520,0.56,0.99,0.525,0.018,0.51
112-2,0.99,0.528,0.45,0.99,0.530,0.017,0.47
112-3,0.99,0.518,0.56,0.99,0.525,0.017,0.49
113-1,0.99,0.529,0.45,0.99,0.531,0.017,0.46
113-2,0.69,0.336,0.65,0.69,0.340,0.020,0.62
113-3,0.96,0.456,0.38,0.96,0.462,0.019,0.50
114-1,1.00,0.561,0.92,1.00,0.565,0.019,0.92
115-1,1.00,0.562,0.32,1.00,0.563,0.019,0.32
116-1,0.69,0.413,0.06,0.69,0.413,0.024,0.13
116-2,0.46,0.283,0.06,0.46,0.282,0.026,0.09
117-1,1.00,0.555,0.13,1.00,0.556,0.019,0.13
117-2,0.18,0.174,1.00,0.18,0.173,0.027,1.00
119-1,0.99,0.529,0.66,0.99,0.530,0.021,0.66
120-1,1.00,0.566,0.96,1.00,0.567,0.020,0.96
120-2,1.00,0.548,0.72,1.00,0.550,0.018,0.72
120-3,0.99,0.512,0.64,0.99,0.518,0.019,0.57
121-1,0.69,0.484,0.43,0.69,0.482,0.024,0.49
121-2,0.04,0.065,0.72,0.04,0.064,0.023,0.72
121-3,0.72,0.472,0.01,0.72,0.472,0.023,0.02
122-1,0.70,0.452,0.69,0.70,0.452,0.023,0.70
124-1,1.00,0.456,0.34,1.00,0.458,0.018,0.33
124-2,1.00,0.432,0.39,1.00,0.435,0.019,0.34
124-3,1.00,0.436,0.24,1.00,0.443,0.016,0.26
125-1,1.00,0.557,0.96,1.00,0.561,0.019,0.92
125-2,0.96,0.500,0.29,0.96,0.505,0.020,0.31
125-3,1.00,0.449,0.45,1.00,0.459,0.020,0.46
126-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
127-1,0.95,0.578,0.56,0.95,0.579,0.018,0.57
127-2,0.94,0.579,0.71,0.94,0.580,0.018,0.72
127-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
128-1,0.55,0.302,0.03,0.55,0.304,0.022,0.03
129-1,1.00,0.575,0.59,1.00,0.578,0.020,0.59
129-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
129-3,1.00,0.575,0.59,1.00,0.578,0.020,0.59
130-1,0.00,0.007,0.00,0.00,0.007,0.000,0.00
130-2,0.00,0.007,0.00,0.00,0.007,0.000,0.00
130-3,0.00,0.007,0.00,0.00,0.007,0.000,0.00
131-1,0.92,0.526,0.06,0.92,0.526,0.022,0.06
131-2,0.93,0.538,0.03,0.93,0.538,0.022,0.05
131-3,1.00,0.509,0.05,1.00,0.512,0.018,0.06
132-1,0.99,0.533,0.56,0.99,0.534,0.017,0.56
132-2,0.99,0.536,0.56,0.99,0.537,0.018,0.55
65-1,0.88,0.427,0.14,0.88,0.432,0.019,0.14
65-2,0.84,0.385,0.07,0.84,0.393,0.018,0.09
