ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.443,0.40,0.99,0.448,0.018,0.42
BLAST-S14,1.00,0.467,0.50,1.00,0.473,0.021,0.50
Naive-S11,1.00,0.486,0.28,1.00,0.489,0.020,0.40
Naive-S14,1.00,0.499,0.32,1.00,0.499,0.018,0.33
101-1,0.95,0.518,0.33,0.95,0.518,0.020,0.33
101-2,0.31,0.564,0.21,0.31,0.564,0.034,0.22
101-3,0.95,0.581,0.48,0.95,0.582,0.019,0.50
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.56,0.551,0.17,0.56,0.554,0.027,0.22
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.484,0.91,1.00,0.484,0.020,0.90
105-2,0.99,0.530,0.98,0.99,0.531,0.019,0.98
105-3,0.99,0.493,0.99,0.99,0.494,0.019,0.99
106-1,0.42,0.532,0.07,0.42,0.534,0.030,0.09
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.28,0.576,0.10,0.28,0.583,0.034,0.11
107-1,1.00,0.452,0.77,1.00,0.456,0.021,0.81
107-2,1.00,0.519,0.03,1.00,0.519,0.020,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.464,0.76,0.98,0.473,0.019,0.62
110-2,0.96,0.518,0.46,0.96,0.519,0.019,0.43
110-3,1.00,0.471,0.36,1.00,0.471,0.019,0.37
111-1,0.97,0.467,0.66,0.97,0.475,0.019,0.53
111-2,0.97,0.468,0.36,0.97,0.468,0.019,0.36
111-3,0.15,0.588,0.02,0.15,0.587,0.039,0.07
112-1,0.99,0.522,0.56,0.99,0.528,0.018,0.52
