ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.483,0.61,0.95,0.497,0.071,0.69
BLAST-S14,1.00,0.432,0.78,1.00,0.443,0.065,0.68
Naive-S11,1.00,0.298,0.32,1.00,0.319,0.056,0.27
Naive-S14,1.00,0.283,0.20,1.00,0.303,0.046,0.31
101-1,1.00,0.349,0.34,1.00,0.352,0.037,0.33
101-2,0.19,0.137,0.20,0.19,0.134,0.050,0.24
101-3,1.00,0.440,0.34,1.00,0.459,0.067,0.35
102-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
102-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
102-3,0.00,0.003,0.00,0.00,0.003,0.001,0.00
103-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
103-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
103-3,0.38,0.284,0.17,0.38,0.278,0.088,0.18
104-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
104-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
104-3,0.00,0.003,0.00,0.00,0.003,0.001,0.00
105-1,1.00,0.304,0.93,1.00,0.314,0.050,0.92
105-2,1.00,0.370,0.95,1.00,0.379,0.049,0.97
105-3,1.00,0.286,1.00,1.00,0.295,0.040,0.99
106-1,0.71,0.468,0.48,0.71,0.474,0.093,0.44
106-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
106-3,0.52,0.412,0.48,0.52,0.417,0.105,0.44
107-1,1.00,0.290,1.00,1.00,0.291,0.060,0.94
107-2,1.00,0.489,0.03,1.00,0.497,0.068,0.03
107-3,0.00,0.003,0.00,0.00,0.003,0.001,0.00
108-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
109-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
110-1,1.00,0.390,0.37,1.00,0.402,0.067,0.42
110-2,1.00,0.440,0.79,1.00,0.450,0.077,0.72
110-3,1.00,0.265,0.01,1.00,0.267,0.052,0.11
111-1,1.00,0.383,0.40,1.00,0.397,0.065,0.39
111-2,0.95,0.255,0.44,0.95,0.251,0.046,0.35
111-3,0.33,0.162,0.44,0.33,0.150,0.064,0.62
112-1,1.00,0.410,0.46,1.00,0.430,0.075,0.60
112-2,1.00,0.419,0.48,1.00,0.433,0.073,0.57
112-3,1.00,0.419,0.76,1.00,0.439,0.075,0.60
113-1,1.00,0.427,0.48,1.00,0.439,0.073,0.57
113-2,0.43,0.156,0.16,0.43,0.155,0.035,0.12
113-3,0.95,0.364,0.48,0.95,0.383,0.065,0.42
114-1,1.00,0.454,1.00,1.00,0.461,0.063,0.99
115-1,1.00,0.501,0.59,1.00,0.519,0.062,0.45
116-1,0.57,0.234,0.65,0.57,0.230,0.085,0.59
116-2,0.33,0.173,0.33,0.33,0.171,0.091,0.48
117-1,1.00,0.507,0.20,1.00,0.513,0.065,0.19
117-2,0.43,0.294,1.00,0.43,0.284,0.089,1.00
119-1,1.00,0.486,0.95,1.00,0.497,0.069,0.91
120-1,1.00,0.457,0.99,1.00,0.466,0.061,0.99
120-2,1.00,0.452,0.78,1.00,0.479,0.066,0.74
120-3,1.00,0.456,0.66,1.00,0.467,0.078,0.66
121-1,0.38,0.311,0.60,0.38,0.304,0.086,0.60
121-2,0.14,0.147,0.85,0.14,0.143,0.080,0.81
121-3,0.38,0.345,0.01,0.38,0.337,0.080,0.02
122-1,0.90,0.387,0.79,0.90,0.383,0.074,0.81
124-1,1.00,0.271,0.38,1.00,0.300,0.065,0.40
124-2,1.00,0.295,0.13,1.00,0.305,0.058,0.20
124-3,1.00,0.287,0.40,1.00,0.303,0.064,0.37
125-1,1.00,0.454,1.00,1.00,0.460,0.063,0.99
125-2,1.00,0.399,0.53,1.00,0.408,0.063,0.44
125-3,1.00,0.464,0.54,1.00,0.466,0.068,0.56
126-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
127-1,1.00,0.510,0.69,1.00,0.521,0.069,0.64
127-2,1.00,0.530,0.64,1.00,0.546,0.065,0.70
127-3,0.00,0.003,0.00,0.00,0.003,0.001,0.00
128-1,0.76,0.326,0.71,0.76,0.319,0.097,0.52
129-1,1.00,0.520,0.68,1.00,0.528,0.087,0.66
129-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
129-3,1.00,0.520,0.68,1.00,0.528,0.087,0.66
130-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
130-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
130-3,0.00,0.003,0.00,0.00,0.003,0.001,0.00
131-1,0.86,0.434,0.05,0.86,0.446,0.064,0.10
131-2,0.95,0.463,0.05,0.95,0.465,0.063,0.07
131-3,1.00,0.391,0.06,1.00,0.416,0.063,0.18
132-1,1.00,0.412,0.81,1.00,0.433,0.070,0.72
132-2,1.00,0.436,0.66,1.00,0.453,0.071,0.67
65-1,1.00,0.414,0.23,1.00,0.431,0.063,0.21
65-2,1.00,0.374,0.12,1.00,0.388,0.056,0.13
65-3,1.00,0.413,0.15,1.00,0.413,0.058,0.15
68-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
68-2,0.00,0.003,0.00,0.00,0.003,0.001,0.00
69-1,1.00,0.436,0.17,1.00,0.464,0.059,0.36
69-2,1.00,0.406,0.13,1.00,0.429,0.060,0.21
70-1,0.00,0.003,0.00,0.00,0.003,0.001,0.00
70-2,1.00,0.436,0.34,1.00,0.442,0.068,0.34
