ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.95,0.587,0.77,0.95,0.596,0.065,0.71
BLAST-S14,1.00,0.528,0.78,1.00,0.541,0.062,0.66
Naive-S11,1.00,0.465,0.55,1.00,0.470,0.066,0.50
Naive-S14,1.00,0.465,0.56,1.00,0.471,0.065,0.53
101-1,1.00,0.496,0.34,1.00,0.505,0.053,0.36
101-2,0.19,0.447,0.50,0.19,0.486,0.135,0.52
101-3,1.00,0.594,0.34,1.00,0.607,0.053,0.36
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.38,0.538,0.17,0.38,0.551,0.105,0.22
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.442,0.93,1.00,0.449,0.047,0.92
105-2,1.00,0.503,0.95,1.00,0.510,0.050,0.97
105-3,1.00,0.441,1.00,1.00,0.442,0.048,1.00
106-1,0.71,0.597,0.40,0.71,0.611,0.088,0.39
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.52,0.679,0.48,0.52,0.697,0.103,0.41
107-1,1.00,0.393,1.00,1.00,0.399,0.051,0.90
107-2,1.00,0.622,0.03,1.00,0.628,0.057,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.487,0.40,1.00,0.497,0.063,0.41
110-2,1.00,0.568,0.78,1.00,0.584,0.059,0.67
110-3,1.00,0.414,0.48,1.00,0.431,0.048,0.31
111-1,1.00,0.487,0.40,1.00,0.492,0.062,0.40
111-2,0.95,0.412,0.48,0.95,0.409,0.052,0.43
111-3,0.33,0.442,0.95,0.33,0.433,0.104,0.81
112-1,1.00,0.558,0.45,1.00,0.570,0.063,0.57
112-2,1.00,0.554,0.48,1.00,0.568,0.062,0.55
112-3,1.00,0.564,0.45,1.00,0.575,0.063,0.56
113-1,1.00,0.560,0.48,1.00,0.573,0.062,0.54
113-2,0.43,0.342,0.70,0.43,0.354,0.060,0.51
113-3,0.95,0.482,0.40,0.95,0.488,0.065,0.41
114-1,1.00,0.554,0.98,1.00,0.561,0.058,0.99
115-1,1.00,0.605,0.30,1.00,0.613,0.049,0.34
116-1,0.57,0.394,0.33,0.57,0.385,0.115,0.47
116-2,0.33,0.463,0.33,0.33,0.467,0.174,0.48
117-1,1.00,0.616,0.20,1.00,0.627,0.057,0.19
117-2,0.43,0.543,1.00,0.43,0.539,0.123,1.00
119-1,1.00,0.540,0.95,1.00,0.570,0.060,0.86
120-1,1.00,0.562,0.98,1.00,0.568,0.056,0.99
120-2,1.00,0.584,0.78,1.00,0.597,0.058,0.77
120-3,1.00,0.600,0.64,1.00,0.606,0.063,0.66
121-1,0.38,0.553,0.60,0.38,0.555,0.114,0.62
121-2,0.14,0.621,0.85,0.14,0.617,0.199,0.85
121-3,0.38,0.560,0.01,0.38,0.561,0.112,0.03
122-1,0.90,0.509,0.79,0.90,0.507,0.073,0.80
124-1,1.00,0.435,0.38,1.00,0.441,0.051,0.41
124-2,1.00,0.391,0.38,1.00,0.410,0.044,0.31
124-3,1.00,0.408,0.39,1.00,0.424,0.055,0.38
125-1,1.00,0.554,1.00,1.00,0.561,0.058,0.98
125-2,1.00,0.509,0.42,1.00,0.512,0.060,0.40
125-3,1.00,0.554,0.54,1.00,0.561,0.061,0.57
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,1.00,0.580,0.69,1.00,0.600,0.064,0.61
127-2,1.00,0.615,0.64,1.00,0.628,0.062,0.70
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.76,0.466,0.46,0.76,0.472,0.088,0.31
129-1,1.00,0.620,0.68,1.00,0.630,0.072,0.67
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.620,0.68,1.00,0.630,0.072,0.67
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
