ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.568,0.55,0.94,0.568,0.035,0.56
BLAST-S14,1.00,0.516,0.68,1.00,0.516,0.043,0.71
Naive-S11,1.00,0.530,0.32,1.00,0.525,0.053,0.30
Naive-S14,1.00,0.556,0.29,1.00,0.559,0.020,0.28
101-1,0.91,0.603,0.37,0.91,0.599,0.023,0.37
101-2,0.19,0.854,0.06,0.19,0.855,0.054,0.08
101-3,0.91,0.455,0.20,0.91,0.449,0.049,0.29
102-1,0.00,0.998,0.00,0.00,0.998,0.000,0.00
102-2,0.00,0.998,0.00,0.00,0.998,0.000,0.00
102-3,0.00,0.998,0.00,0.00,0.998,0.000,0.00
103-1,0.00,0.998,0.00,0.00,0.998,0.000,0.00
103-2,0.00,0.998,0.00,0.00,0.998,0.000,0.00
103-3,0.34,0.754,0.17,0.34,0.755,0.064,0.19
104-1,0.00,0.998,0.00,0.00,0.998,0.000,0.00
104-2,0.00,0.998,0.00,0.00,0.998,0.000,0.00
104-3,0.00,0.998,0.00,0.00,0.998,0.000,0.00
105-1,1.00,0.553,0.93,1.00,0.540,0.046,0.93
105-2,1.00,0.457,1.00,1.00,0.460,0.053,1.00
105-3,1.00,0.567,1.00,1.00,0.570,0.053,1.00
106-1,0.50,0.725,0.03,0.50,0.727,0.062,0.05
106-2,0.00,0.998,0.00,0.00,0.998,0.000,0.00
106-3,0.31,0.800,0.03,0.31,0.801,0.061,0.04
107-1,1.00,0.637,1.00,1.00,0.643,0.037,0.99
107-2,1.00,0.390,0.03,1.00,0.394,0.049,0.03
107-3,0.00,0.998,0.00,0.00,0.998,0.000,0.00
108-1,0.00,0.998,0.00,0.00,0.998,0.000,0.00
109-1,0.00,0.998,0.00,0.00,0.998,0.000,0.00
110-1,1.00,0.563,0.70,1.00,0.556,0.042,0.59
110-2,1.00,0.536,0.73,1.00,0.535,0.043,0.72
110-3,1.00,0.577,0.28,1.00,0.581,0.027,0.24
111-1,1.00,0.557,0.53,1.00,0.551,0.043,0.59
111-2,0.97,0.589,0.28,0.97,0.595,0.026,0.28
