ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.435,0.55,0.94,0.432,0.054,0.58
BLAST-S14,1.00,0.478,0.68,1.00,0.482,0.058,0.69
Naive-S11,1.00,0.483,0.32,1.00,0.480,0.064,0.32
Naive-S14,1.00,0.416,0.29,1.00,0.413,0.038,0.29
101-1,0.91,0.366,0.36,0.91,0.375,0.041,0.35
101-2,0.19,0.213,0.06,0.19,0.209,0.065,0.10
101-3,0.91,0.560,0.50,0.91,0.567,0.060,0.42
102-1,0.00,0.004,0.00,0.00,0.004,0.001,0.00
102-2,0.00,0.004,0.00,0.00,0.004,0.001,0.00
102-3,0.00,0.004,0.00,0.00,0.004,0.001,0.00
103-1,0.00,0.004,0.00,0.00,0.004,0.001,0.00
103-2,0.00,0.004,0.00,0.00,0.004,0.001,0.00
103-3,0.34,0.306,0.17,0.34,0.303,0.073,0.22
104-1,0.00,0.004,0.00,0.00,0.004,0.001,0.00
104-2,0.00,0.004,0.00,0.00,0.004,0.001,0.00
104-3,0.00,0.004,0.00,0.00,0.004,0.001,0.00
105-1,1.00,0.467,0.93,1.00,0.473,0.059,0.92
105-2,1.00,0.561,1.00,1.00,0.568,0.056,0.99
105-3,1.00,0.462,1.00,1.00,0.462,0.058,1.00
106-1,0.50,0.297,0.07,0.50,0.294,0.074,0.11
106-2,0.00,0.004,0.00,0.00,0.004,0.001,0.00
106-3,0.31,0.272,0.07,0.31,0.266,0.077,0.11
107-1,1.00,0.319,1.00,1.00,0.321,0.048,0.92
107-2,1.00,0.622,0.03,1.00,0.620,0.056,0.03
107-3,0.00,0.004,0.00,0.00,0.004,0.001,0.00
108-1,0.00,0.004,0.00,0.00,0.004,0.001,0.00
109-1,0.00,0.004,0.00,0.00,0.004,0.001,0.00
110-1,1.00,0.415,0.43,1.00,0.427,0.058,0.56
110-2,1.00,0.438,0.71,1.00,0.442,0.059,0.71
110-3,1.00,0.424,0.29,1.00,0.430,0.040,0.23
111-1,1.00,0.424,0.70,1.00,0.428,0.060,0.62
111-2,0.97,0.427,0.46,0.97,0.426,0.041,0.40
111-3,0.16,0.165,0.27,0.16,0.153,0.058,0.51
112-1,1.00,0.455,0.73,1.00,0.474,0.057,0.64
112-2,1.00,0.459,0.70,1.00,0.479,0.058,0.64
112-3,1.00,0.431,0.56,1.00,0.444,0.051,0.56
113-1,1.00,0.432,0.56,1.00,0.445,0.052,0.55
113-2,0.41,0.215,0.29,0.41,0.210,0.047,0.40
113-3,0.94,0.377,0.59,0.94,0.383,0.058,0.65
114-1,1.00,0.573,0.99,1.00,0.573,0.058,0.99
115-1,1.00,0.552,0.40,1.00,0.563,0.052,0.35
116-1,0.78,0.410,0.56,0.78,0.410,0.063,0.65
116-2,0.56,0.332,0.57,0.56,0.328,0.074,0.61
117-1,1.00,0.551,0.15,1.00,0.548,0.052,0.15
117-2,0.34,0.124,1.00,0.34,0.116,0.035,1.00
119-1,0.97,0.503,0.74,0.97,0.513,0.047,0.81
120-1,1.00,0.562,0.98,1.00,0.572,0.056,0.99
120-2,1.00,0.518,0.71,1.00,0.533,0.059,0.73
120-3,1.00,0.473,0.74,1.00,0.497,0.066,0.69
121-1,0.34,0.307,0.60,0.34,0.298,0.073,0.60
