ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0043226,GO:0043229,GO:0005634,GO:0044444,GO:0043227,GO:0043231,GO:0005622,GO:0044424,GO:0005737
BLAST-S11,NaN,0.86,0.86,0.81,0.81,0.80,0.55,0.76,0.76,0.68,0.68,0.47
BLAST-S14,NaN,0.84,0.84,0.72,0.72,0.72,0.71,0.70,0.70,0.57,0.57,0.49
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.53,0.53,0.68,0.70,0.74,0.55,0.63,0.64,0.59,0.60,0.51
101-2,NaN,0.60,0.60,0.55,0.55,0.58,0.55,0.58,0.58,0.52,0.52,0.52
101-3,NaN,0.87,0.87,0.79,0.79,0.80,0.61,0.76,0.76,0.71,0.70,0.57
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,1.00,1.00,0.94,0.94,0.83,0.71,0.94,0.94,0.92,0.92,0.95
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.15,0.15,0.59,0.59,0.69,0.54,0.60,0.60,0.47,0.47,0.36
105-2,NaN,0.45,0.45,0.69,0.69,0.68,0.87,0.72,0.72,0.61,0.61,0.66
105-3,NaN,0.47,0.47,0.61,0.61,0.61,0.68,0.67,0.67,0.44,0.44,0.49
106-1,NaN,NaN,NaN,0.57,0.57,0.69,0.61,0.57,0.57,0.54,0.54,0.58
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,NaN,NaN,0.67,0.67,0.62,0.71,0.75,0.75,0.78,0.78,0.92
107-1,NaN,0.39,0.39,0.56,0.56,0.62,0.75,0.62,0.62,0.54,0.54,0.64
107-2,NaN,0.84,0.84,0.68,0.68,0.77,0.62,0.71,0.71,0.63,0.63,0.63
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.97,0.97,0.73,0.73,0.78,0.63,0.66,0.66,0.63,0.63,0.63
110-2,NaN,1.00,1.00,0.80,0.80,0.84,0.77,0.78,0.77,0.79,0.79,0.60
110-3,NaN,0.18,0.18,0.56,0.56,0.50,0.64,0.64,0.64,0.64,0.64,0.64
111-1,NaN,0.94,0.94,0.72,0.72,0.78,0.65,0.65,0.65,0.62,0.62,0.64
111-2,NaN,0.27,0.27,0.66,0.66,0.66,0.71,0.73,0.75,0.71,0.71,0.68
111-3,NaN,NaN,NaN,NaN,NaN,0.88,0.80,0.90,0.90,NaN,NaN,0.56
112-1,NaN,0.94,0.94,0.82,0.81,0.90,0.80,0.80,0.80,0.78,0.78,0.62
112-2,NaN,0.94,0.94,0.82,0.81,0.90,0.80,0.81,0.81,0.79,0.79,0.62
112-3,NaN,0.94,0.94,0.77,0.76,0.87,0.77,0.79,0.78,0.83,0.83,0.55
113-1,NaN,0.94,0.94,0.77,0.76,0.87,0.77,0.79,0.79,0.84,0.84,0.55
113-2,NaN,0.46,0.46,0.50,0.50,0.68,0.58,0.67,0.67,0.38,0.38,0.65
113-3,NaN,0.90,0.90,0.67,0.65,0.75,0.69,0.62,0.61,0.66,0.66,0.63
114-1,NaN,0.97,0.97,0.77,0.77,0.86,0.84,0.80,0.80,0.61,0.61,0.65
115-1,NaN,0.97,0.97,0.88,0.88,0.75,0.89,0.83,0.83,0.63,0.63,0.65
116-1,NaN,0.88,0.88,0.89,0.89,0.74,0.69,0.81,0.81,0.61,0.61,0.60
116-2,NaN,NaN,NaN,0.90,0.90,0.71,0.75,0.81,0.81,0.82,0.82,0.65
117-1,NaN,0.90,0.90,0.67,0.66,0.85,0.67,0.66,0.66,0.65,0.67,0.59
117-2,NaN,0.40,0.40,0.61,0.61,0.94,0.47,0.54,0.54,0.33,0.33,0.39
119-1,NaN,0.20,0.20,0.64,0.64,0.77,0.70,0.57,0.57,0.43,0.43,0.63
120-1,NaN,0.95,0.95,0.78,0.78,0.87,0.86,0.84,0.84,0.61,0.61,0.66
120-2,NaN,1.00,1.00,0.59,0.59,0.78,0.81,0.63,0.62,0.68,0.68,0.71
120-3,NaN,0.97,0.97,0.63,0.64,0.79,0.71,0.70,0.70,0.73,0.73,0.65
121-1,NaN,1.00,1.00,0.94,0.94,0.83,0.70,0.94,0.94,0.81,0.81,0.93
121-2,NaN,1.00,1.00,0.86,0.86,1.00,0.68,0.86,0.86,0.89,0.89,0.80
121-3,NaN,1.00,1.00,0.94,0.94,0.80,0.79,0.94,0.94,0.86,0.86,0.88
122-1,NaN,0.88,0.88,0.80,0.80,0.84,0.68,0.76,0.76,0.63,0.63,0.66
124-1,NaN,0.11,0.11,0.28,0.28,0.58,0.43,0.28,0.28,0.43,0.43,0.35
124-2,NaN,0.15,0.15,0.24,0.23,0.61,0.34,0.27,0.27,0.36,0.36,0.38
124-3,NaN,0.08,0.08,0.25,0.25,0.57,0.32,0.26,0.26,0.39,0.39,0.30
125-1,NaN,0.95,0.95,0.78,0.78,0.86,0.81,0.79,0.79,0.61,0.61,0.65
125-2,NaN,0.73,0.73,0.58,0.58,0.75,0.80,0.58,0.58,0.60,0.60,0.72
125-3,NaN,0.65,0.65,0.68,0.68,0.77,0.74,0.70,0.70,0.53,0.53,0.61
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,1.00,1.00,0.64,0.63,0.84,0.67,0.56,0.55,0.62,0.62,0.71
127-2,NaN,1.00,1.00,0.68,0.70,0.80,0.73,0.66,0.71,0.64,0.64,0.73
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,NaN,NaN,0.68,0.68,0.82,0.45,0.59,0.59,0.51,0.51,0.29
129-1,NaN,0.97,0.97,0.64,0.65,0.84,0.66,0.58,0.60,0.59,0.60,0.63
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.97,0.97,0.64,0.65,0.84,0.66,0.58,0.60,0.59,0.60,0.63
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.98,0.98,0.81,0.81,0.84,0.78,0.80,0.80,0.63,0.63,0.62
131-2,NaN,0.98,0.98,0.76,0.76,0.76,0.81,0.76,0.76,0.53,0.53,0.65
131-3,NaN,0.68,0.68,0.79,0.79,0.80,0.85,0.78,0.78,0.65,0.65,0.59
132-1,NaN,0.94,0.94,0.80,0.80,0.91,0.84,0.80,0.81,0.75,0.75,0.71
132-2,NaN,0.94,0.94,0.76,0.75,0.89,0.80,0.77,0.77,0.72,0.72,0.63
65-1,NaN,0.90,0.90,0.52,0.52,0.72,0.60,0.47,0.46,0.62,0.62,0.48
65-2,NaN,0.93,0.97,0.53,0.53,0.72,0.65,0.50,0.50,0.65,0.65,0.55
65-3,NaN,0.93,0.93,0.51,0.51,0.71,0.64,0.48,0.48,0.61,0.61,0.50
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.87,0.87,0.76,0.76,0.84,0.80,0.78,0.78,0.71,0.71,0.68
69-2,NaN,1.00,1.00,0.72,0.72,0.85,0.68,0.69,0.69,0.61,0.62,0.61
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
