ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.557,0.55,0.94,0.558,0.036,0.59
BLAST-S14,1.00,0.516,0.68,1.00,0.516,0.043,0.71
Naive-S11,1.00,0.530,0.32,1.00,0.525,0.053,0.30
Naive-S14,1.00,0.556,0.29,1.00,0.559,0.020,0.28
101-1,0.91,0.600,0.37,0.91,0.596,0.024,0.37
101-2,0.19,0.454,0.15,0.19,0.449,0.058,0.17
101-3,0.91,0.419,0.50,0.91,0.410,0.051,0.35
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.34,0.430,0.33,0.34,0.423,0.080,0.28
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.553,0.93,1.00,0.540,0.046,0.93
105-2,1.00,0.457,1.00,1.00,0.460,0.053,1.00
105-3,1.00,0.567,1.00,1.00,0.570,0.053,1.00
106-1,0.50,0.499,0.10,0.50,0.503,0.076,0.11
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.435,0.10,0.31,0.445,0.095,0.12
107-1,1.00,0.637,1.00,1.00,0.643,0.037,0.99
107-2,1.00,0.390,0.03,1.00,0.394,0.049,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.563,0.70,1.00,0.556,0.042,0.59
110-2,1.00,0.536,0.73,1.00,0.535,0.043,0.72
110-3,1.00,0.577,0.28,1.00,0.581,0.027,0.24
111-1,1.00,0.557,0.53,1.00,0.551,0.043,0.59
111-2,0.97,0.586,0.28,0.97,0.591,0.027,0.29
111-3,0.16,0.600,0.92,0.16,0.620,0.096,0.92
112-1,1.00,0.516,0.68,1.00,0.505,0.043,0.64
112-2,1.00,0.507,0.68,1.00,0.497,0.045,0.64
112-3,1.00,0.542,0.56,1.00,0.536,0.036,0.59
113-1,1.00,0.530,0.60,1.00,0.529,0.038,0.59
113-2,0.41,0.656,1.00,0.41,0.658,0.047,0.91
113-3,0.94,0.579,0.53,0.94,0.578,0.038,0.56
114-1,1.00,0.449,0.99,1.00,0.450,0.053,0.99
115-1,1.00,0.456,0.36,1.00,0.449,0.043,0.37
116-1,0.78,0.520,0.56,0.78,0.525,0.056,0.60
116-2,0.56,0.514,0.54,0.56,0.520,0.078,0.56
117-1,1.00,0.490,0.15,1.00,0.488,0.041,0.14
117-2,0.34,0.685,1.00,0.34,0.698,0.035,1.00
119-1,0.97,0.537,0.81,0.97,0.518,0.035,0.86
120-1,1.00,0.461,1.00,1.00,0.458,0.051,0.99
120-2,1.00,0.447,0.72,1.00,0.437,0.043,0.72
120-3,1.00,0.502,0.60,1.00,0.487,0.047,0.65
121-1,0.34,0.460,0.60,0.34,0.474,0.093,0.60
121-2,0.28,0.497,0.85,0.28,0.495,0.107,0.88
121-3,0.34,0.461,0.03,0.34,0.436,0.084,0.09
122-1,0.84,0.519,0.76,0.84,0.518,0.044,0.78
