ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,7.807,1.00,0.94,7.700,1.789,0.94
BLAST-S14,1.00,7.995,0.98,1.00,7.879,1.692,0.96
Naive-S11,1.00,7.037,0.28,1.00,7.012,1.734,0.29
Naive-S14,1.00,7.037,0.29,1.00,7.068,1.676,0.30
101-1,0.91,7.823,0.39,0.91,7.635,1.695,0.42
101-2,0.19,11.547,0.10,0.19,11.204,6.603,0.18
101-3,0.91,6.992,0.54,0.91,6.900,1.896,0.44
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.34,5.300,0.50,0.34,4.928,1.828,0.47
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,7.866,0.95,1.00,7.798,1.751,0.95
105-2,1.00,13.881,1.00,1.00,14.027,3.219,1.00
105-3,1.00,24.147,1.00,1.00,24.215,4.261,1.00
106-1,0.50,6.886,0.60,0.50,6.776,1.571,0.51
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,4.523,0.60,0.31,4.350,1.274,0.50
107-1,1.00,28.077,1.00,1.00,28.173,4.873,1.00
107-2,1.00,6.964,0.03,1.00,6.769,1.718,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,7.515,1.00,1.00,7.501,1.656,0.95
110-2,1.00,7.398,0.83,1.00,7.436,1.481,0.87
110-3,1.00,7.824,0.76,1.00,7.891,1.548,0.89
111-1,1.00,7.397,1.00,1.00,7.302,1.671,0.93
111-2,0.97,8.287,0.92,0.97,8.422,1.486,0.93
111-3,0.16,5.835,0.92,0.16,6.245,2.144,0.95
112-1,1.00,6.998,0.89,1.00,6.959,1.538,0.82
112-2,1.00,7.000,0.87,1.00,6.955,1.540,0.81
112-3,1.00,6.856,0.72,1.00,6.799,1.579,0.75
113-1,1.00,6.839,0.70,1.00,6.777,1.579,0.74
113-2,0.41,8.494,1.00,0.41,8.568,0.647,0.99
113-3,0.94,7.481,0.84,0.94,7.381,1.785,0.90
114-1,1.00,10.616,1.00,1.00,10.739,1.971,1.00
115-1,1.00,7.241,0.90,1.00,7.217,1.651,0.75
116-1,0.78,8.595,0.90,0.78,8.639,2.021,0.79
116-2,0.56,8.606,0.57,0.56,8.698,2.853,0.61
117-1,1.00,6.568,0.17,1.00,6.520,1.708,0.16
117-2,0.34,16.250,1.00,0.34,16.431,2.591,1.00
119-1,0.97,7.169,0.96,0.97,7.041,1.763,0.96
120-1,1.00,10.834,1.00,1.00,10.944,1.988,1.00
120-2,1.00,6.522,0.79,1.00,6.492,1.805,0.77
120-3,1.00,7.045,0.73,1.00,6.995,1.766,0.69
121-1,0.34,5.775,0.85,0.34,5.425,1.781,0.79
121-2,0.28,6.212,1.00,0.28,6.017,2.294,0.95
121-3,0.34,5.329,0.53,0.34,4.989,1.851,0.38
122-1,0.84,8.905,0.97,0.84,8.740,1.952,0.94
124-1,1.00,7.485,0.44,1.00,7.458,1.699,0.47
124-2,1.00,7.717,0.39,1.00,7.758,1.737,0.42
124-3,1.00,7.388,0.44,1.00,7.372,1.695,0.42
125-1,1.00,10.616,1.00,1.00,10.739,1.970,1.00
125-2,1.00,7.586,0.86,1.00,7.377,1.697,0.81
125-3,1.00,7.496,0.80,1.00,7.362,1.674,0.78
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.97,6.516,0.77,0.97,6.465,1.770,0.75
127-2,0.97,6.870,0.80,0.97,6.786,1.739,0.82
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.69,11.114,0.95,0.69,11.387,2.637,0.97
129-1,1.00,6.266,0.62,1.00,6.255,1.579,0.62
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,6.266,0.62,1.00,6.255,1.579,0.62
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.94,5.534,0.75,0.94,5.459,1.029,0.75
131-2,0.97,7.652,0.60,0.97,7.511,1.762,0.68
131-3,1.00,7.154,0.26,1.00,7.128,1.759,0.27
132-1,1.00,7.008,0.85,1.00,7.011,1.589,0.88
132-2,1.00,6.721,0.83,1.00,6.702,1.660,0.81
65-1,0.94,7.324,0.27,0.94,7.249,1.848,0.29
65-2,0.94,7.474,0.20,0.94,7.374,1.842,0.20
65-3,0.94,7.368,0.20,0.94,7.318,1.846,0.21
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,6.719,0.64,1.00,6.538,1.758,0.54
69-2,1.00,7.226,0.99,1.00,7.196,1.824,0.84
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,1.00,6.671,0.31,1.00,6.638,1.722,0.31
70-3,1.00,6.490,0.33,1.00,6.465,1.570,0.34
72-1,1.00,7.463,0.54,1.00,7.372,1.690,0.58
72-2,1.00,7.104,0.09,1.00,7.109,1.735,0.14
73-1,1.00,10.186,1.00,1.00,10.486,2.342,1.00
73-2,1.00,10.186,1.00,1.00,10.486,2.342,1.00
73-3,1.00,62.323,1.00,1.00,62.245,7.290,1.00
74-1,0.62,5.514,0.27,0.63,5.547,2.387,0.32
74-2,0.97,6.678,0.26,0.97,6.676,1.741,0.35
75-1,1.00,6.896,0.73,1.00,6.877,1.816,0.74
75-2,1.00,7.226,0.99,1.00,7.200,1.817,0.90
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.75,7.068,0.55,0.75,6.665,2.009,0.67
80-2,1.00,6.863,0.73,1.00,6.877,1.759,0.73
81-1,0.94,7.514,0.61,0.94,7.362,1.814,0.66
81-2,0.94,7.514,0.61,0.94,7.362,1.814,0.66
