ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.448,0.55,0.94,0.445,0.055,0.58
BLAST-S14,1.00,0.478,0.68,1.00,0.482,0.058,0.69
Naive-S11,1.00,0.483,0.32,1.00,0.480,0.064,0.32
Naive-S14,1.00,0.416,0.29,1.00,0.413,0.038,0.29
101-1,0.91,0.376,0.36,0.91,0.388,0.043,0.36
101-2,0.19,0.615,0.15,0.19,0.634,0.066,0.17
101-3,0.91,0.592,0.50,0.91,0.599,0.061,0.44
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.34,0.556,0.33,0.34,0.585,0.099,0.31
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.467,0.93,1.00,0.473,0.059,0.92
105-2,1.00,0.561,1.00,1.00,0.568,0.056,0.99
105-3,1.00,0.462,1.00,1.00,0.462,0.058,1.00
106-1,0.50,0.452,0.07,0.50,0.452,0.096,0.14
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.575,0.07,0.31,0.575,0.111,0.17
107-1,1.00,0.319,1.00,1.00,0.321,0.048,0.92
107-2,1.00,0.622,0.03,1.00,0.620,0.056,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.415,0.43,1.00,0.427,0.058,0.56
110-2,1.00,0.438,0.71,1.00,0.442,0.059,0.71
110-3,1.00,0.424,0.29,1.00,0.430,0.040,0.23
111-1,1.00,0.424,0.70,1.00,0.428,0.060,0.62
111-2,0.97,0.435,0.46,0.97,0.433,0.041,0.40
111-3,0.16,0.361,0.27,0.16,0.365,0.136,0.63
112-1,1.00,0.455,0.73,1.00,0.474,0.057,0.64
112-2,1.00,0.459,0.70,1.00,0.479,0.058,0.64
112-3,1.00,0.431,0.56,1.00,0.444,0.051,0.56
113-1,1.00,0.432,0.56,1.00,0.445,0.052,0.55
113-2,0.41,0.303,0.44,0.41,0.304,0.074,0.48
113-3,0.94,0.388,0.59,0.94,0.395,0.059,0.65
114-1,1.00,0.573,0.99,1.00,0.573,0.058,0.99
115-1,1.00,0.552,0.40,1.00,0.563,0.052,0.35
116-1,0.78,0.469,0.56,0.78,0.472,0.067,0.67
116-2,0.56,0.480,0.57,0.56,0.476,0.088,0.61
117-1,1.00,0.551,0.15,1.00,0.548,0.052,0.15
117-2,0.34,0.177,1.00,0.34,0.170,0.050,1.00
119-1,0.97,0.509,0.74,0.97,0.520,0.047,0.81
120-1,1.00,0.562,0.98,1.00,0.572,0.056,0.99
120-2,1.00,0.518,0.71,1.00,0.533,0.059,0.73
120-3,1.00,0.473,0.74,1.00,0.497,0.066,0.69
121-1,0.34,0.550,0.60,0.34,0.540,0.110,0.60
121-2,0.28,0.527,1.00,0.28,0.559,0.143,0.94
121-3,0.34,0.550,0.03,0.34,0.568,0.104,0.12
122-1,0.84,0.448,0.76,0.84,0.447,0.062,0.77
124-1,1.00,0.331,0.34,1.00,0.336,0.040,0.33
124-2,1.00,0.277,0.33,1.00,0.279,0.031,0.29
124-3,1.00,0.317,0.23,1.00,0.329,0.037,0.28
125-1,1.00,0.555,1.00,1.00,0.564,0.056,0.99
125-2,1.00,0.557,0.45,1.00,0.559,0.056,0.45
125-3,1.00,0.464,0.44,1.00,0.472,0.057,0.52
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.97,0.518,0.67,0.97,0.524,0.050,0.67
127-2,0.97,0.506,0.79,0.97,0.511,0.055,0.76
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.69,0.235,0.95,0.69,0.240,0.066,0.58
129-1,1.00,0.545,0.62,1.00,0.549,0.056,0.63
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.545,0.62,1.00,0.549,0.056,0.63
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.94,0.550,0.11,0.94,0.557,0.055,0.15
