ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.416,0.29,0.94,0.416,0.059,0.29
BLAST-S14,0.88,0.401,0.31,0.88,0.398,0.059,0.31
Naive-S11,1.00,0.534,0.44,1.00,0.543,0.064,0.54
Naive-S14,1.00,0.542,0.32,1.00,0.550,0.060,0.47
101-1,0.41,0.284,0.37,0.41,0.285,0.069,0.37
101-2,0.12,0.097,0.90,0.12,0.095,0.058,0.80
101-3,0.41,0.299,0.50,0.41,0.295,0.069,0.66
102-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
102-2,0.00,0.005,0.00,0.00,0.005,0.000,0.00
102-3,0.00,0.005,0.00,0.00,0.005,0.000,0.00
103-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
103-2,0.00,0.005,0.00,0.00,0.005,0.000,0.00
103-3,0.47,0.111,0.17,0.47,0.110,0.048,0.23
104-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
104-2,0.00,0.005,0.00,0.00,0.005,0.000,0.00
104-3,0.00,0.005,0.00,0.00,0.005,0.000,0.00
105-1,0.88,0.334,0.11,0.88,0.378,0.051,0.28
105-2,0.71,0.289,0.94,0.70,0.282,0.070,0.96
105-3,0.71,0.394,0.97,0.70,0.396,0.075,0.96
106-1,0.12,0.019,0.86,0.12,0.020,0.015,0.55
106-2,0.00,0.005,0.00,0.00,0.005,0.000,0.00
106-3,0.06,0.005,0.00,0.06,0.005,0.000,0.00
107-1,1.00,0.257,0.32,1.00,0.287,0.046,0.56
107-2,1.00,0.359,0.03,1.00,0.360,0.055,0.04
107-3,0.00,0.005,0.00,0.00,0.005,0.000,0.00
108-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
109-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
110-1,0.71,0.501,0.26,0.71,0.507,0.067,0.27
110-2,1.00,0.514,0.48,1.00,0.539,0.044,0.38
110-3,1.00,0.345,1.00,1.00,0.349,0.047,0.82
111-1,0.71,0.501,0.26,0.71,0.507,0.067,0.27
111-2,1.00,0.345,1.00,1.00,0.349,0.047,0.82
111-3,0.00,0.005,0.00,0.00,0.005,0.000,0.00
112-1,1.00,0.439,0.75,1.00,0.445,0.054,0.74
112-2,1.00,0.424,0.75,1.00,0.445,0.055,0.70
112-3,1.00,0.439,0.75,1.00,0.445,0.054,0.73
113-1,1.00,0.424,0.75,1.00,0.444,0.055,0.69
113-2,1.00,0.338,1.00,1.00,0.342,0.046,0.82
113-3,0.41,0.358,0.26,0.41,0.355,0.074,0.36
114-1,1.00,0.435,0.80,1.00,0.440,0.045,0.80
115-1,1.00,0.418,0.14,1.00,0.439,0.040,0.26
116-1,0.00,0.005,0.00,0.00,0.005,0.000,0.00
116-2,0.18,0.087,0.88,0.17,0.083,0.050,0.79
117-1,1.00,0.556,0.12,1.00,0.566,0.051,0.11
117-2,0.06,0.078,1.00,0.06,0.069,0.053,0.65
119-1,0.71,0.365,0.45,0.70,0.379,0.062,0.55
120-1,1.00,0.495,0.89,1.00,0.504,0.045,0.88
120-2,1.00,0.480,0.73,1.00,0.491,0.053,0.71
120-3,1.00,0.470,0.50,1.00,0.476,0.062,0.53
121-1,0.12,0.051,0.38,0.12,0.050,0.043,0.24
121-2,0.06,0.051,1.00,0.06,0.051,0.045,0.64
121-3,0.24,0.134,0.20,0.24,0.126,0.067,0.35
122-1,0.24,0.169,0.72,0.24,0.159,0.063,0.73
