ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.426,0.29,0.94,0.427,0.060,0.30
BLAST-S14,0.88,0.422,0.31,0.88,0.419,0.061,0.31
Naive-S11,1.00,0.534,0.44,1.00,0.543,0.064,0.54
Naive-S14,1.00,0.542,0.32,1.00,0.550,0.060,0.47
101-1,0.41,0.524,0.37,0.41,0.511,0.062,0.37
101-2,0.12,0.566,0.90,0.12,0.554,0.009,0.90
101-3,0.41,0.490,0.50,0.41,0.504,0.053,0.73
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.47,0.160,0.17,0.47,0.168,0.068,0.24
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,0.88,0.344,0.11,0.88,0.395,0.054,0.30
105-2,0.71,0.341,0.98,0.70,0.335,0.081,0.97
105-3,0.71,0.455,0.98,0.70,0.459,0.084,0.97
106-1,0.12,0.125,0.86,0.12,0.113,0.074,0.63
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.06,0.007,0.00,0.06,0.007,0.000,0.00
107-1,1.00,0.257,0.32,1.00,0.287,0.046,0.56
107-2,1.00,0.359,0.03,1.00,0.360,0.055,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.71,0.587,0.26,0.71,0.604,0.064,0.31
110-2,1.00,0.514,0.48,1.00,0.539,0.044,0.38
110-3,1.00,0.345,1.00,1.00,0.349,0.047,0.82
111-1,0.71,0.587,0.26,0.71,0.604,0.064,0.31
111-2,1.00,0.345,1.00,1.00,0.349,0.047,0.82
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.439,0.75,1.00,0.445,0.054,0.74
112-2,1.00,0.424,0.75,1.00,0.445,0.055,0.70
112-3,1.00,0.439,0.75,1.00,0.445,0.054,0.73
113-1,1.00,0.424,0.75,1.00,0.444,0.055,0.69
113-2,1.00,0.338,1.00,1.00,0.342,0.046,0.82
113-3,0.41,0.543,0.26,0.41,0.580,0.073,0.56
114-1,1.00,0.435,0.80,1.00,0.440,0.045,0.80
115-1,1.00,0.418,0.14,1.00,0.439,0.040,0.26
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.18,0.324,0.88,0.17,0.301,0.113,0.82
117-1,1.00,0.556,0.12,1.00,0.566,0.051,0.11
117-2,0.06,0.286,1.00,0.06,0.286,0.000,1.00
119-1,0.71,0.410,0.45,0.70,0.444,0.066,0.59
120-1,1.00,0.495,0.89,1.00,0.504,0.045,0.88
120-2,1.00,0.480,0.73,1.00,0.491,0.053,0.71
120-3,1.00,0.470,0.50,1.00,0.476,0.062,0.53
121-1,0.12,0.214,0.38,0.12,0.218,0.160,0.28
121-2,0.06,0.615,1.00,0.06,0.615,0.000,1.00
121-3,0.24,0.317,0.20,0.24,0.302,0.126,0.37
122-1,0.24,0.392,0.72,0.24,0.377,0.063,0.74
124-1,1.00,0.531,0.54,1.00,0.546,0.049,0.56
124-2,1.00,0.527,0.54,1.00,0.541,0.051,0.58
124-3,1.00,0.511,0.54,1.00,0.520,0.062,0.49
125-1,1.00,0.423,0.79,1.00,0.438,0.045,0.80
125-2,0.59,0.285,0.32,0.59,0.283,0.072,0.33
125-3,0.94,0.325,0.38,0.94,0.333,0.055,0.35
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.29,0.698,0.73,0.29,0.701,0.090,0.75
127-2,0.29,0.735,0.93,0.29,0.728,0.095,0.93
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.29,0.301,0.01,0.29,0.296,0.071,0.04
129-1,0.82,0.501,0.61,0.82,0.524,0.057,0.55
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.82,0.501,0.61,0.82,0.524,0.057,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.18,0.199,1.00,0.18,0.181,0.088,0.92
131-2,0.41,0.200,1.00,0.41,0.190,0.072,0.99
131-3,1.00,0.286,0.03,1.00,0.299,0.033,0.04
132-1,1.00,0.469,0.53,1.00,0.485,0.058,0.70
132-2,1.00,0.469,0.53,1.00,0.481,0.058,0.68
65-1,0.29,0.505,0.17,0.29,0.545,0.088,0.23
65-2,0.29,0.450,0.02,0.29,0.534,0.085,0.14
65-3,0.29,0.422,0.09,0.29,0.519,0.085,0.20
68-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
68-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-1,1.00,0.472,0.49,1.00,0.473,0.039,0.47
69-2,1.00,0.506,0.68,1.00,0.512,0.039,0.68
70-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
70-2,0.94,0.551,0.45,0.94,0.559,0.071,0.45
70-3,0.94,0.548,0.56,0.94,0.549,0.071,0.55
72-1,1.00,0.408,0.01,1.00,0.406,0.051,0.01
72-2,1.00,0.433,0.01,1.00,0.432,0.056,0.01
73-1,1.00,0.333,0.67,1.00,0.345,0.053,0.72
73-2,1.00,0.332,0.67,1.00,0.366,0.047,0.59
73-3,0.88,0.435,0.80,0.88,0.447,0.049,0.86
74-1,0.53,0.357,0.02,0.53,0.361,0.061,0.05
74-2,1.00,0.419,0.10,1.00,0.424,0.045,0.12
75-1,1.00,0.468,0.49,1.00,0.470,0.039,0.46
75-2,1.00,0.498,0.71,1.00,0.505,0.038,0.73
79-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
79-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
80-1,0.59,0.342,0.03,0.59,0.342,0.066,0.05
80-2,1.00,0.431,0.10,1.00,0.436,0.044,0.12
81-1,0.94,0.473,0.50,0.94,0.472,0.067,0.50
81-2,0.94,0.473,0.50,0.94,0.472,0.067,0.50
82-1,0.29,0.701,0.52,0.29,0.690,0.107,0.54
83-1,0.76,0.440,0.98,0.77,0.453,0.047,0.69
83-2,0.76,0.458,0.98,0.77,0.469,0.050,0.73
84-1,0.29,0.432,0.15,0.29,0.440,0.061,0.16
85-1,0.53,0.449,0.77,0.53,0.474,0.070,0.81
85-2,0.53,0.449,0.77,0.53,0.474,0.070,0.81
86-1,1.00,0.532,1.00,1.00,0.530,0.059,0.97
86-2,1.00,0.532,1.00,1.00,0.530,0.059,0.97
86-3,1.00,0.493,0.70,1.00,0.503,0.065,0.55
87-1,0.53,0.405,0.27,0.53,0.401,0.040,0.28
87-2,0.53,0.409,0.16,0.53,0.417,0.047,0.17
87-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.71,0.261,0.10,0.71,0.274,0.055,0.12
95-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
95-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,1.00,0.426,0.06,1.00,0.427,0.068,0.10
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.498,0.51,1.00,0.499,0.061,0.51
99-1,0.88,0.477,0.30,0.88,0.491,0.055,0.34
